,vol,no,vol.no,total_pages,year,month,article_title,page_start,page_end,author,category,graphics,notes,volunteer,unique_id
20,1,3,01.3,13,1977,January,Letters,2,3,Coletta Reid [Diana Press Inc.]; Jean & Gilda [New Words]; Rosalee Miller [Womanstore Of Women Unlimited].,Letters,No,,Andréanne Wahlman,FBNDDA21
21,1,3,01.3,13,1977,January,Mail-Order,4,6,Jesse Meredith [Rising Woman Books]; Donna Loercher [Feminist Book Mart],Short News,No,The letter from Meredith to Feminist Book Mart and their response regarding a possible collaboration,Andréanne Wahlman,FBNDDA22
22,1,3,01.3,13,1977,January,[No title],1,1,Unknown,Editor's Note,No,Subscription information; next month issue.,Andréanne Wahlman,FBNDDA23
23,1,3,01.3,13,1977,January,Additions to lesbian booklist from Lyndall,3,4,Unknown,Booklist/Medialist,No,List of lesbian titles,Andréanne Wahlman,FBNDDA24
24,1,3,01.3,13,1977,January,Alexandria Books has a new home!,4,4,Unknown,Short News,No,Alexandria Books has a new home,Andréanne Wahlman,FBNDDA25
25,1,3,01.3,13,1977,January,STOP,4,4,Unknown,Other,No,Some info about Single Title Order Plan,Andréanne Wahlman,FBNDDA26
26,1,3,01.3,13,1977,January,[No title],6,6,Unknown,Short News,No,"Some new titles, selling rights, etc.",Andréanne Wahlman,FBNDDA27
27,1,3,01.3,13,1977,January,Brilliant Ideas #3,6,6,Unknown,Other,No,"Advertising and promotion, selling at conferences",Andréanne Wahlman,FBNDDA28
28,1,3,01.3,13,1977,January,More new books and pleasures...,7,11,Unknown,Booklist/Medialist,No,,Andréanne Wahlman,FBNDDA29
29,1,3,01.3,13,1977,January,Subscription form,13,13,Unknown,Other,No,,Andréanne Wahlman,FBNDDA30
30,1,4,01.4,14,1977,February,Update from Amazon Reality Co.,7,7,Amazon Reality Co.,Short News,No,"Book ""What Lesbians do"" is not restricted to women only, High School Sexuality going through second printing, Come Out Comix and Dyke Life available in spring.",Kali Herbst Minino,FBNDDA31
31,1,4,01.4,14,1977,February,Autumn Sea,12,12,Astarte Shell Press,Advertisements,Yes,Book cover of Autumn Sea by Toke Hoppenbrouwers,Kali Herbst Minino,FBNDDA32
32,1,4,01.4,14,1977,February,Discussions [Does Anybody Know],9,9,Carol Seajay,Letters,No,CS asks if anyone knows where Out and Out Books went to. She cannot reach them by mail.,Kali Herbst Minino,FBNDDA33
33,1,4,01.4,14,1977,February,News/Short Stories,6,7,Carol Seajay,News Feature,No,"news: for sale, to let, and a birthday; royalties on remainders; trivias; write now",Kali Herbst Minino,FBNDDA34
34,1,4,01.4,14,1977,February,Records,30,30,Carol Seajay,Short News,No,,Kali Herbst Minino,FBNDDA35
35,1,4,01.4,14,1977,February,On Publishers Row,9,11,Carol Seajay; Mary Morell [Full Circle]; St; Ann Morse,Presslist,Yes,,Kali Herbst Minino,FBNDDA36
36,1,4,01.4,14,1977,February,Discussions [Price Fixing],10,10,Coventry Books,Letters,No,"Letter directed to CS about price fixing in the midwest. Attorney General in Ohio talked to bookseller about bookstores all selling books at the same price. ""If you are looking for collusion and price fixing that looks like a commie under the bed."" Bookseller says it was an easily solved situation",Kali Herbst Minino,FBNDDA37
37,1,4,01.4,14,1977,February,Index of Advertisers,11,11,Fbn,Other,No,,Kali Herbst Minino,FBNDDA38
38,1,4,01.4,14,1977,February,Classified Ads & Literary Personals,11,11,Fbn,Other,No,,Kali Herbst Minino,FBNDDA39
39,1,4,01.4,14,1977,February,Letters,10,11,Jeanne Neath [Spinsters Books]; Nancy [Jane Addams Bookstore]; Arleen [Giovanni's Room],Letters,No,,Kali Herbst Minino,FBNDDA40
40,1,4,01.4,14,1977,February,"Madwoman Press, Inc.",8,8,Madwoman Press; Inc,Advertisements,Yes,Book cover of The Grass Widow by Nanci Little,Kali Herbst Minino,FBNDDA41
41,1,4,01.4,14,1977,February,More Letters,5,6,Pam Wilson-Pace [The Open Book]; Pamela & Leslie [Emma Collective; The Buffalo Women's Bookstore],Letters,No,Pam Wilson-Pace says she appreciates the booklists and that she consistently receives letters from women asking how to open bookstores. EMMA The Buffalo Women's Bookstore introduces their collective to FBN,Kali Herbst Minino,FBNDDA42
42,1,4,01.4,14,1977,February,The Story of Jane,10,10,Pantheon,Advertisements,Yes,Book cover of The Story of Jane by Laura Kaplan,Kali Herbst Minino,FBNDDA43
43,1,4,01.4,14,1977,February,Discussions [Bookstore Apprenticeship Training Program],10,10,Paula & Carol [Old Wives' Tales],Letters,No,Old Wives' Tales has an opening for a three month apprenticeship.,Kali Herbst Minino,FBNDDA44
44,1,4,01.4,14,1977,February,The Last of the Quickies,7,7,Rita Conley [Common Woman]; Lilith [Bookstore]; Carol Seajay,Letters,No,"Rita Conley looking for info on how to set up a mail order system, Seajay says lots of people are looking for that info, including New Earth and Lilith. Seajay says she feels guilt about not putting more philosophy/politics in the newsletter",Kali Herbst Minino,FBNDDA45
45,1,4,01.4,14,1977,February,QUICKIES and Notes,6,6,Rosalee Miller [Womanstore]; Linnea & Lori [The Plains Woman]; Carol [New Earth],Letters,No,"Shorter letters. Womanstore included 20 dollars to encourage FBN to keep doing their thing. The Plains Woman is an 8 month old bookstore and asks for tips on how to make connections with ""straight press."" New Earth encourages advertising but not at the cost of editorial policy.",Kali Herbst Minino,FBNDDA46
46,1,4,01.4,14,1977,February,Letters,2,4,Rosalie Nochols [Lesbian Voices & Ms. Atlas Press & Bookstore]; Chris & Sharon [Sister Bear]; Betty Loneny [Sp?] [Alternative Booksellers];,Letters,No,"Rosalie Nichols says feminist bookstores should cooperate and exchange information and mentions that lesbian and feminist writers are neglected by mass market publishers, also encourages the newsletter writers not to self-sacrifice their labor by not allowing ads and taking on printing costs themselves. Sister Bear mentions a program called ""bear on the loose,"" where they sell books at Women's centers and donate 5% of profits to them, also mentions low sales in December. Alternative Booksellers mentions high rent prices and an entirely volunteer staff.",Kali Herbst Minino,FBNDDA47
47,1,4,01.4,14,1977,February,Discussions [Ticket Selling],8,8,Sister Bear; Carol & Maria; Gahan [Sisterhood Bookstore]; Carol Seajay,Letters,No,"Sister Bear reports less sales in December than last December. Discussion about ticket selling for community concerts, etc. Gahan mentions charging a fee for the service.",Kali Herbst Minino,FBNDDA48
48,1,4,01.4,14,1977,February,Discussions [Advertising],9,9,Sisterhood Books; Sister Bear; Alternative Booksellers; Old Wives' Tales,Letters,No,"The most successful advertisers for the bookstores seem to be college papers, Women's organizations, and feminist newspapers",Kali Herbst Minino,FBNDDA49
49,1,4,01.4,14,1977,February,J.A.P Handbook Ad,11,11,Sisterhood Bookstore,Advertisements,No,,Kali Herbst Minino,FBNDDA50
50,1,4,01.4,14,1977,February,New Books and Other Pleasures,11,12,Unknown,Booklist/Medialist,No,"List of new books. Books include Chrysalis, The Ways a Woman can be, Women Artists: 1550-1950, Nursing Homes: A Citizen's Guide to Action, The Economics of Being a Woman, Complete Book of Midwifery, Witchcraft of Salem Village, The Needles Eye, The Realms of Gold, Profile on the Mexican-American Woman, We're All Right Be We Ain's Special, Country Lesbians, Any Woman's Blues, Tangled Hair, Sister Heathenspinter's Almanac & Lunation Calendar, Little Sister Series, Health In the Middle Years, Lesbian Voices, Jewish Women in America",Kali Herbst Minino,FBNDDA51
51,1,4,01.4,14,1977,February,Booklist on Battered Women,13,13,Unknown,Booklist/Medialist,No,"Booklist. Books include Houseworker's Handbook, Wife Beating, What's a Wife Worth?, Working on Wife Abuse, Social Responses to Battered Women, For Shelter and Beyond, Batter Women Materials, Disarm Rapists",Kali Herbst Minino,FBNDDA52
52,1,4,01.4,14,1977,February,Dear Women,1,1,Unknown,Short News,No,"Short introduction to the rest of the newsletter. Talks about how the newsletter's intention is made to be a newsletter for the readers, more so than for the people writing the newsletter",Kali Herbst Minino,FBNDDA53
53,1,4,01.4,14,1977,February,Questionnaire,1,10,Unknown,Short News,No,"Questionnaire results about the logistics of the newsletter. Only received 23 of 80 questionnaires back. Questionnaire results favored bulk mailing (after 200 subscriptions), legal size paper, publisher subscriptions, yes to advertising (some said ""feminist only, concerns about editorial autonomy). Asks for help editing notes from Women In Print conference.",Kali Herbst Minino,FBNDDA54
54,1,4,01.4,14,1977,February,Naiad Books and Other News,12,12,Unknown,Short News,No,,Kali Herbst Minino,FBNDDA55
55,1,4,01.4,14,1977,February,Notes from Computer Table,1,2,Unknown,Editor's Note,No,"war, May 1991 Bookstore Day, ABA,",Kali Herbst Minino,FBNDDA56
56,1,5,01.5,11,1977,April,Women in Print,6,6,Carol Rowell; Marie Kuda,Short News,No,The question of whether to have a Women in Print conference in 1977 or 1978,Michaela Hayes,FBNDDA59
57,1,5,01.5,11,1977,April,[No Title],C1,C1,Carol Seajay; André,Editor's Note,No,"Address to publishers, distributors, and periodicals who might read FBN.",Michaela Hayes,FBNDDA60
58,1,5,01.5,11,1977,April,The Oracle Presents info from Publishers Weekly,9,10,Linda Ravenkamp From The Oracle,Booklist/Medialist,No,"List of books of interest from January, February, and March of 1977.",Michaela Hayes,FBNDDA61
59,1,5,01.5,11,1977,April,As Promised from Sisterhood Bookstore,11,11,Sisterhood Bookstore,Booklist/Medialist,No,List of feminist books that were reviewed by New York Times Book Reviews or New York Review of Books,Michaela Hayes,FBNDDA62
60,1,5,01.5,11,1977,April,Feminist Bookstore Newsletter,1,3,Unknown,Letters,No,"Conversation between First Things First, Rising Woman Books, and Feminist Book Wart about the struggles of mail-order business. Some sections are unreadable due to fading print",Michaela Hayes,FBNDDA63
61,1,5,01.5,11,1977,April,News,3,3,Unknown,Short News,No,News about Booklegger Press and Noon Books,Michaela Hayes,FBNDDA64
62,1,5,01.5,11,1977,April,The List of Feminist Bookstores and Distributors in the U.S. and Canada,4,5,Unknown,Other,Yes,,Michaela Hayes,FBNDDA65
63,1,5,01.5,11,1977,April,Tiptree Revealed,7,7,Unknown,Short News,No,"The person using the pen-name James Tiptree, Jr was revealed to be a 61-one year old psychologist named Alice Sheldon",Michaela Hayes,FBNDDA66
64,1,5,01.5,11,1977,April,Response to the Questionnaires,7,7,Unknown,Short News,No,"Answers from a questionnaire sent to various feminist bookstores on the matters of bulk mailing, format, publishers, and advertising",Michaela Hayes,FBNDDA67
65,1,5,01.5,11,1977,April,Hot Flash,7,7,Unknown,Short News,No,News about the success of Rubyfruit Jungle by Rita Mae Brown,Michaela Hayes,FBNDDA68
66,1,5,01.5,11,1977,April,More Rumors,7,7,Unknown,Short News,No,Random House declares that the market for Women's books is over; Booklist from the American Library Association now reviews books from the feminist press; the second edition of Sinister Wisdom is dedicated to lesbian literature; the opening of The Jane Addams Bookstore & Bakery;,Michaela Hayes,FBNDDA69
67,1,5,01.5,11,1977,April,Dear Friends,8,9,Womontyme Distribution,Letters,No,"Letter to FBN audience from Women in Distribution about its plans for the future, which include taking on more new books, a booth at the 1977 ABA conference, and working more with cooperative advertising.",Michaela Hayes,FBNDDA70
68,1,6,01.6,6,1977,July,[No Title],1,1,Carol Seajay; André,Editor's Note,No,,Pelaya Arapakis,FBNDDA71
69,1,6,01.6,6,1977,July,From Eleanor at Womanbooks,5,5,Eleanor [Womanbooks],Advertisements,No,Advertisement for Scream Quietly by Erin Pizzey,Pelaya Arapakis,FBNDDA72
70,1,6,01.6,6,1977,July,From New Seed Press,6,6,Helen; Susan; Jane; Barbara; Susie,Presslist,No,,Pelaya Arapakis,FBNDDA73
71,1,6,01.6,6,1977,July,Our Books,6,6,Unknown,Booklist/Medialist,No,,Pelaya Arapakis,FBNDDA74
72,1,6,01.6,6,1977,July,About Our Printing Process...,1,2,Unknown [Carol Seajay; André],Short News,No,Carol Seajay and André share the mechanical process that is involved in creating the newsletter,Pelaya Arapakis,FBNDDA75
73,1,6,01.6,6,1977,July,Joint Advertising,2,2,Unknown [Carol Seajay; André],Short News,No,Information about the process of joint advertising; news about the opening of new bookstores,Pelaya Arapakis,FBNDDA76
74,1,6,01.6,6,1977,July,New Bookstores!,2,2,Unknown [Carol Seajay; André],Short News,No,Womanbooks' 2nd birthday celebrations; news about other recent events at Womanbooks,Pelaya Arapakis,FBNDDA77
75,1,6,01.6,6,1977,July,[No Title],2,2,Unknown [Carol Seajay; André],Short News,No,"A piece by science Fiction writer, Chelsea Quinn Yarbro, titled False Dawn, has been expanded to novel length and will be published by Doubleday in the Spring 1978",Pelaya Arapakis,FBNDDA78
76,1,6,01.6,6,1977,July,From the April Publisher's Weekly,3,3,Unknown [Carol Seajay; André],Presslist,No,Summer announcements,Pelaya Arapakis,FBNDDA79
77,1,6,01.6,6,1977,July,Paperbacks,3,4,Unknown [Carol Seajay; André],Booklist/Medialist,No,List of paperback books for sale,Pelaya Arapakis,FBNDDA80
78,1,6,01.6,6,1977,July,Hardback,4,5,Unknown [Carol Seajay; André],Booklist/Medialist,No,List of hardback books for sale,Pelaya Arapakis,FBNDDA81
79,1,6,01.6,6,1977,July,Finally Out in Paperback,5,5,Unknown [Carol Seajay; André],Booklist/Medialist,No,New paperback releases,Pelaya Arapakis,FBNDDA82
80,1,6,01.6,6,1977,July,From Our Own Presses,5,5,Unknown [Carol Seajay; André],Presslist,No,,Pelaya Arapakis,FBNDDA83
81,1,6,01.6,6,1977,July,[No Title],6,6,Unknown [Carol Seajay; André],Advertisements,No,,Pelaya Arapakis,FBNDDA84
82,1,6,01.6,6,1977,July,Special Issues,6,6,Unknown [Carol Seajay; André],Advertisements,No,"Advertisement for the book, Not a Fleeting Rage: A Handbook on Rape",Pelaya Arapakis,FBNDDA85
83,1,6,01.6,6,1977,July,[No Title],6,6,Unknown [Carol Seajay; André],Short News,No,"Bantam Representative informs FBN that Rita Mae Brown was taken to meet people in the advertising department. Her book, Rubyfruit Jungle is expected to get lots of good advertising",Pelaya Arapakis,FBNDDA86
84,1,6,01.6,6,1977,July,Don't Eat Florida Citrus!!!,6,6,Unknown [Carol Seajay; André],Other,No,"The end of the page features the words, 'Don't Eat Florida Citrus!!!'. The text is enclosed by a rectangular border",Pelaya Arapakis,FBNDDA87
85,1,7,01.7,13,1977,September,[No Title],1,1,Carol Seajay,Editor's Note,No,Carol is trying to get the newsletter out every 4-6 weeks; André won't be working on the newsletter as regularly,Pelaya Arapakis,FBNDDA88
86,1,7,01.7,13,1977,September,Books on Homosexuality: A Current Checklist,10,13,Daisy Maryles; Robert Dahlin,External Booklist and Awards,No,,Pelaya Arapakis,FBNDDA89
87,1,7,01.7,13,1977,September,From Sonya Wetstone/Book and Cheese,2,2,Sonya Wetstone [Book; Cheese],Letters,No,,Pelaya Arapakis,FBNDDA90
88,1,7,01.7,13,1977,September,They Went That-A-Way,2,2,Unknown [Fbn],Column,No,,Pelaya Arapakis,FBNDDA91
89,1,7,01.7,13,1977,September,Which Way?,2,2,Unknown [Fbn],Other,No,FBN [Carol Seajay] asks readers if they know how to get in contact with Out and Out Books as they haven't responded to orders Carol had placed last Spring,Pelaya Arapakis,FBNDDA92
90,1,7,01.7,13,1977,September,New Bookstores,3,3,Unknown [Fbn],Short News,No,,Pelaya Arapakis,FBNDDA93
91,1,7,01.7,13,1977,September,Tidbits,3,3,Unknown [Fbn],Short News,No,"Mentions The Price of Salt and how it was one of the first lesbian novels that ended in a 'happily ever after'. The title is available at Arno in a reprint edition; Time and Book of the Month Club are merging; After finding out that there are 60,000 print copies of Rubyfruit Jungle, Carol has beein interested in the size of press runs for different feminist books; reflections on subliminal advertising",Pelaya Arapakis,FBNDDA94
92,1,7,01.7,13,1977,September,From Our Own Presses,4,4,Unknown [Fbn],Presslist,No,,Pelaya Arapakis,FBNDDA95
93,1,7,01.7,13,1977,September,Periodicals,4,4,Unknown [Fbn],Booklist/Medialist,No,,Pelaya Arapakis,FBNDDA96
94,1,7,01.7,13,1977,September,Comin Soon...,4,4,Unknown [Fbn],Advertisements,No,,Pelaya Arapakis,FBNDDA97
95,1,7,01.7,13,1977,September,Toys,4,4,Unknown [Fbn],Other,No,,Pelaya Arapakis,FBNDDA98
96,1,7,01.7,13,1977,September,More Small Presses,5,5,Unknown [Fbn],Presslist,No,,Pelaya Arapakis,FBNDDA99
97,1,7,01.7,13,1977,September,Finally in Paperback,5,5,Unknown [Fbn],Booklist/Medialist,No,,Pelaya Arapakis,FBNDDA100
98,1,7,01.7,13,1977,September,Mass Market Paperbacks,5,5,Unknown [Fbn],Booklist/Medialist,No,,Pelaya Arapakis,FBNDDA101
99,1,7,01.7,13,1977,September,For Younger Women,5,5,Unknown [Fbn],Booklist/Medialist,No,,Pelaya Arapakis,FBNDDA102
100,1,7,01.7,13,1977,September,Trade Paperbacks,6,6,Unknown [Fbn],Booklist/Medialist,No,,Pelaya Arapakis,FBNDDA103
101,1,7,01.7,13,1977,September,Cloth,6,6,Unknown [Fbn],Booklist/Medialist,No,,Pelaya Arapakis,FBNDDA104
102,1,7,01.7,13,1977,September,Publisher's Weekly Fall Announcements,6,8,Unknown [Fbn],Presslist,Yes,"Illustration of a South African woman reading. The illustration is accompanied with the following quote, ""Now you have touched the women you have struck a rock, you have dislodged a boulder, you will be crushed."" -- Freedom song of South African Black women",Pelaya Arapakis,FBNDDA105
103,1,8,01.8,12,1977,October,Introduction by Carol Seajay,1,2,Carol Seajay,Editor's Note,No,"CS is sending copies of FBN to seven feminist bookstores. Hoping for subscriptions to float them till issue #11. Letting readers know ""where things stand at the moment"". May have to find/ask for more money to get issues out. Deadline for next issue November 15th. CS explains what happens after the deadline. CS hopes to divide the labor that has been put mainly on her, asking ""is anyone there?""",Margaret Zanmiller,FBNDDA106
104,1,8,01.8,12,1977,October,Young Women & Youth Liberation Booklist,2,2,Helaine Harris [Wind]; Jeanne Cordova [Lesbian Tide],Letters,No,"Lesbian Tide writes $6 per year for 6 issues. Feminist businesses are teaching each other, FBN taught Lesbian Tide. Calls for anyone who would like to carry Lesbian Tide in their store to reach out. Helaine Harris writes thanking FBN for listing and noting books available from WIND. Updates what WIND is up to including a relocation, and having more titles.",Margaret Zanmiller,FBNDDA107
105,1,8,01.8,12,1977,October,New Bookstores,4,4,Unknown,Short News,No,A Room of One's Own in Annapolis MD; Women's Words in Warner NY; Womankind Bookstore Isla Vista CA.,Margaret Zanmiller,FBNDDA108
106,1,8,01.8,12,1977,October,Doing Used Books,3,4,Unknown,Short News,No,Bringing down the cost of information; Needing a merchandise license; Budgeting notes; Buying mainly paperbacks as opposed to hardbacks. Needing guidelines on pricing; Issuing Credits; Bookkeeping; Scream Quietly will be available soon; Inquiry on getting Monique Wittig's book in French; Black women don't control publishing houses based on the inability to find more than 2 published books by black women; worried about the movie adaptation of Lillian Hellman's Pentimento; Meg Christians album is here,Margaret Zanmiller,FBNDDA109
107,1,8,01.8,12,1977,October,Graphic,5,5,Unknown,Other,Yes,graphic of different feminist bookstore logos and illustrations.,Margaret Zanmiller,FBNDDA110
108,1,8,01.8,12,1977,October,More Bookstores!,5,6,Unknown,Short News,No,excerpts from Margy's list in Lesbian Connection; Blurb about Lesbian Connection; Feminist Horizons Los Angeles CA; The Feminist WICCA in Venice CA; SoJourner in Long Beach CA; Page One in Pasadena CA; Women's Store in San Diego CA; Bloodroot/Feminist Bookmobile in Westport CT; Herstore in Tallahassee FL; Feminist Connection Bookshop in Tampa FL; Our Place in Tampa FL; Her Shelf in Highland Park MI; Womenscrafts in Provincetown MA; The Woman's Eye on St Louis MO; The Book End in Omaha NE; Tigris Euphrates in Plainfield VT; Eve's Garden in New York NY; Sisterspace in Fort Wayne IN; A Room of Her Own in Tulsa OK; Birmingham Booksellers in Pittsburgh PA; Women's Cultural Trust Bookstore in Philadelphia PA; SoJourner in Columbia SC; Something Ventured in Green Bay WI; Cora in Toronto Ont.; Vancouver Women's Bookstore in Vancouver BC; Lilith in Berlin Germany,Margaret Zanmiller,FBNDDA111
109,1,8,01.8,12,1977,October,Update-Who's Where,6,6,Unknown,Short News,No,New Addresses: Ms Atlas Press & Bookstore; Naiad Press; Sister (Magazine). New names: The Thirteenth Moon is now Sistermoon; A Woman's Bookstore is now Womanspace.,Margaret Zanmiller,FBNDDA112
110,1,8,01.8,12,1977,October,New Books & Other Pleasures,7,8,Unknown,Presslist,No,"From Our Own Presses: Dreams by Nellie Wong; Love Image by Valerie Taylor; Muse of the Violets by Rene Vivian; Scum Manifesto by Valerie Solanas; Woman in the Moon by Djane Bogus. More small and Movement Presses: La Cosecha, Literatura Y La Mujer Chicana; Rites of Ancient Ripening; Fall list from New Star Books; Times Change Press; Lady Slipper Music; Flying Lesbians -German separatist band; Carol Mccombs; Ursula K.",Margaret Zanmiller,FBNDDA113
111,1,8,01.8,12,1977,October,Periodicals,8,8,Unknown,Other,No,Women Artists Newsletter; Through to Looking Glass (regarding incarceration),Margaret Zanmiller,FBNDDA114
112,1,8,01.8,12,1977,October,& Brought to You by the Literary Industrial Complex,9,11,Unknown,Presslist,No,"Four Women by Ruth and Oscar Lewis et al; Passionate Crusader by Ruth Hall; Fat & Thin by Alice Marriot et al; The Trial of Annie Besant; Indira Gandhi; Put Down and Ripped Off by Nora S Kinzer; Women and Equality; In The Looking Glass; The Stepdaughter by Caroline B Scribner; Pulling No Punches by India Edwards; Wander, Wander by Dix Neyer; The Second Season by Estelle Fuchs; How Far is Berkeley by Helen Chetlin; Apostles into Terrorists; The House by the Sea by May Sarton; My Mother My Self by Nancy F Dial/Delecorte; Corn Village by Meridel La Sueur; Single; Womanpower and Health Care by Marlen Gressum et al; Sexism & Language; The Serial by Cyra McFadden; Colette by Yvonne Mitchel; Virginia Woolf by John Lehmann; Conversations by Terry Wetherby; Nobody Speaks for Me by Nancy Seifer; No Life for a Lady by Agnes M Cleaveland; Sin, Sickness, & Sanity by Vern & Bonnie Bullough; The Mermaid and the Minotaur by Dorothy Dinnerstein; Diary of Anais Nin; Words of Pain by Lillian Breslow; Jewish Women in America by Charlette Baum; Journal of Solitude by Mary Sarton; Women by Vidal S Clay. Coming Soon: Battered Wives Del Martin Pocket Books; Of Woman Born; Singin' & Swingin' & Getting Merry Like Christmas by Maya Angelou; The Madams of San Francisco.",Margaret Zanmiller,FBNDDA115
113,1,8,01.8,12,1977,October,Excerpts from PW,11,11,Unknown,Presslist,No,Closing Time by Lacey Fosburgh; Sex For Women by Carmen Kerr; Let Them Speak For Themselves by Christine Fisher; A Marriage of True Minds by George Spater et al; The Autobiography of Joan Baez; Hearts and Minds by Axel Madsen; Women by Janet Giele et al; What Manner of Woman by Marlene Springer; Fat Men From Space by Daniel M Pinkwater.,Margaret Zanmiller,FBNDDA116
114,1,8,01.8,12,1977,October,end page,12,12,Unknown,Other,No,Feminist Bookstores Newsletter. C/o Old Wives Tales. 532 Valencia St. San Francisco CA 94110.,Margaret Zanmiller,FBNDDA117
115,1,9.1,1.9.10,20,1977,December,State of the News/Letter,1,2,Carol Seajay,News Feature,Yes,"graphic: feminist bookstore news logo. text: FBN income since Sept. 1976 was $973, and expenses were $1,164, so a new subscription year begins in December. Not enough subscriptions have come in since last April. Andre is no longer working on the newsletter. CS wants to do the newsletter every 6 weeks because the timing of every month is hard on her. She enjoys doing FBN, but would be willing to pass it on. Should individuals be allowed to purchase FBN copies?",Margaret Zanmiller,FBNDDA118
116,1,9.1,1.9.10,20,1977,December,letter,6,6,Carol Seajay,Letters,No,Seajay's response to Elizabeth Lay's letter.,Margaret Zanmiller,FBNDDA119
117,1,9.1,1.9.10,20,1977,December,Diana Press Invaded/Attacked by Vandals,3,4,Diana [Diana Press],Letters,No,"Diana's Press, 4400 Market Street, Oakland CA 94608. was broken into October 25, 1977. Thousands of books are destroyed by chemical substances such as solvents. TYpesettings, pasted-up books, negatives, and plates were destroyed as well. Suspects are believed to be women. They suspect governmental agents, women in the movement opposed to Diana's Press and FEN, or a combination of both. Feminists who are anti-capitalists are mentioned as a motive. Made possible by the climate of verbal violence. Finances are in trouble because of the vandalism, and emotional stability and morale have struggled. ""We need women to send us donations"".",Margaret Zanmiller,FBNDDA120
118,1,9.1,1.9.10,20,1977,December,Dear FBN,7,7,Eleanor [Womanbooks],Letters,No,Bookstore list: Woman's Eye in St. Louis and Birmingham in Pittsburgh. Womanbooks has Battered Wives and Of Woman Born in paper now. Shares feelings about KNOW (doesn't like them very much). Ask visitors to bring something to put in a scrapbook.,Margaret Zanmiller,FBNDDA121
119,1,9.1,1.9.10,20,1977,December,FBN Gets Letters,5,5,Elizabeth Lay,Letters,No,Lay & Singer - Feminist Literacy Agency. Established in July of 1977. Feminist business with the goal of publishing and media of women writers. Funded out of their own pockets. Asks to subscribe to FBN for $8.,Margaret Zanmiller,FBNDDA122
