author,author_gender,original_title,original_language,original_publication_year,translated_title,translated_language,translated_publication_year,translator
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,אישה בכלוב,Hebrew,2012,"Asherov, Erez"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,Komora,Slovenian,2012,"Čuden, Darko"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,Vanki,Finnish,2012,"Huttunen, Katriina"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,Žena u kavezu,Croatian,2012,"Maras, Marko"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,Žena u kavezu,Serbian,2012,"Tričić, Dubravka"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,檻の中の女,Japanese,2012,吉田  奈保子
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,Moteris Narve,Lithuanian,2013,"Lešinskaitė, Vaiva"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,Camera Groazei,Romanian,2013,"Soft, Graal"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,자비를 구하지 않는 여자,Korean,2013,서지희
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,O Guardião das Causas Perdidas,Portuguese,2014,"Andrade, Isabel"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,দ্য কীপার অভ লস্ট কজেস,Bengali,2014,"Hossain, Shawkat"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,Жената во кафезот,Macedonian,2014,"Krsteva-Ichokaeva, Lara"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,Naine puuris,Estonian,2014,"Toomet, Tiina"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,A mulher enjaulada,Portuguese,2014,"Ventura, João"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,Жената в капан,Bulgarian,2014,"Кънева, Eва"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,หลุมพยาบาท,Thai,2014,"ฤทธาภิรมย์, อุษา"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,笼里的女人,Chinese,2015,张维娟
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,Cô gái trong lồng,Vietnamese,2018,"Hoàng, Anh"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,Žena v klietke,Slovak,2018,"Kerlik, Peter"
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,Battuta di caccia,Italian,2010,"D'Avino, Maria Valeria"
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,De fazantenmoordenaars,Dutch,2010,"De Vries, Kor"
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,Los chicos que cayeron en la trampa,Spanish,2010,"Miguel, Nicolas De"
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,Fasandreperne,Norwegian,2010,"Øvergaard, Kirsti"
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,Schändung,German,2010,"Thiess, Hannes"
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,Zabijáci,Czech,2010,"Václavů, Kristina"
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,Kara Leke,Turkish,2010,"Yücel, Gökhan"
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,Bεβήλωση,Greek,2010,"Καψάλης, Xρήστος"
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,Zabójcy bażantów,Polish,2011,"Cymbrykiewicz, Joanna"
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,Fasanjägarna,Swedish,2011,"Jacobsen, Leif"
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,Vanatorii de oameni,Romanian,2011,"Soft, Graal"
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,Fácángyilkosok,Hungarian,2011,"Zsolt, Szőke"
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,キジ殺し,Japanese,2011,吉田 薫  ;  福原  美穂子
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,Fazanu slepkavas,Latvian,2012,"Deniņa, Dace"
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,Ubojice fazana,Croatian,2012,"Đurđević, Miloš"
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,Veiðimennirnir,Icelandic,2012,"Hilmarsson, Hilmar"
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,Bez Milosti,Serbian,2012,"Nikolić, Vladimir D."
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,Disgrace,English,2012,"Semmel, K. E."
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,Охотники на фазанов,Russian,2012,"Streblova, Inna"
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,Profanation,French,2013,"Berg, Caroline"
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,Fazanarji,Slovenian,2013,"Čuden, Darko"
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,Metsästäjät,Finnish,2013,"Huttunen, Katriina"
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,도살자들,Korean,2013,김 성훈
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,הציידים,Hebrew,2014,"Asherov, Erez"
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,Faasanijaht,Estonian,2014,"Siiner, Maarja"
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,Zabijaci,Slovak,2014,"Žitný, Milan ; Šebová, Silvia"
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,yбийци на фазани,Bulgarian,2014,"Кънева, Eва"
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,A Caça,Portuguese,2015,"Abeling, Claudia"
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,雉雞殺手,Chinese,2015,管中琪
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,Desejo de vinganca,Portuguese,2016,"Andrade, Isabel"
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,Fazanų žudikai,Lithuanian,2017,"Mackevičiūtė, Agnė"
"Adler-Olsen, Jussi",m,Fasandræberne,Danish,2008,Ловци на фазани,Macedonian,2018,"Hristovski, Sašo"
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,Il messaggio nella bottiglia,Italian,2010,"D'Avino, Maria Valeria"
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,De noodkreet in de fles,Dutch,2010,"De Vries, Kor"
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,Flaskepost fra P,Norwegian,2010,"Krogstad, Erik Johannes"
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,El mensaje que llegó en una botella,Spanish,2010,"Mendizábal, Juan Mari"
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,Mατωμένο μήνυμα,Greek,2010,"Καψάλης, Xρήστος"
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,Tьма в бутылк,Russian,2010,"Жиганова, Вера"
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,Flaskpost från P,Swedish,2011,"Jacobsen, Leif"
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,Erlösung,German,2011,"Thiess, Hannes"
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,Wybawienie,Polish,2012,"Cymbrykiewicz, Joanna"
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,Vzkaz v láhvi,Czech,2012,"Jírková, Magdalena"
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,Flöskuskeyti frá P,Icelandic,2012,"Kristjánsson, Jón St."
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,Pからのメッセージ,Japanese,2012,福原  美穂子
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,Redemption,English,2013,"Aitken, Martin"
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,Izginotje,Slovenian,2013,"Čuden, Darko"
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,Vēstule pudelē,Latvian,2013,"Deniņa, Dace"
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,Poruka u boci,Croatian,2013,"Maras, Marko"
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,Palackposta,Hungarian,2013,"Torma, Péter"
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,Délivrance,French,2014,"Berg, Caroline"
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,Pullopostia,Finnish,2014,"Huttunen, Katriina"
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,Poruka u boci,Serbian,2014,"Maoduš,  Branislava"
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,Somnul rațiunii,Romanian,2014,"Soft, Graal"
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,Atpirkimas,Lithuanian,2015,"Alba, Astra"
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,Писмо в бутилка от П.,Bulgarian,2015,"Кънева, Eва"
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,瓶中信,Chinese,2015,管中琪
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,3: Pudelpost,Estonian,2016,"Toomet, Tiina"
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,A Mensagem na Garrafa,Portuguese,2018,"Bouza da Costa, João"
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,유리병 편지,Korean,2019,정 장 진
"Adler-Olsen, Jussi",m,Flaskepost fra P,Danish,2009,גאולה,Hebrew,2020,"Asherov, Erez"
"Adler-Olsen, Jussi",m,Journal 64,Danish,2010,Dossier 64,Dutch,2010,"De Vries, Kor"
"Adler-Olsen, Jussi",m,Journal 64,Danish,2010,カルテ番号64,Japanese,2011,吉田 薫
"Adler-Olsen, Jussi",m,Journal 64,Danish,2010,Journal 64,Swedish,2012,"Jacobsen, Leif"
"Adler-Olsen, Jussi",m,Journal 64,Danish,2010,Složka 64,Czech,2012,"Jírková, Magdalena"
"Adler-Olsen, Jussi",m,Journal 64,Danish,2010,Expediente 64,Spanish,2012,"Mendizábal, Juan Mari"
"Adler-Olsen, Jussi",m,Journal 64,Danish,2010,Guilt,English,2013,"Aitken, Martin"
"Adler-Olsen, Jussi",m,Journal 64,Danish,2010,Dossier 64,French,2013,"Berg, Caroline"
"Adler-Olsen, Jussi",m,Journal 64,Danish,2010,Paziente 64,Italian,2013,"D'Avino, Maria Valeria"
"Adler-Olsen, Jussi",m,Journal 64,Danish,2010,A  64-es betegnapló,Hungarian,2013,"Gyula, Somogyi"
"Adler-Olsen, Jussi",m,Journal 64,Danish,2010,Skýrsla 64,Icelandic,2013,"Kristjánsson, Jón St."
"Adler-Olsen, Jussi",m,Journal 64,Danish,2010,Journal 64,Norwegian,2013,"Krogstad, Erik Johannes"
"Adler-Olsen, Jussi",m,Journal 64,Danish,2010,第64號病歷,Chinese,2013,管中琪
"Adler-Olsen, Jussi",m,Journal 64,Danish,2010,Okus osvete,Croatian,2014,"Nikolić, Vladimir D."
"Adler-Olsen, Jussi",m,Journal 64,Danish,2010,Verachtung,German,2014,"Thiess, Hannes"
"Adler-Olsen, Jussi",m,Journal 64,Danish,2010,Enoxh,Greek,2014,"Καψάλης, Xρήστος"
"Adler-Olsen, Jussi",m,Journal 64,Danish,2010,Lieta nr. 64,Latvian,2015,"Deniņa, Dace"
"Adler-Olsen, Jussi",m,Journal 64,Danish,2010,Tapaus 64,Finnish,2015,"Huttunen, Katriina"
"Adler-Olsen, Jussi",m,Journal 64,Danish,2010,Ukus osvete,Serbian,2015,"Nikolić, Vladimir D."
"Adler-Olsen, Jussi",m,Journal 64,Danish,2010,Kaltė,Lithuanian,2015,"Tartėnienė, Giedrė"
"Adler-Olsen, Jussi",m,Journal 64,Danish,2010,Пациент 64,Bulgarian,2015,"Кънева, Eва"
"Adler-Olsen, Jussi",m,Journal 64,Danish,2010,Patsiendikaart 64,Estonian,2016,"Toomet, Tiina"
"Adler-Olsen, Jussi",m,Journal 64,Danish,2010,Журнал 64,Russian,2016,"Жиганова, Вера"
"Adler-Olsen, Jussi",m,Journal 64,Danish,2010,Culpa,Romanian,2017,"Soft, Graal"
"Adler-Olsen, Jussi",m,Journal 64,Danish,2010,Kartoteka 64,Polish,2018,"Cymbrykiewicz, Joanna"
"Adler-Olsen, Jussi",m,Marco Effekten,Danish,2012,知りすぎたマルコ― 下,Japanese,2012,吉田 薫
"Adler-Olsen, Jussi",m,Marco Effekten,Danish,2012,Marco-effekten,Norwegian,2013,"Bjørnson, Elisabeth; Reisegg, Øyvind"
"Adler-Olsen, Jussi",m,Marco Effekten,Danish,2012,Het Marco-Effekt,Dutch,2013,"De Vries, Kor"
"Adler-Olsen, Jussi",m,Marco Effekten,Danish,2012,Marcoeffekten,Swedish,2013,"Jacobsen, Leif"
"Adler-Olsen, Jussi",m,Marco Effekten,Danish,2012,El efecto Marcus,Spanish,2013,"Mendizábal, Juan Mari"
"Adler-Olsen, Jussi",m,Marco Effekten,Danish,2012,Erwartung,German,2013,"Thiess, Hannes"
"Adler-Olsen, Jussi",m,Marco Effekten,Danish,2012,Marco,Czech,2013,"Václavů, Kristina"
"Adler-Olsen, Jussi",m,Marco Effekten,Danish,2012,尋人啟事,Chinese,2013,管中琪
"Adler-Olsen, Jussi",m,Marco Effekten,Danish,2012,Hajtóvadászat,Hungarian,2014,"Dobosi, Beáta"
"Adler-Olsen, Jussi",m,Marco Effekten,Danish,2012,Marco-áhrifin,Icelandic,2014,"Kristjánsson, Jón St."
"Adler-Olsen, Jussi",m,Marco Effekten,Danish,2012,Buried,English,2015,"Aitken, Martin"
"Adler-Olsen, Jussi",m,Marco Effekten,Danish,2012,L'effet papillon,French,2015,"Berg, Caroline"
"Adler-Olsen, Jussi",m,Marco Effekten,Danish,2012,Leptirov efekt,Croatian,2015,"Kopjar, Marina"
"Adler-Olsen, Jussi",m,Marco Effekten,Danish,2012,L'effetto farfalla,Italian,2016,"D'Avino, Maria Valeria"
"Adler-Olsen, Jussi",m,Marco Effekten,Danish,2012,Marko Efekts,Latvian,2016,"Deniņa, Dace"
"Adler-Olsen, Jussi",m,Marco Effekten,Danish,2012,Poika varjoista,Finnish,2016,"Huttunen, Katriina"
"Adler-Olsen, Jussi",m,Marco Effekten,Danish,2012,Эффект Марко,Russian,2016,"Жиганова, Вера"
"Adler-Olsen, Jussi",m,Marco Effekten,Danish,2012,Марко,Bulgarian,2016,"Кънева, Eва"
"Adler-Olsen, Jussi",m,Marco Effekten,Danish,2012,Palaidotas,Lithuanian,2017,"Berkuvienė, Nomeda"
"Adler-Olsen, Jussi",m,Marco Effekten,Danish,2012,Efekat Marko,Serbian,2017,"Bižić, Mirko"
"Adler-Olsen, Jussi",m,Marco Effekten,Danish,2012,Pogrzebany,Polish,2018,"Cymbrykiewicz, Joanna"
"Adler-Olsen, Jussi",m,Marco Effekten,Danish,2012,Poiss Varjust,Estonian,2018,"Salmistu, Minna"
"Adler-Olsen, Jussi",m,Marco Effekten,Danish,2012,Αναμονή,Greek,2019,"Καψάλης, Xρήστος"
"Adler-Olsen, Jussi",m,Marco Effekten,Danish,2012,اثر پروانه‌ای,Persian,2020,قاسم صنعوی
"Adler-Olsen, Jussi",m,Den Grænseløse,Danish,2014,Promesse,French,2013,"Berg, Caroline"
"Adler-Olsen, Jussi",m,Den Grænseløse,Danish,2014,De grenzeloze,Dutch,2015,"De Vries, Kor"
"Adler-Olsen, Jussi",m,Den Grænseløse,Danish,2014,Határtalanul,Hungarian,2015,"Dobosi, Beáta"
"Adler-Olsen, Jussi",m,Den Grænseløse,Danish,2014,The Hanging Girl,English,2015,"Frost, William"
"Adler-Olsen, Jussi",m,Den Grænseløse,Danish,2014,Den Gränslöse,Swedish,2015,"Jacobsen, Leif"
"Adler-Olsen, Jussi",m,Den Grænseløse,Danish,2014,Stúlkan í trénu,Icelandic,2015,"Kristjánsson, Jón St."
"Adler-Olsen, Jussi",m,Den Grænseløse,Danish,2014,Den grenseløse,Norwegian,2015,"Krogstad, Erik Johannes"
"Adler-Olsen, Jussi",m,Den Grænseløse,Danish,2014,NIIDITÕMBAJA,Estonian,2015,"Lauriste, Aive"
"Adler-Olsen, Jussi",m,Den Grænseløse,Danish,2014,Sin límites,Spanish,2015,"Mendizábal, Juan Mari"
"Adler-Olsen, Jussi",m,Den Grænseløse,Danish,2014,Verheissung,German,2015,"Thiess, Hannes"
"Adler-Olsen, Jussi",m,Den Grænseløse,Danish,2014,Nesmírný,Czech,2015,"Václavů, Kristina"
"Adler-Olsen, Jussi",m,Den Grænseløse,Danish,2014,吊るされた少女,Japanese,2015,"奈保子, 吉田"
"Adler-Olsen, Jussi",m,Den Grænseløse,Danish,2014,La promessa,Italian,2016,"D'Avino, Maria Valeria"
"Adler-Olsen, Jussi",m,Den Grænseløse,Danish,2014,Без предела,Russian,2016,"Жиганова, Вера"
"Adler-Olsen, Jussi",m,Den Grænseløse,Danish,2014,血色獻祭,Chinese,2016,管中琪
"Adler-Olsen, Jussi",m,Den Grænseløse,Danish,2014,Manipulator,Serbian,2017,"Bižić, Mirko"
"Adler-Olsen, Jussi",m,Den Grænseløse,Danish,2014,Bez robežām,Latvian,2017,"Deniņa, Dace"
"Adler-Olsen, Jussi",m,Den Grænseløse,Danish,2014,Vartija,Finnish,2017,"Huttunen, Katriina"
"Adler-Olsen, Jussi",m,Den Grænseløse,Danish,2014,Безгранично,Bulgarian,2017,"Кънева, Eва"
"Adler-Olsen, Jussi",m,Den Grænseløse,Danish,2014,Wisząca dziewczyn,Polish,2018,"Cymbrykiewicz, Joanna"
"Adler-Olsen, Jussi",m,Den Grænseløse,Danish,2014,Bez granica,Croatian,2018,"Kopjar, Marina"
"Adler-Olsen, Jussi",m,Den Grænseløse,Danish,2014,ΤΟ ΚΟΡΙΤΣΙ ΣΤΟ ΔΕΝΤΡΟ,Greek,2020,"Καψάλης, Xρήστος"
"Adler-Olsen, Jussi",m,Selfies,Danish,2016,Selfies,French,2017,"Berg, Caroline"
"Adler-Olsen, Jussi",m,Selfies,Danish,2016,Selfi,Serbian,2017,"Bižić, Mirko"
"Adler-Olsen, Jussi",m,Selfies,Danish,2016,Selfie,Italian,2017,"D'Avino, Maria Valeria ; Letizia, Claudia Valeria"
"Adler-Olsen, Jussi",m,Selfies,Danish,2016,Selfies,Dutch,2017,"De Vries, Kor"
"Adler-Olsen, Jussi",m,Selfies,Danish,2016,Selfiji,Latvian,2017,"Deniņa, Dace"
"Adler-Olsen, Jussi",m,Selfies,Danish,2016,The Scarred Woman,English,2017,"Frost, William"
"Adler-Olsen, Jussi",m,Selfies,Danish,2016,Selfiet,Finnish,2017,"Huttunen, Katriina"
"Adler-Olsen, Jussi",m,Selfies,Danish,2016,Selfies,Swedish,2017,"Jacobsen, Leif"
"Adler-Olsen, Jussi",m,Selfies,Danish,2016,Afætur,Icelandic,2017,"Kristjánsson, Jón St."
"Adler-Olsen, Jussi",m,Selfies,Danish,2016,Selfies,Norwegian,2017,"Krogstad, Erik Johannes"
"Adler-Olsen, Jussi",m,Selfies,Danish,2016,Selfies,Spanish,2017,"Mendizábal, Juan Mari"
"Adler-Olsen, Jussi",m,Selfies,Danish,2016,Szelfik,Hungarian,2017,"Sulyok, Viktória"
"Adler-Olsen, Jussi",m,Selfies,Danish,2016,Selfies,German,2017,"Thiess, Hannes"
"Adler-Olsen, Jussi",m,Selfies,Danish,2016,Selfies,Czech,2017,"Václavů, Kristina"
"Adler-Olsen, Jussi",m,Selfies,Danish,2016,自撮りする女た,Japanese,2017,吉田  奈保子
"Adler-Olsen, Jussi",m,Selfies,Danish,2016,Селфи,Russian,2018,"Жиганова, Вера"
"Adler-Olsen, Jussi",m,Selfies,Danish,2016,自拍殺機,Chinese,2018,廖素珊
"Adler-Olsen, Jussi",m,Selfies,Danish,2016,Белязаната жена,Bulgarian,2019,"Кънева, Eва"
"Adler-Olsen, Jussi",m,Selfies,Danish,2016,Kobieta z blizną,Polish,2020,"Cymbrykiewicz, Joanna"
"Adler-Olsen, Jussi",m,Selfies,Danish,2016,Selfid,Estonian,2020,"Velsker, Eva"
"Adler-Olsen, Jussi",m,Offer 2117,Danish,2019,Slachtoffer 2117,Dutch,2019,"De Vries, Kor"
"Adler-Olsen, Jussi",m,Offer 2117,Danish,2019,Opfer 2117,German,2019,"Thiess, Hannes"
"Adler-Olsen, Jussi",m,Offer 2117,Danish,2019,Oběť 2117,Czech,2019,"Václavů, Kristina"
"Adler-Olsen, Jussi",m,Offer 2117,Danish,2019,Victime 2117,French,2020,"Berg, Caroline"
"Adler-Olsen, Jussi",m,Offer 2117,Danish,2019,Žrtva 2117,Serbian,2020,"Bižić, Mirko"
"Adler-Olsen, Jussi",m,Offer 2117,Danish,2019,Vittima numero 2117,Italian,2020,"D'Avino, Maria Valeria"
"Adler-Olsen, Jussi",m,Offer 2117,Danish,2019,Upuris 2117,Latvian,2020,"Deniņa, Dace"
"Adler-Olsen, Jussi",m,Offer 2117,Danish,2019,Victim 2117,English,2020,"Frost, William"
"Adler-Olsen, Jussi",m,Offer 2117,Danish,2019,Offer 2117,Swedish,2020,"Hansson, Helena"
"Adler-Olsen, Jussi",m,Offer 2117,Danish,2019,Uhri 2117,Finnish,2020,"Huttunen, Katriina"
"Adler-Olsen, Jussi",m,Offer 2117,Danish,2019,Offer 2117,Norwegian,2020,"Krogstad, Erik Johannes"
"Adler-Olsen, Jussi",m,Offer 2117,Danish,2019,Fórnarlamb 2117,Icelandic,2020,"Matthíasdóttir, Magnea J."
"Adler-Olsen, Jussi",m,Offer 2117,Danish,2019,La Víctima 2117,Spanish,2020,"Mendizábal, Juan Mari"
"Adler-Olsen, Jussi",m,Offer 2117,Danish,2019,A 2117. áldozat,Hungarian,2020,"Sulyok, Viktória"
"Adler-Olsen, Jussi",m,Offer 2117,Danish,2019,Жертва 2117,Bulgarian,2020,"Кънева, Eва"
"Adler-Olsen, Jussi",m,Offer 2117,Danish,2019,特捜部Ｑ―アサドの祈り―,Japanese,2020,吉田  奈保子
"Ahnhem, Stefan",m,Offer utan ansikte,Swedish,2014,Und morgen du,German,2014,"Frey, Katrin"
"Ahnhem, Stefan",m,Offer utan ansikte,Swedish,2014,Offer uden ansigt,Danish,2014,"Juel Michelsen, Anders"
"Ahnhem, Stefan",m,Offer utan ansikte,Swedish,2014,Zonder gezicht,Dutch,2014,"Kraamer, Bart"
"Ahnhem, Stefan",m,Offer utan ansikte,Swedish,2014,Pimeään jäänyt,Finnish,2015,"Beck, Laura"
"Ahnhem, Stefan",m,Offer utan ansikte,Swedish,2014,Offer uten ansikt,Norwegian,2015,"Bolstad, Kari"
"Ahnhem, Stefan",m,Offer utan ansikte,Swedish,2014,Domani tocca a te,Italian,2015,"Nerito, Roberta"
