author,original_title,original_language,original_publication_year,translated_title,translated_language,translated_publication_year
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,Sieviete būrī,Latvian,2011
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,Kvinden i buret (Armenian),Armenian,2012
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,Vanki,Finnish,2012
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,אישה בכלוב,Hebrew,2012
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,檻の中の女,Japanese,2012
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,Žena u kavezu,Serbian,2012
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,Komora,Slovenian,2012
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,자비를 구하지 않는 여자,Korean,2013
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,Moteris Narve,Lithuanian,2013
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,Camera Groazei,Romanian,2013
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,দ্য কীপার অভ লস্ট কজেস,Bengali,2014
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,Жената в капан,Bulgarian,2014
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,Naine puuris,Estonian,2014
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,Nyomtalanul,Macedonian,2014
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,A mulher enjaulada,Portuguese,2014
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,O Guardião das Causas Perdidas,Portuguese,2014
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,หลุมพยาบาท,Thai,2014
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,笼里的女人,Chinese,2015
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,Žena v klietke,Slovak,2018
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,Kvinnan i rummet,Swedish,2018
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,Zabijáci,Czech,2010
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,De fazantenmoordenaars,Dutch,2010
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,Schändung,German,2010
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,Bεβήλωση,Greek,2010
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,Battuta di caccia,Italian,2010
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,Fasandreperne,Norwegian,2010
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,Los chicos que cayeron en la trampa,Spanish,2010
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,Kara Leke,Turkish,2010
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,Fácángyilkosok,Hungarian,2011
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,キジ殺し,Japanese,2011
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,Zabójcy bażantów,Polish,2011
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,Vanatorii de oameni,Romanian,2011
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,Ubojice fazana,Croatian,2012
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,Disgrace,English,2012
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,Veiðimennirnir,Icelandic,2012
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,Fazanu slepkavas,Latvian,2012
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,Охотники на фазанов,Russian,2012
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,Bez Milosti,Serbian,2012
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,Metsästäjät,Finnish,2013
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,Profanation,French,2013
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,도살자들,Korean,2013
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,Fazanarji,Slovenian,2013
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,yбийци на фазани,Bulgarian,2014
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,Faasanijaht,Estonian,2014
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,הציידים,Hebrew,2014
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,Zabijaci,Slovak,2014
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,雉雞殺手,Chinese,2015
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,A Caça,Portuguese,2015
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,Desejo de vinganca,Portuguese,2016
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,Fazanų žudikai,Lithuanian,2017
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,Ловци на фазани,Macedonian,2018
"Adler-Olsen, Jussi",Fasandræberne,Danish,2008,Fasanjägarna,Swedish,2018
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,De noodkreet in de fles,Dutch,2010
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,Mατωμένο μήνυμα,Greek,2010
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,Il messaggio nella bottiglia,Italian,2010
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,Flaskepost fra P,Norwegian,2010
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,Tьма в бутылк,Russian,2010
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,El mensaje que llegó en una botella,Spanish,2010
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,Erlösung,German,2011
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,Vzkaz v láhvi,Czech,2012
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,Šlt Flöskuskeyti frá P,Icelandic,2012
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,Pからのメッセージ,Japanese,2012
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,Wybawienie,Polish,2012
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,Poruka u boci,Croatian,2013
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,Redemption,English,2013
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,Palackposta,Hungarian,2013
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,Vēstule pudelē,Latvian,2013
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,Izginotje,Slovenian,2013
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,Pullopostia,Finnish,2014
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,Délivrance,French,2014
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,Somnul rațiunii,Romanian,2014
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,Poruka u boci,Serbian,2014
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,Писмо в бутилка от П.,Bulgarian,2015
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,瓶中信,Chinese,2015
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,Atpirkimas,Lithuanian,2015
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,3: Pudelpost,Estonian,2016
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,A Mensagem na Garrafa,Portuguese,2018
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,Flaskpost från P,Swedish,2018
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,유리병 편지,Korean,2019
"Adler-Olsen, Jussi",Flaskepost fra P,Danish,2009,גאולה,Hebrew,2020
"Adler-Olsen, Jussi",Journal 64,Danish,2010,Dossier 64,Dutch,2010
"Adler-Olsen, Jussi",Journal 64,Danish,2010,カルテ番号64,Japanese,2011
"Adler-Olsen, Jussi",Journal 64,Danish,2010,Složka 64,Czech,2012
"Adler-Olsen, Jussi",Journal 64,Danish,2010,Expediente 64,Spanish,2012
"Adler-Olsen, Jussi",Journal 64,Danish,2010,第64號病歷,Chinese,2013
"Adler-Olsen, Jussi",Journal 64,Danish,2010,Guilt,English,2013
"Adler-Olsen, Jussi",Journal 64,Danish,2010,Dossier 64,French,2013
"Adler-Olsen, Jussi",Journal 64,Danish,2010,A  64-es betegnapló,Hungarian,2013
"Adler-Olsen, Jussi",Journal 64,Danish,2010,Skýrsla 64,Icelandic,2013
"Adler-Olsen, Jussi",Journal 64,Danish,2010,Paziente 64,Italian,2013
"Adler-Olsen, Jussi",Journal 64,Danish,2010,Journal 64,Norwegian,2013
"Adler-Olsen, Jussi",Journal 64,Danish,2010,Okus osvete,Croatian,2014
"Adler-Olsen, Jussi",Journal 64,Danish,2010,Verachtung,German,2014
"Adler-Olsen, Jussi",Journal 64,Danish,2010,Enoxh,Greek,2014
"Adler-Olsen, Jussi",Journal 64,Danish,2010,Пациент 64,Bulgarian,2015
"Adler-Olsen, Jussi",Journal 64,Danish,2010,Tapaus 64,Finnish,2015
"Adler-Olsen, Jussi",Journal 64,Danish,2010,Lieta nr. 64,Latvian,2015
"Adler-Olsen, Jussi",Journal 64,Danish,2010,Kaltė,Lithuanian,2015
"Adler-Olsen, Jussi",Journal 64,Danish,2010,Ukus osvete,Serbian,2015
"Adler-Olsen, Jussi",Journal 64,Danish,2010,Patsiendikaart 64,Estonian,2016
"Adler-Olsen, Jussi",Journal 64,Danish,2010,Журнал 64,Russian,2016
"Adler-Olsen, Jussi",Journal 64,Danish,2010,Culpa,Romanian,2017
"Adler-Olsen, Jussi",Journal 64,Danish,2010,Kartoteka 64,Polish,2018
"Adler-Olsen, Jussi",Journal 64,Danish,2010,Journal 64,Swedish,2018
"Adler-Olsen, Jussi",Marco Effekten,Danish,2012,知りすぎたマルコ― 下,Japanese,2012
"Adler-Olsen, Jussi",Marco Effekten,Danish,2012,尋人啟事,Chinese,2013
"Adler-Olsen, Jussi",Marco Effekten,Danish,2012,Marco,Czech,2013
"Adler-Olsen, Jussi",Marco Effekten,Danish,2012,Het Marco-Effekt,Dutch,2013
"Adler-Olsen, Jussi",Marco Effekten,Danish,2012,Erwartung,German,2013
"Adler-Olsen, Jussi",Marco Effekten,Danish,2012,Marco-effekten,Norwegian,2013
"Adler-Olsen, Jussi",Marco Effekten,Danish,2012,El efecto Marcus,Spanish,2013
"Adler-Olsen, Jussi",Marco Effekten,Danish,2012,Marcoeffekten,Swedish,2013
"Adler-Olsen, Jussi",Marco Effekten,Danish,2012,Hajtóvadászat,Hungarian,2014
"Adler-Olsen, Jussi",Marco Effekten,Danish,2012,Šlt Marco-áhrifin,Icelandic,2014
"Adler-Olsen, Jussi",Marco Effekten,Danish,2012,Leptirov efekt,Croatian,2015
"Adler-Olsen, Jussi",Marco Effekten,Danish,2012,Buried,English,2015
"Adler-Olsen, Jussi",Marco Effekten,Danish,2012,L'effet papillon,French,2015
"Adler-Olsen, Jussi",Marco Effekten,Danish,2012,Марко,Bulgarian,2016
"Adler-Olsen, Jussi",Marco Effekten,Danish,2012,Poika varjoista,Finnish,2016
"Adler-Olsen, Jussi",Marco Effekten,Danish,2012,L'effetto farfalla,Italian,2016
"Adler-Olsen, Jussi",Marco Effekten,Danish,2012,Marko Efekts,Latvian,2016
"Adler-Olsen, Jussi",Marco Effekten,Danish,2012,Эффект Марко,Russian,2016
"Adler-Olsen, Jussi",Marco Effekten,Danish,2012,Palaidotas,Lithuanian,2017
"Adler-Olsen, Jussi",Marco Effekten,Danish,2012,Efekat Marko,Serbian,2017
"Adler-Olsen, Jussi",Marco Effekten,Danish,2012,Poiss Varjust,Estonian,2018
"Adler-Olsen, Jussi",Marco Effekten,Danish,2012,Pogrzebany,Polish,2018
"Adler-Olsen, Jussi",Marco Effekten,Danish,2012,Αναμονή,Greek,2019
"Adler-Olsen, Jussi",Den Grænseløse,Danish,2014,Promesse,French,2013
"Adler-Olsen, Jussi",Den Grænseløse,Danish,2014,Nesmírný,Czech,2015
"Adler-Olsen, Jussi",Den Grænseløse,Danish,2014,De grenzeloze,Dutch,2015
"Adler-Olsen, Jussi",Den Grænseløse,Danish,2014,The Hanging Girl,English,2015
"Adler-Olsen, Jussi",Den Grænseløse,Danish,2014,NIIDITÕMBAJA,Estonian,2015
"Adler-Olsen, Jussi",Den Grænseløse,Danish,2014,Verheissung,German,2015
"Adler-Olsen, Jussi",Den Grænseløse,Danish,2014,Határtalanul,Hungarian,2015
"Adler-Olsen, Jussi",Den Grænseløse,Danish,2014,Stúlkan í trénu,Icelandic,2015
"Adler-Olsen, Jussi",Den Grænseløse,Danish,2014,吊るされた少女,Japanese,2015
"Adler-Olsen, Jussi",Den Grænseløse,Danish,2014,Den grenseløse,Norwegian,2015
"Adler-Olsen, Jussi",Den Grænseløse,Danish,2014,Sin límites,Spanish,2015
"Adler-Olsen, Jussi",Den Grænseløse,Danish,2014,Den Gränslöse,Swedish,2015
"Adler-Olsen, Jussi",Den Grænseløse,Danish,2014,血色獻祭,Chinese,2016
"Adler-Olsen, Jussi",Den Grænseløse,Danish,2014,La promessa,Italian,2016
"Adler-Olsen, Jussi",Den Grænseløse,Danish,2014,Beз Пpeдeлa,Russian,2016
"Adler-Olsen, Jussi",Den Grænseløse,Danish,2014,Vartija,Finnish,2017
"Adler-Olsen, Jussi",Den Grænseløse,Danish,2014,Bez robežām,Latvian,2017
"Adler-Olsen, Jussi",Den Grænseløse,Danish,2014,Manipulator,Serbian,2017
"Adler-Olsen, Jussi",Den Grænseløse,Danish,2014,Bez granica,Croatian,2018
"Adler-Olsen, Jussi",Den Grænseløse,Danish,2014,Wisząca dziewczyn,Polish,2018
"Adler-Olsen, Jussi",Den Grænseløse,Danish,2014,ΤΟ ΚΟΡΙΤΣΙ ΣΤΟ ΔΕΝΤΡΟ,Greek,2020
"Adler-Olsen, Jussi",Selfies,Danish,2016,Selfies,Dutch,2015
"Adler-Olsen, Jussi",Selfies,Danish,2016,Selfies,Czech,2017
"Adler-Olsen, Jussi",Selfies,Danish,2016,The Scarred Woman,English,2017
"Adler-Olsen, Jussi",Selfies,Danish,2016,Selfiet,Finnish,2017
"Adler-Olsen, Jussi",Selfies,Danish,2016,Selfies,French,2017
"Adler-Olsen, Jussi",Selfies,Danish,2016,Selfies,German,2017
"Adler-Olsen, Jussi",Selfies,Danish,2016,Szelfik,Hungarian,2017
"Adler-Olsen, Jussi",Selfies,Danish,2016,Afætur,Icelandic,2017
"Adler-Olsen, Jussi",Selfies,Danish,2016,Selfie,Italian,2017
"Adler-Olsen, Jussi",Selfies,Danish,2016,自撮りする女た,Japanese,2017
"Adler-Olsen, Jussi",Selfies,Danish,2016,Selfiji,Latvian,2017
"Adler-Olsen, Jussi",Selfies,Danish,2016,Selfies,Norwegian,2017
"Adler-Olsen, Jussi",Selfies,Danish,2016,Selfi,Serbian,2017
"Adler-Olsen, Jussi",Selfies,Danish,2016,Selfies,Spanish,2017
"Adler-Olsen, Jussi",Selfies,Danish,2016,Selfies,Swedish,2017
"Adler-Olsen, Jussi",Selfies,Danish,2016,Без предела,Russian,2018
"Adler-Olsen, Jussi",Selfies,Danish,2016,Белязаната жена,Bulgarian,2019
"Adler-Olsen, Jussi",Selfies,Danish,2016,Selfid,Estonian,2020
"Adler-Olsen, Jussi",Selfies,Danish,2016,Kobieta z blizną,Polish,2020
"Adler-Olsen, Jussi",Offer 2117,Danish,2019,Oběť 2117,Czech,2019
"Adler-Olsen, Jussi",Offer 2117,Danish,2019,Slachtoffer 2117,Dutch,2019
"Adler-Olsen, Jussi",Offer 2117,Danish,2019,Opfer 2117,German,2019
"Adler-Olsen, Jussi",Offer 2117,Danish,2019,Жертва 2117,Bulgarian,2020
"Adler-Olsen, Jussi",Offer 2117,Danish,2019,Victim 2117,English,2020
"Adler-Olsen, Jussi",Offer 2117,Danish,2019,Uhri 2117,Finnish,2020
"Adler-Olsen, Jussi",Offer 2117,Danish,2019,Victime 2117,French,2020
"Adler-Olsen, Jussi",Offer 2117,Danish,2019,A 2117. áldozat,Hungarian,2020
"Adler-Olsen, Jussi",Offer 2117,Danish,2019,Fórnarlamb 2117,Icelandic,2020
"Adler-Olsen, Jussi",Offer 2117,Danish,2019,Vittima numero 2117,Italian,2020
"Adler-Olsen, Jussi",Offer 2117,Danish,2019,特捜部Ｑ―アサドの祈り―,Japanese,2020
"Adler-Olsen, Jussi",Offer 2117,Danish,2019,Upuris 2117,Latvian,2020
"Adler-Olsen, Jussi",Offer 2117,Danish,2019,Offer 2117,Norwegian,2020
"Adler-Olsen, Jussi",Offer 2117,Danish,2019,Žrtva 2117,Serbian,2020
"Adler-Olsen, Jussi",Offer 2117,Danish,2019,La Víctima 2117,Spanish,2020
"Adler-Olsen, Jussi",Offer 2117,Danish,2019,Offer 2117,Swedish,2020
"Birkegaard, Mikkel",Libri de Luca,Danish,2007,Libri de Luca,Dutch,2008
"Birkegaard, Mikkel",Libri de Luca,Danish,2007,The Library of Shadows,English,2009
"Birkegaard, Mikkel",Libri de Luca,Danish,2007,Libri di Lucan Arvoitus,Finnish,2009
"Birkegaard, Mikkel",Libri de Luca,Danish,2007,Libri di Luca,Norwegian,2009
"Birkegaard, Mikkel",Libri de Luca,Danish,2007,Skuggbiblioteket,Swedish,2009
"Birkegaard, Mikkel",Libri de Luca,Danish,2007,La librairie des ombres,French,2010
"Birkegaard, Mikkel",Libri de Luca,Danish,2007,"Тайна ""Libri di Luca""",Russian,2010
"Birkegaard, Mikkel",Libri de Luca,Danish,2007,Biblioteka cieni,Polish,2011
"Birkegaard, Mikkel",Libri de Luca,Danish,2007,Libri di Luca,Hungarian,2013
"Birkegaard, Mikkel",Over mit lig,Danish,2009,Lewtter voor letter,Dutch,2010
"Birkegaard, Mikkel",Over mit lig,Danish,2009,I delitti di uno scrittore imperfecto,Italian,2010
"Birkegaard, Mikkel",Over mit lig,Danish,2009,Death Sentence,English,2011
"Birkegaard, Mikkel",Over mit lig,Danish,2009,Over mitt lik,Norwegian,2011
"Birkegaard, Mikkel",Over mit lig,Danish,2009,Condamnat la moarte,Romanian,2011
"Birkegaard, Mikkel",Over mit lig,Danish,2009,Через мой труп,Russian,2011
"Birkegaard, Mikkel",Over mit lig,Danish,2009,Los crímenes de un escritor imperfecto,Spanish,2011
"Birkegaard, Mikkel",Over mit lig,Danish,2009,A holttestemen keresztül,Hungarian,2012
"Birkegaard, Mikkel",Fra drømmenes bog,Danish,2012,Dans le livre des rêves,French,2013
"Birkegaard, Mikkel",Fra drømmenes bog,Danish,2012,Il libro dei sogni,Italian,2013
"Blicher, Steen Steensen",Præsten i Vejlby,Danish,1829,Le pasteur de Veilby,French,2000
"Blædel, Sara",Grønt støv,Danish,2004,Grüner Schnee,German,2006
"Blædel, Sara",Grønt støv,Danish,2004,Grønt støv,Norwegian,2006
"Blædel, Sara",Grønt støv,Danish,2004,Pulver,Swedish,2006
"Blædel, Sara",Grønt støv,Danish,2004,Πράσινη σκόνη,Greek,2012
"Blædel, Sara",Grønt støv,Danish,2004,Handlarz śmiercia,Polish,2012
"Blædel, Sara",Grønt støv,Danish,2004,Nieve verde,Spanish,2013
"Blædel, Sara",Kald mig prinsesse,Danish,2005,Chatprinses,Dutch,2007
"Blædel, Sara",Kald mig prinsesse,Danish,2005,Tödliches Schweigen,German,2007
"Blædel, Sara",Kald mig prinsesse,Danish,2005,Kall meg prinsesse,Norwegian,2007
"Blædel, Sara",Kald mig prinsesse,Danish,2005,Kalla mig prinsessa,Swedish,2007
"Blædel, Sara",Kald mig prinsesse,Danish,2005,Bízz bennem,Hungarian,2009
"Blædel, Sara",Kald mig prinsesse,Danish,2005,Nimimerkki Prinsessa,Finnish,2012
"Blædel, Sara",Kald mig prinsesse,Danish,2005,見えない傷痕,Japanese,2012
"Blædel, Sara",Kald mig prinsesse,Danish,2005,Mam na imię księżniczka,Polish,2012
"Blædel, Sara",Kald mig prinsesse,Danish,2005,Blue Blood,English,2013
"Blædel, Sara",Kald mig prinsesse,Danish,2005,Kutsu mind printsessiks,Estonian,2013
"Blædel, Sara",Kald mig prinsesse,Danish,2005,Llámame Princesa,Spanish,2014
"Blædel, Sara",Kun et liv,Danish,2007,Nur ein Leben,German,2008
"Blædel, Sara",Kun et liv,Danish,2007,Bara ett liv,Swedish,2008
"Blædel, Sara",Kun et liv,Danish,2007,Bare ett liv,Norwegian,2009
"Blædel, Sara",Kun et liv,Danish,2007,Only One Life,English,2013
"Blædel, Sara",Kun et liv,Danish,2007,Vain yksi elämä,Finnish,2014
"Blædel, Sara",Kun ét liv,Danish,2007,Tylko jedno życie,Polish,2012
"Blædel, Sara",Aldrig mere fri,Danish,2008,Aldrig mera fri,Swedish,2009
"Blædel, Sara",Aldrig mere fri,Danish,2008,Unschuld,German,2010
"Blædel, Sara",Aldrig Mere Fri,Danish,2008,Farewell to Freedom,English,2012
"Blædel, Sara",Aldrig mere fri,Danish,2008,Mai più libera,Italian,2012
"Blædel, Sara",Aldrig mere fri,Danish,2008,Pożegnanie wolności,Polish,2013
"Blædel, Sara",Aldrig mere fri,Danish,2008,Hyvästit vapaudelle,Finnish,2015
"Blædel, Sara",Aldrig mere fri,Danish,2008,Mulheres da Noite,Portuguese,2018
"Blædel, Sara",Hævnens Gudinde,Danish,2009,Sin piedad,Spanish,2011
"Blædel, Sara",Hævnens Gudinde,Danish,2009,Bogini zemsty,Polish,2014
"Blædel, Sara",Hævnens Gudinde,Danish,2009,A Deusa da Vingança,Portuguese,2019
"Blædel, Sara",Dødsenglen,Danish,2010,Zwiastun śmierci,Polish,2014
"Blædel, Sara",De glemte piger,Danish,2011,Les filles oubliées,French,2011
"Blædel, Sara",De glemte piger,Danish,2011,De bortglömda,Swedish,2012
"Blædel, Sara",De glemte piger,Danish,2011,De vergeten zusjes,Dutch,2013
"Blædel, Sara",De glemte piger,Danish,2011,Gleymdu stúlkurnar,Icelandic,2013
"Blædel, Sara",De glemte piger,Danish,2011,Die vergessenen Mædchen,German,2014
"Blædel, Sara",De glemte piger,Danish,2011,De glemte pikene,Norwegian,2014
"Blædel, Sara",De glemte piger,Danish,2011,Ξεχασμένα Κορίτσια,Greek,2015
"Blædel, Sara",De glemte piger,Danish,2011,Unohdetut tytöt,Finnish,2016
"Blædel, Sara",De glemte piger,Danish,2011,Забытые,Russian,2017
"Blædel, Sara",Dødesporet,Danish,2013,Het dodenspoor,Dutch,2014
"Blædel, Sara",Dødesporet,Danish,2013,Der Pfad des Todes,German,2015
"Blædel, Sara",Dødesporet,Danish,2013,Dauðaslóðin,Icelandic,2015
"Blædel, Sara",Dødesporet,Danish,2013,Dødssporet,Norwegian,2015
"Blædel, Sara",Dødesporet,Danish,2013,The Killing Forest,English,2016
"Blædel, Sara",Dødesporet,Danish,2013,Dödsstigen,Swedish,2016
"Blædel, Sara",Dødesporet,Danish,2013,Uhrilehto,Finnish,2017
"Blædel, Sara",Dødesporet,Danish,2013,La forresta assasina,Italian,2017
"Blædel, Sara",Kvinden de meldte savnet,Danish,2014,Aγνοούμενη,Greek,2017
"Blædel, Sara",Kvinden de meldte savnet,Danish,2014,Talin af,Icelandic,2017
"Blædel, Sara",Kvinden de meldte savnet,Danish,2014,Kadonnut nainen,Finnish,2018
"Bodelsen, Anders",Hændeligt uheld,Danish,1968,Mauvais Calcul,French,2014
"Bodelsen, Anders",Tænk på et tal,Danish,1968,Pensa un numero,Italian,2011
"Bodelsen, Anders",Pengene og livet,Danish,1976,La borsa e la vita,Italian,2012
"Bodelsen, Anders",Rød september,Danish,1991,Septembre rouge,French,2014
"Bodelsen, Anders",Den åbne dør,Danish,1997,Éclipse,French,2003
"Bornemann, Ole",Det sidste vidne,Danish,2000,Le Dernier Témoin,French,2002
"Bresson, Lene Rikke",Set fra himlen,Danish,2010,Das Mädchen am Kreuz,German,2011
"Brixvold, Jeppe",Forbrydelse og fremgang,Danish,2007,Brott & framgång,Swedish,2010
"Brixvold, Jeppe",Forbrydelse og fremgang,Danish,2007,Forbrytelse og framgang,Norwegian,2017
"Bruhn, Ina",Under Englens vinger,Danish,2009,Spieglein Spieglein an der Wand,German,2012
"Brun, Henrik",Den danske lokkedue,Danish,2011,Lockfågeln,Swedish,2013
"Brun, Henrik",Den danske lokkedue,Danish,2011,Danimarkalı Yem,Turkish,2014
"Brun, Henrik",Den danske lokkedue,Danish,2011,Danska zanka,Slovenian,2015
"Brunse, Niels",I lyset af en kat,Danish,2000,Die träumende Katze,German,2001
"Brunse, Niels",I lyset af en kat,Danish,2000,De dromen van een kat,Dutch,2003
"Bødker, Benni & Karen Vad Bruun",Blod vil have blod,Danish,2011,Verleumdung,German,2011
"Bødker, Benni & Karen Vad Bruun",Blod vil have blod,Danish,2011,Blod vil ha blod,Norwegian,2011
"Bødker, Benni & Karen Vad Bruun",Blod vil have blod,Danish,2011,誹謗,Japanese,2018
"Bødker, Benni & Karen Vad Bruun",Før døden lukker mine øjne,Danish,2012,Før døden lukker mine øyne,Norwegian,2013
