author_name,instances_of_study,birth_year,gender,ethnicity_national_origin_group,race,birth_nation,native_foreign,immigrant_generation,immigration_year,nations,states,cities,education_level,degree,mfa,degree_institution,university_teacher,teaching_institution,author_awards
"Cachapero, Emily",1,,F,Filipinx,Asian,,,,,,,,,,,,,,
"Cahan, Abraham",1,1860,M,Jewish,Jewish,Russian Empire (present-day Lithuania),Foreign,1,1882,"Russian Empire (present-day Belarus), United States",NY,New York City,,,N,,N,N/A,
"Cajayon, Gene",2,,M,Filipinx-French-Vietnamese,Multiracial Asian-White,South Vietnam,Foreign,1.5,,United States,CA,,Undergraduate,Bachelor's,N,Loyola Marymount University,N,N/A,
"Cao, Lan",4,1961,F,Vietnamese,Asian,South Vietnam,Foreign,1,1975,"South Vietnam, United States","CT, NY",New York City,Graduate,JD,N,Yale University,Y,Chapman University,
"Capote, Truman",1,1924,M,,,United States,Native,,N/A,United States,"AL, NY, CT",New York City,High School,High School Diploma,N,Franklin School,N,N/A,O. Henry Award
"Capra, Frank",1,1897,M,Italian,White,Italy,Foreign,1.5,1903,"Italy, United States",CA,,Undergraduate,Bachelor's,N,California Institute of Technology,N,N/A,"Academy Award, George Eastman Award"
"Carbó, Nick",1,1964,M,Filipinx,Asian,Philippines,Foreign,1,,United States,FL,,Graduate,Master's,Y,Sarah Lawrence College,N,N/A,National Endowment for the Arts Fellowship
"Carlson, Melody",1,1956,F,,,United States,Native,,N/A,United States,"CA, OR",Eugene,Undergraduate,Associate's,N,Lane Community College,N,N/A,Romantic Times Career Achievement Award
"Carpenter, John",1,,M,Euro American,White,United States,Native,,N/A,United States,"CA, KY, NY",Los Angeles,Undergraduate,Bachelor's,N,University of Southern California,N,N/A,
"Castillo, Ana",1,1953,F,Mexican,Latinx,United States,Native,,N/A,United States,IL,Chicago,Graduate,PhD,N,University of Bremen,Y,Sonoma State College,National Endowment for the Arts Fellowship
"Cha, John",1,1945,M,Korean,Asian,Manchuria (under Japanese occupation),Foreign,1,1960,"Manchuria (under Japanese occupation), South Korea, United States","CA, HI, WI","Oakland, Milwaukee, Busan",Undergraduate,Bachelor's,N,Marquette University,N,N/A,
"Cha, Theresa Hak Kyung",26,1951,F,Korean,Asian,South Korea,Foreign,1.5,1962,"United States, France","HI, CA, NY","San Francisco, Paris, New York City",Graduate,Master's,Y,University of California Berkeley,N,N/A,National Endowment for the Arts Fellowship
"Chai, May-Lee",2,1967,F,Chinese-Irish,Multiracial Asian-White,United States,Native,2,N/A,United States,CA,San Francisco,Graduate,Master's,Y,"Yale University, University of Colorado Boulder, San Francisco State University",N,N/A,National Endowment for the Arts Fellowship
"Chai, Winberg",1,,M,Chinese,Asian,China,Foreign,,,United States,WY,,Graduate,PhD,,New York University,Y,University of Wyoming,
"Chan, Celeste",2,,F,Malaysian,Asian,United States,Native,2,N/A,United States,CA,San Francisco,Graduate,Master's,Y,San Francisco State University,N,N/A,Bread Loaf's Rona Jaffe Scholarship
"Chan, Jeffery Paul",14,1942,M,Chinese,Asian,United States,Native,3,N/A,United States,CA,,Graduate,Master's,N,San Francisco State University,Y,San Francisco State University,
Chang Chin-sŏng,1,,,,,,,,,,,,,,,,,,
"Chang, Diana",2,1934,F,Chinese,Asian,United States,Native,,N/A,"China, United States",NY,"Beijing, Nanjing, Shanghai, New York City",Undergraduate,Bachelor's,N,Barnard College,Y,Barnard College,Fulbright Fellowship
"Chang, Eileen",5,1920,F,Chinese,Asian,China,Foreign,1,1955,"China, Hong Kong (British territory), United States",CA,Los Angeles,Some Undergraduate,High School Diploma,N,St. Mary's Hall,N,N/A,
"Chang, Jung",1,1952,F,Chinese,Asian,China,N/A,N/A,N/A,"China, England",,London,Graduate,PhD,N,University of York,N,N/A,
"Chang, Lan Samantha",3,1965,F,Chinese,Asian,United States,Native,2,N/A,United States,IA,,Graduate,Master's,Y,"University of Iowa, Harvard University",Y,University of Iowa,"National Endowment for the Arts Fellowship, Guggenheim Fellowship"
"Chang, Leonard",1,,M,Korean,Asian,United States,Native,,N/A,United States,"NY, CA",Los Angeles,Graduate,Master's,Y,University of California Irvine,N,N/A,
"Chang, Pang-Mei Natasha",1,1965,F,Chinese,Asian,United States,Native,,N/A,"United States, Russia","CT, NY","New York City, Moscow",Graduate,JD,N,Columbia University,N,N/A,
"Chang, Victoria",1,1970,F,Chinese (from Taiwan),Asian,United States,Native,2,N/A,United States,"MI, CA",,Graduate,Master's,Y,"Harvard University, Stanford University, Warren Wilson College",Y,Antioch University,Guggenheim Fellowship
"Chao, Patricia",1,1955,F,Chinese,Asian,United States,Native,,N/A,United States,NY,New York City,Graduate,Master's,N,New York University,N,N/A,
"Chee, Alexander",1,1967,M,Korean,Asian,United States,Native,,N/A,"United States, South Korea",ME,,Graduate,Master's,Y,University of Iowa,Y,Dartmouth College,"National Endowment for the Arts Fellowship, Whiting Award"
"Chen, Betty Yao-jung",1,1943,F,Chinese,Asian,China,Foreign,1,,"China, United States","FL, CA",Los Angeles,,,,University of California Los Angeles,,,
"Chen, Da",1,1962,M,Chinese,Asian,China,Foreign,1,,"China, United States","CA, NY",New York City,Graduate,JD,N,Columbia University,N,N/A,
"Cheong, Fiona",1,1961,F,Chinese (from Singapore),Asian,Singapore,Foreign,,,,,,Graduate,Master's,Y,Cornell University,Y,University of Pittsburgh,
"Chesnutt, Charles",1,1858,M,African American,Black,United States,Native,,N/A,United States,"OH, NC",,,,N,,N,N/A,
"Chi, Tseng Kwong",1,1950,M,Chinese,Asian,Hong Kong (British territory),Foreign,1,1978,"Hong Kong (British territory), Canada, United States",NY,"Vancouver, New York City",Undergraduate,,N,Académie Julian,N,N/A,
"Chiang, S. Leo",1,,M,Chinese (from Taiwan),Asian,Taiwan,Foreign,,,"Taiwan, United States",CA,"Los Angeles, San Francisco, Taipei",Graduate,Master's,Y,University of Southern California,Y,"Northwestern University, University of California Santa Cruz, University of California Berkeley, Communication University of China","Creative Capital Grant, Rockwood/Ford JustFilms Fellowship, Sundance-Time Warner Fellowship"
"Chiang, Ted",6,1967,M,Chinese (from Taiwan),Asian,United States,Native,2,N/A,United States,"NY, WA",,Undergraduate,Bachelor's,N,Brown University,N,N/A,"Hugo Award, PEN/Malamud Award"
"Chin, Frank",42,1940,M,Chinese,Asian,United States,Native,2,N/A,United States,CA,Oakland,Undergraduate,Bachelor's,N,University of California Santa Barbara,N,N/A,Lannan Award
"Chin, Marilyn",8,1955,F,Chinese (from Hong Kong),Asian,United States,Native,2,N/A,United States,"OR, CA",,Graduate,Master's,Y,University of Iowa,Y,San Diego State University,"National Endowment for the Arts, Ruth Lilly Poetry Prize, USA Fellowship, and more"
"Cho, Julia",8,1975,F,Korean,Asian,United States,Native,2,N/A,United States,"AZ, CA",Los Angeles,Graduate,Master's,Y,"New York University, University of California Berkeley",N,N/A,Windham-Campbell Literature Prize
"Cho, Margaret",2,1968,F,Korean,Asian,United States,Native,2,N/A,United States,CA,"San Francisco, Los Angeles",Some Undergraduate,High School Diploma,N,San Francisco State University,N,N/A,"Golden Gate Award GLAAD, AZN Asian Excellence Award, Intrepid Award National Organization for Women"
"Chock, Eric",1,1950,M,Chinese,Asian,United States,Native,,N/A,United States,HI,,Graduate,Master's,N,University of Hawai'i,Y,University of Hawai'i West Oahu,Pushcart Prize
"Choi, Eugene",1,,,,,,,,,,,,Graduate,Master's,N,University of Southern California,N,N/A,
"Choi, Franny",1,,F,Korean,Asian,,,,,United States,,,Graduate,Master's,Y,University of Michigan,Y,Bennington College,Ruth Lilly and Dorothy Sargent Rosenberg Fellowship
"Choi, Ins",1,1974,M,Korean,Asian,South Korea,Foreign,N/A,N/A,Canada,N/A,Toronto,Graduate,Master's,N,York University,N,N/A,
"Choi, Sook Nyul",3,1937,F,Korean,Asian,Korea (under Japanese occupation),Foreign,1,,"Korea (under Japanese occupation), United States","NY, MA",Cambridge,Undergraduate,Bachelor's,N,Manhattanville College,N,N/A,
"Choi, Susan",10,1969,F,Korean-Jewish,Multiracial Asian-Jewish,United States,Native,,N/A,United States,"IN, TX, NY","Houston, New York City",Graduate,Master's,Y,Cornell University,Y,Johns Hopkins University,PEN/W. G. Sebald Award
"Chong, Denise",1,1953,F,Chinese,Asian,Canada,N/A,N/A,N/A,Canada,,,Graduate,Master's,N,University of Toronto,N,N/A,
"Chong, Ping",3,1946,M,Chinese,Asian,Canada,Foreign,1.5,,United States,NY,New York City,,,,,N,N/A,"National Endowment for the Arts Fellowship, National Medal of Arts, Guggenheim Fellowship"
"Chorpenning, Charlotte B.",1,1873,F,Euro American,White,,,,,,,,Undergraduate,Bachelor's,N,Cornell University,N,N/A,
"Chow, Keith",3,,M,,,,,,,United States,MD,,,,,,,,
"Choy, Christine",5,1952,F,Chinese-Korean,Asian,China,Foreign,1,,"China, South Korea, United States","CA, NY","Shanghai, Los Angeles, New York City",Graduate,Master's,N,Columbia University,Y,"New York University, Yale University, Cornell University, State University of New York Buffalo",
"Choy, Wayson",3,1939,M,Chinese,Asian,Canada,N/A,N/A,N/A,Canada,,,Undergraduate,Bachelor's,N,University of British Columbia,Y,Humber College,
Christine Love,1,,,,,,,,,,,,,,,,,,
"Chu, Jon M.",2,1979,M,Chinese (from Taiwan),Asian,United States,Native,2,N/A,United States,CA,,Undergraduate,Bachelor's,N,University of Southern California,N,N/A,
"Chu, Louis",6,1915,M,Chinese,Asian,China,Foreign,1.5,1924,United States,NY,,Graduate,Master's,N,New York University,N,N/A,
"Chua, Amy",6,1962,F,Chinese (from Philippines),Asian,United States,Native,2,N/A,United States,"IN, CA, CT","Berkeley, New Haven",Graduate,JD,N,Harvard Law School,N,N/A,
"Chua, Lawrence",3,1966,M,,,Malaysia,Foreign,1,,United States,NY,,Graduate,PhD,N,Cornell University,Y,Syracuse University,
"Chuang, Hua",1,,,,,,,,,,,,,,,,,,
"Chung, Mia",1,,F,Korean,Asian,United States,Native,2,N/A,United States,"CA, DC","San Diego, Los Angeles, Berkeley, Washington D.C.",Graduate,Master's,Y,,,,Whiting Award
"Cimino, Michael",1,1939,M,Euro American,White,United States,Native,3,N/A,United States,"NY, CA","Los Angeles, New York City",Graduate,Master's,Y,Yale University,N,N/A,
"Cisneros, Sandra",2,1954,F,Mexican,Latinx,United States,Native,N/A,N/A,"United States, Mexico","IL, TX",Chicago,Graduate,Master's,Y,University of Iowa,Y,"University of California Berkeley, University of Michigan","MacArthur Fellowship, National Endowment for the Arts Fellowship, National Medal of the Arts, and more"
"Clement, Marie",1,1962,F,Canadian Métis,Native American,Canada,N/A,N/A,N/A,Canada,,,Undergraduate,Bachelor's,N,Mount Royal College,N,N/A,
"Clements, Ron",1,1953,M,,,United States,Native,,N/A,United States,"IA, CA",,High School,High School Diploma,N,,N,N/A,"Annie Award, Los Angeles Film Critics Association Award, African American Film Critics Association Award"
"Clouse, Robert",1,1929,M,Euro American,White,United States,Native,,N/A,,,,,,,,,,
"Cook, Barry",1,1958,M,Euro American,White,United States,Native,,N/A,,,,,,,,N,N/A,
"Coulibaly, Serge Aimé",1,1972,M,Burkinabé,Black,Burkina Faso,Foreign,N/A,N/A,"Burkina Faso, Belgium",,,,,,,,,
"Coltrane, John",1,1926,M,African American,Black,United States,Native,,N/A,United States,"NC, PA",Philadelphia,High School,High School Diploma,N,William Penn High School,N,N/A,"Grammy Award, Pulitzer Prize"
"Cowell, Henry",1,1897,M,Irish,White,United States,Native,,N/A,United States,"CA, KS, IA, OK",San Francisco,Some Undergraduate,,,,Y,"New School for Social Research, Columbia University",
"Cronenberg, David",1,1943,M,Euro American,White,Canada,N/A,N/A,N/A,Canada,,,Undergraduate,Bachelor's,N,University of Toronto,N,N/A,"Special Jury Award Cannes Film Festival, Officer of the Order of Canada, Golden Lion Venice International Film Festival, and more"
"Cukor, George",,1899,M,Jewish,Jewish,United States,Native,,N/A,United States,"NY, CA","New York City, Los Angeles",Some Undergraduate,High School Diploma,N,DeWitt Clinton High School,N,N/A,"Academy Award, BAFTA Film Award, Golden Globe, and more"
D'Lo,1,,TM,Tamil (from Sri Lanka),Asian,United States,Native,2,N/A,United States,"CA, NY","Los Angeles, New York City",,,,,,,"Civic Media Fellowship, Cultural Trailblazer Award City of Los Angeles Department of Cultural Affairs"
Dan Salvato,1,1991,M,,,United States,Native,,N/A,United States,NJ,,,,,,,,
"Daswani, Kavita",2,,F,Indian,Asian,Hong Kong,Foreign,1,2000,United States,CA,Los Angeles,,,N,,N,N/A,
"Datchuk, Jennifer Ling",1,,F,Chinese/Russian,Multiracial Asian-White,United States,Native,2,N/A,United States,"NY, AZ","New York City, Phoenix",Graduate,Master's,Y,University of Massachusetts Dartmouth,Y,Arizona State University,"American Craft Council Emerging Voices Award, United States Artist Fellow"
"de Castro, Eduardo",1,1907,M,,,Philippines,N/A,N/A,N/A,Philippines,,,,,,,,,
"de Mol Jr., John ",1,1955,M,,,Netherlands,,,,,,,,,,,,,
"Delisle, Guy",1,1966,M,Euro Canadian,White,Canada,N/A,N/A,N/A,,,,Undergraduate,Bachelor's,N,Sheridan College,N,N/A,
"Delman, Carmit",1,,F,Euro American-Indian-Jewish,Multiracial Asian-Jewish-White,United States,Native,,N/A,"United States, Israel","NY, MA, OH",Boston,Graduate,Master's,Y,Emerson College,N,N/A,
"DeMille, Cecil B.",1,1881,M,Euro American,White,United States,Native,,N/A,,,,Undergraduate,Bachelor's,N,American Academy of Dramatic Arts,N,N/A,"Directors Guild of America Award, Academy Award, Golden Globe Award, and more"
"Desai, Anita",3,1937,F,Indian,Asian,India (British colony),Foreign,1,,"India, United States",MA,,Undergraduate,Bachelor's,N,University of Delhi,Y,Massachusetts Institute of Technology,
"Desai, Kiran",2,1971,F,Indian,Asian,India,Foreign,1,,"India, United States",,,Graduate,Master's,Y,Columbia University,N,N/A,Berlin Prize Fellowship
"Díaz, Junot",1,1968,M,Dominican,Multiracial Black-Latinx,Dominican Republic,Foreign,1.5,1974,"Dominican Republica, United States","NJ, MA","Santo Domingo, Cambridge",Graduate,Master's,Y,Cornell University,Y,Massachusetts Institute of Technology,"Pulitzer Prize, MacArthur Fellowship, PEN/O. Henry Award, and more"
"Diaz, Ramona S.",1,,F,Filipinx,Asian,,,,,,,,Graduate,Master's,N,Stanford University,,,"Guggenheim Fellowship, United States Artist Fellowship, Women at Sundance Fellowship"
"Dick, Philip K.",1,1928,M,Euro American,White,United States,Native,,N/A,United States,"IL, CA",,High School,High School Diploma,N,Berkeley High School,N,N/A,
Digital Martyrs,1,,,,,,,,,,,,,,,,,,
"Dimacali, Timothy James M.",1,,M,Filipinx,Asian,Philippines,Foreign,,,"Philippines, United States",MA,Manila,Graduate,Master's,N,Massachusetts Institute of Technology,N,N/A,
"DiMartino, Michael Dante",1,,M,,,,,,,,,,,,,Rhode Island School of Design,,,
"Dinh, Linh",1,1963,M,Vietnamese,Asian,South Vietnam,Foreign,1.5,1975,"South Vietnam, Italy, England, United States",PA,Philadelphia,Undergraduate,Bachelor's,N,,N,N/A,Asian American Literary Award
"Divakaruni, Chitra Banerjee",9,1956,F,Indian,Asian,India,Foreign,1,1976,"India, United States",,,Graduate,PhD,N,University of California Berkeley,Y,University of Houston,
DJ Apollo,1,,M,Filipinx,Asian,Philippines,Foreign,,,,CA,San Francisco,,,,,,,"Technics DMC DJ Hall of Fame, International Turntablist Federation Grand Wizard Theodore Award, Hip Hop Slam Hall of Fame"
DJ Qbert,2,1969,M,Filipinx,Asian,United States,Native,,N/A,United States,CA,San Francisco,High School,High School Diploma,N,Balboa High School,N,N/A,"DMC World Championship, DMC DJ Hall of Fame"
DJ Sabzi,1,,M,Iranian,MENA,,,,,,WA,Seattle,,,,,,,
"Dolgin, Gail",4,1945,F,Jewish,Jewish,United States,Native,,N/A,United States,"NY, CA",Berkeley,Graduate,Master's,N,University of Oregon,N,N/A,
"Dong, Arthur",1,1953,M,Chinese,Asian,United States,Native,,N/A,United States,CA,San Francisco,Undergraduate,Bachelor's,N,San Francisco State University,Y,"Loyola Marymount University, Emory University, San Francisco State University, University of Hawai'i, University of North Texas, University of California Santa Barbara, University of Texas","OUT 100 Award, Pioneer Award Organization of Chinese Americans, Asian American Media Award, and more"
"DuBois, W.E.B.",2,1868,M,African American,Black,United States,Native,,N/A,United States,GA,Atlanta,Graduate,PhD,N,Harvard University,Y,Atlantia University,
"Dulai, Phinder",1,,M,Indian,Asian,,,,,Canada,N/A,Vancouver,,,,,,,
"Dumas, Firoozeh",2,1965,F,Iranian,Asian,Iran,Foreign,1.5,1972,"Iran, United States",CA,,Undergraduate,Bachelor's,N,University of California Berkeley,N,N/A,Spirit of America Award
"Eastwood, Clint",1,1930,M,Euro American,White,United States,Native,,N/A,,,,High School,High School Diploma,N,Oakland Technical High School,N,N/A,
"Eaton, Edith",32,1865,F,Chinese-English,Multiracial Asian-White,England,Foreign,1,,"England, Canada, United States","CA, WA, MA","San Francisco, Seattle, Boston",No High School,None,N,N/A,N,N/A,
"Eaton, Winnifred",10,1875,F,Chinese-English,Multiracial Asian-White,Canada,Foreign,1,,"Canada, United States","NY, CA","New York City, Los Angeles, Calgary",Some High School,None,N,N/A,N,N/A,
