Title,Instances_of_Study,Author_Name,2_Author_Name,3_Author_Name,4_Author_Name,Publication_Year,Genre,Publisher,Text_Awards,NYT_Bestseller
Aiiieeeee!: An Anthology of Asian American Writers,10,"Chin, Frank","Chan, Jeffery Paul","Inada, Lawson Fusao","Wong, Shawn",1974,Anthology,Howard University Press,,N/A
All I Asking for Is My Body,3,"Murayama, Milton",,,,1975,Novel,Supa Press,American Book Award,N
All Over Creation,3,"Ozeki, Ruth",,,,2003,Novel,Viking,American Book Award,N
Aloft,3,"Lee, Chang-rae",,,,2004,Novel,Riverhead Books,,Y
"Aloha, Kanani",1,"Yee, Lisa","Schwartz, Stephen",,,2011,Novel,American Girl Publishing,,N
America Is in the Heart,26,"Bulosan, Carlos",,,,1946,Novel,Harcourt,,N
America through the Spectacles of an Oriental Diplomat,1,"Wu, Tingfang",,,,1914,Prose Nonfiction,Frederick Stokes Company,,N/A
America's Best Dance Crew (ABDC),1,"Schwartz, Howard","Schwartz, Karen",,,2008-2015,Television,MTV,,N/A
American Born Chinese,9,"Yang, Gene Luen",,,,2006,Graphic Narrative,First Second Books,"Eisner Award, Michael L. Printz Award, Chinese American Librarians Association Best Book Award, and more",N/A
American in Disguise,2,"Okimoto, Daniel I.",,,,1971,Prose Nonfiction,Skouras Pictures,,N/A
American Indian Stories,1,Zitkála-Šá,,,,1921,Short Story(ies)/Prose Nonfiction,Hayworth Publishing House,,N/A
American Mosaic,1,"Morrison, Joan","Zabusky, Charlotte",,,1980,Prose Nonfiction,Dutton,,N/A
American Son,6,"Roley, Brian Ascalon",,,,2001,Novel,W. W. Norton & Company,,N
American Sons,1,"Okazaki, Steven",,,,1994,Film,PBS,,N/A
American Visa,1,"Ping, Wang",,,,1994,Short Story(ies),Coffee House Press,,N
American Woman,4,"Choi, Susan",,,,2003,Novel,Harper Perennial,,N
Americanah,1,"Adichie, Chimamanda Ngozi",,,,2013,Novel,Knopf Doubleday,"National Book Critics Circle Award for Fiction, The Chicago Tribune Heartland Prize for Fiction",N
Among the White Moon Faces,8,"Lim, Shirley Geok-lin",,,,1996,Prose Nonfiction,Feminist Press,American Book Award,N/A
An American Brat,2,"Sidhwa, Bapsi",,,,1993,Novel,Milkweed Editions,,N
"An Asian Anthropologist in the South: Field Experiences with Blacks, Indians, and Whites",1,"Kim, Choong Soon",,,,1977,Prose Nonfiction,University of Tennesse Press,,N/A
Analogue: A Hate Story,1,Christine Love,,,,2012,Video Game,,,N/A
And China Has Hands,5,"Tsiang, H. T.",,,,1937,Novel,Robert Speller Books,,N
And Justice For All,1,"Tateishi, John",,,,,Prose Nonfiction,Random House,,N/A
And the Soul Shall Dance,3,"Yamauchi, Wakako",,,,1977,Drama,East West Players,,N/A
And Then Entwine,1,"Ravine, Jai Arun",,,,2011,Poetry,Tinfish Press,,N/A
Angry Asian America,1,,,,,,,,,
Anil's Ghost,1,"Ondaatje, Michael",,,,2000,Novel,McClelland & Stewart,,Y
Anime Wong,1,"Yamashita, Karen Tei",,,,2014,Drama,Coffee House Press,,N/A
Anthony Bourdain: Parts Unknown,1,,,,,2013,Television,CNN,"Primetime Emmy Award, Critics Choice Television Award, Peabody Award, and more",N/A
"Apparatus, Cinematographic Apparatus: Selected Writings",1,"Cha, Theresa Hak Kyung",,,,1981,Prose Nonfiction,Tanam Press,,N/A
Arranged Marriage,1,"Divakaruni, Chitra Banerjee",,,,1995,Short Story(ies),Anchor,American Book Award,N
Asa ga kimashita (Morning Has Broken),1,"Houston, Velina Hasu",,,,1982,Drama,East West Players,,N/A
Asian Pride Porn,1,"Pak, Greg",,,,2000,Film,,,N/A
Ask Me No Questions,1,"Budhos, Marina Tamar",,,,2006,Novel,Atheneum Books for Young Readers,"Inaugural James Cook Teen Book Award, ALA Best Book for Young Adults & Notable, Kirkus Reviews Best Children’s Book, and more",N
Assimilation,1,"Kurup, Shishir",,,,1992,Drama,Mark Taper Forum,,N/A
At the Vanishing Point,1,"Iizuka, Naomi",,,,2004,Drama,,,N/A
Atomik Aztex,2,"Foster, Sesshu",,,,2005,Novel,City Light Books,,N
Attar of Roses,1,"Naqvi, Tahira",,,,1997,Short Story(ies),Lynne Rienner,,N
Autumn Leaves [秋叶 ],1,"Zi, Ouyang",,,,1969,Short Story(ies),,,N
Avatar: The Last Airbender,1,"DiMartino, Michael Dante",,,,2005-2008,Television,Nickelodeon,"Pulcinella Award, Peabody Award, Annie Award, and more",N/A
Bamboo Among the Oaks: Contemporary Writing by Hmong Americans,1,"Moua, Mai Neng",,,,2002,Anthology,Minnesota Historical Society Press,,N/A
Bananaheart and Other Stories,1,"Hara, Marie",,,,1994,Short Story(ies),Bamboo Ridge Press,,N/A
Bangla East Side,1,"Khurana, Sarita","Alam, Fariba",,,2004,Film,,,N/A
Bankūbā no Asahi,1,"Ishii, Yuya",,,,2014,Film,Toho,People's Choice Award Vancouver International Film Festival,
Barefoot Gen [はだしのゲン],1,"Nakazawa, Keiji",,,,1973-1987,Graphic Narrative,Weekly Shonen Jump (magazine),,N/A
Battle Hymn of the Tiger Mother,5,"Chua, Amy",,,,2011,Prose Nonfiction,Penguin,,N/A
Battleship,1,"Berg, Peter",,,,2012,Film,Universal Pictures,,N/A
Baumgartner's Bombay,1,"Desai, Anita",,,,1988,Novel,Vintage,,N
Before the War,2,"Inada, Lawson Fusao",,,,1971,Poetry,Morrow,,N/A
Before We Were Free,1,"Alvarez, Julia",,,,2002,Novel,Knopf,Pure Belpré Award,N
Behold the Many,1,"Yamanaka, Lois-Ann",,,,2006,Novel,"Farrar, Strauss & Giroux",,N
Better Luck Tomorrow,4,"Lin, Justin",,,,2002,Film,Paramount Pictures,,N/A
BFE,4,"Cho, Julia",,,,2005,Drama,Playwrights Horizons,,N/A
Bhowani Junction,1,"Cukor, George",,,,1956,Film,Metro-Goldwyn-Mayer,,N/A
Big Head,1,"Uyehara, Denise",,,,2003,Drama,,,N/A
Big Trouble in Little China,1,"Carpenter, John",,,,1986,Film,Twentieth Century Fox,,N/A
Bitter Cane,1,"Lim, Genny",,,,1991,Drama,,,N/A
Bitter in the Mouth,4,"Truong, Monique",,,,2010,Novel,Random House,,N
Blade Runner,2,"Scott, Ridley",,,,1982,Film,Warner Brothers,Academy Awards,N/A
Blood and Iron,1,"Yee, Paul",,,,2010,Novel,Scholastic,,N
Blood Music,1,"Bear, Greg",,,,1985,Novel,Arbor House,"Hugo Award, Nebula Award",N
Blu's Hanging,12,"Yamanaka, Lois-Ann",,,,1997,Novel,"Farrar, Strauss & Giroux","Asian American Literary Award, Association for Asian American Studies Book Award (later revoked)",N
Bollywood/Hollywood,1,"Mehta, Deepa",,,,2002,Film,Mongrel Media,,N/A
Bombay Dreams,1,"Syal, Meera","Meehan, Thomas",,,2002,Drama,Broadway Theater,,N/A
Bone,11,"Ng, Fae Myenne",,,,1993,Novel,Hyperion,,N
Bontoc Eulogy,2,"Fuentes, Marlon",,,,1995,Film,Corporation for Public Broadcasting,,N/A
Border Brujo,1,"Gómez-Peña, Guillermo",,,,1988,Drama,International Theatre Festival of the Americas,,N/A
Borrowed Love Poems,1,"Yau, John",,,,2002,Poetry,Penguin,,N/A
Bound Feet and Western Dress,1,"Chang, Pang-Mei Natasha",,,,1996,Prose Nonfiction,Anchor Books,,N/A
Boxers,1,"Yang, Gene Luen",,,,2013,Graphic Narrative,First Second Books,Los Angeles Times Book Prize,N/A
Brazil-Maru,1,"Yamashita, Karen Tei",,,,1992,Novel,Coffee House Press,,N
Breakfast at Tiffany's,1,"Capote, Truman",,,,1958,Novel,"Esquire Magazine, Random House",,Y
Breakfast at Tiffany's,1,"Edwards, Blake",,,,1961,Film,Paramount Pictures,"Academy Award, Writers Guild of America Award, David di Donatello Award",N/A
Brown: The Last Discovery of America,1,"Rodriguez, Richard",,,,,Prose Nonfiction,Viking,,N/A
Buddha Bandits Down Highway 99,1,"Hongo, Garrett",,,,1978,Poetry,Buddhahead Press,,N/A
Bullet in the Head,1,"Woo, John",,,,1990,Film,Golden Princess Film Production Co.,,N/A
Burning Daylight,1,"Swain, Rachael","Coulibaly, Serge Aimé","Pigram, Dalisa",,2009,,,,
Burning Vision,1,"Clement, Marie",,,,,Drama,Firehall Arts Centre,,N/A
Burnt Bread and Chutney,1,"Delman, Carmit",,,,2002,Prose Nonfiction,Random House,,N/A
Butterfly Soup,1,"Lei, Brianna",,,,2017,Video Game,,,N/A
Calcutta Calling,1,"Khokha, Sasha",,,,2006,Film,,,N/A
Camp Notes,1,"Yamada, Mitsuye",,,,1976,Poetry,Women of Color Press,,N/A
Cantos,1,"Pound, Ezra",,,,1925,Poetry,Three Mountains Press,,N/A
Caste and Outcast,2,"Mukerji, Dhan Gopal",,,,1923,Prose Nonfiction,The Overland Monthly (magazine),,N/A
Catfish and Mandala,5,"Pham, Andrew X.",,,,1999,Prose Nonfiction,Farrar Straus Giroux,,N/A
Cathay,2,"Pound, Ezra",,,,1915,Poetry,Elkin Matthews,,N/A
Cereus Blooms at Night,3,"Mootoo, Shani",,,,1996,Novel,Grove/Atlantic,,N
Certainty,1,"Thien, Madeleine",,,,2006,Novel,McClelland & Stewart,,N
Chambala era un camino,1,"Moromisato, Doris",,,,1999,Poetry,NoEvas Editoras,,N/A
Chan Is Missing,4,"Wang, Wayne",,,,1982,Film,New Yorker Films,Los Angeles Film Critics Association Award,N/A
Chang(e),1,"Kim, Soomi",,,,2017,Drama,National Asian American Theater Festival,,N/A
Charlotte Sometimes,3,"Byler, Eric",,,,2002,Film,Visionbox Pictures,,N/A
Chemistry,1,"Wang, Weike",,,,2017,Novel,Knopf,"PEN/Hemingway Award, John C. Zacharis Award Ploughshares",N
Cherrybomb,1,"Foronda, Ernesto",,,,1998,Film,,,N/A
Chijiku o mawasuru chikara,1,"Howe, James Wong",,,,1930,Film,Hollywood Nippon Talkie Company,,N/A
Child of Two Worlds,2,"Reyes, Norman",,,,1995,Prose Nonfiction,Three Continents Press,,N/A
China as I See It,1,"Buck, Pearl",,,,1970,Prose Nonfiction,John Day Company,,N
China Boy,2,"Lee, Gus",,,,1991,Novel,Dutton Books,,N
China Dolls,2,"Yu, Michelle","Kan, Blossom",,,2007,Novel,St. Martin's Press,,N
China Gate,1,"Fuller, Samuel",,,,1957,Film,20th Century Fox,,N/A
China Men,23,"Kingston, Maxine Hong",,,,1980,Prose Nonfiction,Alfred A. Knopf,National Book Award,N/A
China: Land of My Father,1,"Lowe, Felicia",,,,1979,Film,PBS,,N/A
Chinatown Family,4,"Lin, Yutang",,,,1948,Novel,John Day,,N
Chinatown Nights,1,"Wellman, William A.",,,,1929,Film,Paramount Pictures,,N/A
Chinese American: Burden and Prize,1,"Wong, Jade Snow",,,,,Prose Nonfiction,unpublished,,N/A
Chinese Cinderella,1,"Mah, Adeline Yen",,,,1999,Prose Nonfiction,Delacorte,,N/A
Chinese Series,1,"Brakhage, Stan",,,,2003,Film,,,N/A
Chinese World,1,"Lee, Dai-ming",,,,1956,Prose Nonfiction,,,N/A
Ching Chong Chinaman,1,"Yee, Lauren",,,,2008,Drama,Impact Theatre Berkeley,,N/A
Chinglish,1,"Hwang, David Henry",,,,2011,Drama,Goodman Theatre,,N/A
Chinoiserie,1,"Chong, Ping",,,,,,,,
Chiquita Banana,1,"Hagedorn, Jessica",,,,1972,Drama,Third World Communications,,N/A
Chorus of Mushrooms,2,"Goto, Hiromi",,,,1994,Novel,Newest Press,,N
Chroniques Birmanes,1,"Delisle, Guy",,,,2007,Graphic Narrative,Drawn and Quarterly,,N/A
Circle,1,"Chang, Victoria",,,,2005,Poetry,Southern Illinois University,,N/A
Circle K Cycles,2,"Yamashita, Karen Tei",,,,2001,Short Story(ies)/Prose Nonfiction,Coffee House Press,,N/A
Citizen 13660,11,"Okubo, Miné",,,,1946,Graphic Narrative,Columbia University Press,American Book Award,N/A
Clay Walls,4,"Kim, Ronyoung",,,,1986,Novel,Permanent Press,,N
Clear Light of Day,1,"Desai, Anita",,,,1980,Novel,Harper & Row,,N
Cleveland Raining,1,"Rno, Sung",,,,1995,Drama,East West Players,,N/A
Cloud Atlas,1,"Wachowski, Lana","Tykwer, Tom","Wachowski, Lilly",,2012,Film,Warner Brothers Pictures,"Critics Choice Award, Saturn Award, Bavarian Film Award, and more",N/A
