unique_id,publication_date,year,title,section,author_name,last_name,first_name,author_gender,author_nea,author_bestseller,author_prize,author_iowa
24,9/1/1954,1954,Roll out the Rolov,fiction,"Harry C. Crosby, Jr.",Crosby,Harry C.,M,,,,
25,10/1/1954,1954,Ribald Classics,fiction,Boccaccio,,Boccaccio,M,,,,
26,10/1/1954,1954,Old Shep,fiction,Jack W. West,West,Jack W.,M,,,,
27,10/1/1954,1954,Appearance and Reality,fiction,W. Somerset Maugham,Maugham,W. Somerset,M,,yes,,
28,11/1/1954,1954,Ribald Classics,fiction,Boccaccio,,Boccaccio,M,,,,
29,11/1/1954,1954,The Persistent Nude,fiction,Ernest Leogrande,Leogrande,Ernest,M,,,,
30,11/1/1954,1954,August Afternoon,fiction,Erskine Caldwell,Caldwell,Erskine,M,,yes,,
31,12/1/1954,1954,Ribald Classics,fiction,Boccaccio,,Boccaccio,M,,,,
32,12/1/1954,1954,I'm Yours,fiction,Charles Schafhauser,Schafhauser,Charles,M,,,,
33,1/1/1955,1955,Carnival,fiction,Erskine Caldwell,Caldwell,Erskine,M,,yes,,
34,1/1/1955,1955,The Ears of Johnny Bear,fiction,John Steinbeck,Steinbeck,John,M,,yes,yes,
35,1/1/1955,1955,The Concrete Mixer,fiction,Ray Bradbury,Bradbury,Ray,M,,yes,yes,
36,2/1/1955,1955,Ribald Classics,fiction,Guy de Maupassant,Maupassant,Guy,M,,,,
37,2/1/1955,1955,A Change of Air,fiction,Ivan Gold,Gold,Ivan,M,yes,,yes,
38,2/1/1955,1955,The Most Horrible Story,fiction,John W. Jakes,Jakes,John W.,M,,yes,,
39,4/1/1955,1955,The Hunger,fiction,Charles Beaumont,Beaumont,Charles,M,,,,
40,4/1/1955,1955,Ribald Classics,fiction,Guy de Maupassant,Maupassant,Guy,M,,,,
41,4/1/1955,1955,A Tithe for Charity,fiction,P.G. Wodehouse,Wodehouse,P.G.,M,,,,
42,5/1/1955,1955,Subsititute Wench,ribald classic,Boccaccio,,Boccaccio,M,,,,
43,5/1/1955,1955,The Eighty Yard Run,fiction,Irwin Shaw,Shaw,Irwin,M,,yes,yes,
44,5/1/1955,1955,Naked Lady,fiction,Mindret Lord,Lord,Mindret,M,,,,
45,6/1/1955,1955,Successful Love,fiction,Delmore Schwartz,Schwartz,Delmore,M,,,yes,
46,6/1/1955,1955,The Costly Countess,ribald classic,Guy de Maupassant,Maupassant,Guy,M,,,,
47,6/1/1955,1955,In the Cards,fiction,John Collier,Collier,John,M,,,,
48,7/1/1955,1955,"A Steady, High-Type Fellow",fiction,Herbert Gold,Gold,Herbert,M,,yes,yes,
49,7/1/1955,1955,A Suit for Damages,ribald classic,Honore de Balzac,Balzac,Honore,M,,,,
50,7/1/1955,1955,The Crooked Coronet,fiction,Michael Arlen,Arlen,Michael,M,,,,
51,8/1/1955,1955,The Crooked Man,fiction,Charles Beaumont,Beaumont,Charles,M,,,,
52,8/1/1955,1955,Caught in the Act,ribald classic,Guy de Maupassant,Maupassant,Guy,M,,,,
53,8/1/1955,1955,Uncle Fred Flits,fiction,P.G. Wodehouse,Wodehouse,P.G.,M,,,,
54,9/1/1955,1955,The Ring and the Garter,ribald classic,Casanova,,Casanova,M,,,,
55,9/1/1955,1955,Malting Season,fiction,Charles Lee Robinson,Robinson,Charles Lee,M,,,,
56,9/1/1955,1955,Spy Story,fiction,Robert Sheckley,Sheckley,Robert,M,,,,
57,9/1/1955,1955,The Closed Shop,fiction,W. Somerset Maugham,Maugham,W. Somerset,M,,yes,,
58,10/1/1955,1955,The Taming of the Rake,fiction,Anson Mount,Mount,Anson,M,,,,
59,10/1/1955,1955,The Signal,ribald classic,Guy de Maupassant,Maupassant,Guy,M,,,,
60,10/1/1955,1955,The King,fiction,James Jones,Jones,James,M,,yes,yes,
61,11/1/1955,1955,The Cuckold's Stargem,ribald classic,Giovanni Straparola,Straparola,Giovanni,M,,,,
62,11/1/1955,1955,"All Married Women Are Bad, Yes?",fiction,Herbert Gold,Gold,Herbert,M,,yes,yes,
63,11/1/1955,1955,Burnt Toast,fiction,Mack Reynolds,Reynolds,Mack,M,,,,
64,11/1/1955,1955,Zip-Gun Boys On A Caper,fiction,Robert Turner,Turner,Robert,M,,,,
65,12/1/1955,1955,A Classic Affair,fiction,Charles Beaumont,Beaumont,Charles,M,,,,
66,12/1/1955,1955,The Spice of Life,ribald classic,Guy de Maupassant,Maupassant,Guy,M,,,,
67,12/1/1955,1955,The Next in Line,fiction,Ray Bradbury,Bradbury,Ray,M,,yes,yes,
68,1/1/1956,1956,Advice About Women,fiction,Erskine Caldwell,Caldwell,Erskine,M,,yes,,
69,1/1/1956,1956,"Love, the Healer",fiction,Herbert Gold,Gold,Herbert,M,,yes,yes,
70,1/1/1956,1956,Last Will and Testament,fiction,Rex Fabian,Fabian,Rex,M,,,,
71,1/1/1956,1956,I Like Blondes,fiction,Robert Bloch,Bloch,Robert,M,,,,
72,1/1/1956,1956,A Narrow Escape,ribald classic,Voltaire,,Voltaire,M,,,,
73,2/1/1956,1956,The Impromptu Physician,ribald classic,Casanova,,Casanova,M,,,,
74,2/1/1956,1956,The Crack of Doom,fiction,Don Marquis,Marquis,Don,M,,,,
75,2/1/1956,1956,Mary,fiction,John Collier,Collier,John,M,,,,
76,3/1/1956,1956,Couching at the Door,fiction,D.K. Broster,Broster,D.K.,F,,,,
77,3/1/1956,1956,I Am Committing Suicide,fiction,Delmas W. Abbott,Abbott,Delmas W.,N/A,,,,
78,3/1/1956,1956,The Psychodynamist,fiction,Herbert Gold,Gold,Herbert,M,,yes,yes,
79,3/1/1956,1956,The Pitfalls of Prettiness,ribald classic,Voltaire,,Voltaire,M,,,,
80,4/1/1956,1956,The Postman's Mistake,ribald classic,Guy de Maupassant,Maupassant,Guy,M,,,,
81,4/1/1956,1956,The Cruise of Aphrodite,fiction,H.E. Heckelmann,Heckelmann,H.E.,M,,,,
82,4/1/1956,1956,Taste,fiction,Roald Dahl,Dahl,Roald,M,,yes,,
83,4/1/1956,1956,No More Gifts,fiction,Willard Marsh,Marsh,Willard,M,,,,
84,5/1/1956,1956,The Monster Snow,fiction,Charles Beaumont,Beaumont,Charles,M,,,,
85,5/1/1956,1956,The Shooting of Judge Price,fiction,Erskine Caldwell,Caldwell,Erskine,M,,yes,,
86,5/1/1956,1956,The Splendid Source,fiction,Richard Matheson,Matheson,Richard,M,,,,
87,5/1/1956,1956,The Temples of Fruitful Women,ribald classic,,,,N/A,,,,
88,6/1/1956,1956,The Hectic Honeymoon,ribald classic,Guy de Maupassant,Maupassant,Guy,M,,,,
89,6/1/1956,1956,Last Gambit,fiction,Loring D. Mandel,Mandel,Loring D.,M,,,,
90,6/1/1956,1956,A Sound of Thunder,fiction,Ray Bradbury,Bradbury,Ray,M,,yes,yes,
91,6/1/1956,1956,Nine Dimittis,fiction,Roald Dahl,Dahl,Roald,M,,yes,,
92,7/1/1956,1956,The Truckdriver,fiction,Alberto Moravia,Moravia,Alberto,M,,,,
93,7/1/1956,1956,The Deal,fiction,Alice Denham,Denham,Alice,F,,,,
94,7/1/1956,1956,Nellthu,fiction,Anthony Boucher,Boucher,Anthony,M,,,,
95,7/1/1956,1956,The Woman in the Case,ribald classic,Anton Chekhov,Chekhov,Anton,M,,,,
96,8/1/1956,1956,You Can't Have Them All,fiction,Charles Beaumont,Beaumont,Charles,M,,,,
97,8/1/1956,1956,Milady's Bosom,ribald classic,Joseph Addison,Addison,Joseph,M,,,,
98,8/1/1956,1956,Walt to the Station,fiction,Stanley Cooperman,Cooperman,Stanley,M,,,,
99,8/1/1956,1956,Ad Lib Exit,fiction,Willard Marsh,Marsh,Willard,M,,,,
100,9/1/1956,1956,The Doll,fiction,Hugh G. Foster,Foster,Hugh G.,M,,,,
101,9/1/1956,1956,Get Out of My Life,fiction,John Wallace,Wallace,John,M,,,,
102,9/1/1956,1956,"Love, Incorporated",fiction,Robert Sheckley,Sheckley,Robert,M,,,,
103,9/1/1956,1956,The Amorous Goldsmith,ribald classic,,,,N/A,,,,
104,10/1/1956,1956,A Pound of Flesh,fiction,Anson Mount,Mount,Anson,M,,,,
105,10/1/1956,1956,The Right Kind of Pride,fiction,Herbert Gold,Gold,Herbert,M,,yes,yes,
106,10/1/1956,1956,Hospitality,fiction,Lesley Conger,Conger,Lesley,M,,,,
107,10/1/1956,1956,The Hoodwinked Husband,ribald classic,Masuccio	Salernitano,Salernitano,Masuccio,M,,,,
108,11/1/1956,1956,The Lover of the Coral Glades,fiction,Adrian Conan Doyle,Doyle,Adrian Conan,M,,,,
109,11/1/1956,1956,The Flip Side,fiction,Charles Einstein,Einstein,Charles,M,,,,
110,11/1/1956,1956,The Braggart King,ribald classic,Herodotus,,Herodotus,M,,,,
111,11/1/1956,1956,A Flourish of Strumpets,fiction,Richard Matheson,Matheson,Richard,M,,,,
112,12/1/1956,1956,The Dark Music,fiction,Charles Beaumont,Beaumont,Charles,M,,,,
113,12/1/1956,1956,The Christmas Eve Supper,ribald classics,Guy de Maupassant,Maupassant,Guy,M,,,,
114,12/1/1956,1956,The Hundred Dollar Suicide,fiction,Henry Gregor Felsen,Felsen,Henry Gregor,M,,,,
115,12/1/1956,1956,The Bitch in Heat,fiction,Robert Slater,Slater,Robert,M,yes,,,
116,1/1/1957,1957,The Mask and the Maiden,fiction,John Collier,Collier,John,M,,,,
117,1/1/1957,1957,In a Season of Calm Weather,fiction,Ray Bradbury,Bradbury,Ray,M,,yes,yes,
118,1/1/1957,1957,The Hustler,fiction,Walter S. Tevis,Tevis,Walter S.,M,,,,
119,1/1/1957,1957,The Cuckold and the Cakes,ribald classic,,,,N/A,,,,
120,2/1/1957,1957,A Second Father,fiction,Budd Schulberg,Schulberg,Budd,M,,yes,,
121,2/1/1957,1957,The Doctor's Deception,ribald classics,Guy de Maupassant,Maupassant,Guy,M,,,,
122,2/1/1957,1957,The 44-Year Old Boy Disc Jockey,fiction,Herbert Gold,Gold,Herbert,M,,yes,yes,
123,2/1/1957,1957,The Traveling Salesman,fiction,Robert Bloch,Bloch,Robert,M,,,,
124,3/1/1957,1957,Night Ride,fiction,Charles Beaumont,Beaumont,Charles,M,,,,
125,3/1/1957,1957,The Decent Thing to Do,fiction,Dion Henderson,Henderson,Dion,M,,,,
126,3/1/1957,1957,Triplicate Twisteroo,fiction,Frederic Brown,Brown,Frederic,M,,,,
127,3/1/1957,1957,The Painted Lady,ribald classics,Juan Ruiz,Ruiz,Juan,M,,,,
128,4/1/1957,1957,The Wayward Wife,ribald classics,Guy de Maupassant,Maupassant,Guy,M,,,,
129,4/1/1957,1957,Victory Parade,fiction,Henry Slesar,Slesar,Henry,M,,,,
130,4/1/1957,1957,All Through the Night,fiction,Nelson Algren,Algren,Nelson,M,yes,yes,yes,
131,4/1/1957,1957,The Sergeant and the Slave,fiction,T.K. Brown III,Brown,T.K.,M,,,,
132,5/1/1957,1957,Master of the Revels,fiction,Al Morgan,Morgan,Al,M,,yes,,
133,5/1/1957,1957,The Not Nice Guy,fiction,Herbert Gold,Gold,Herbert,M,,yes,yes,
134,5/1/1957,1957,The Tale of the Terrible Teeth,ribald classic,Somadeva,,Somadeva,M,,,,
135,6/1/1957,1957,The Lady And the Angel,ribald classic,Anatole France,France,Anatole,M,,,,
136,6/1/1957,1957,The Fly,fiction,George Langelaan,Langelaan,George,M,,,,
137,6/1/1957,1957,The Double Cross-Up,fiction,T.K. Brown III,Brown,T.K.,M,,,,
138,7/1/1957,1957,The Champion of Outer Mongolia,fiction,Archie Oldham,Oldham,Archie,M,,,,
139,7/1/1957,1957,Mistress of Porcosito,fiction,Gerald Kersh,Kersh,Gerald,M,,yes,,
140,7/1/1957,1957,A Very Human Story,fiction,Harvey Swados,Swados,Harvey,M,yes,,yes,
141,7/1/1957,1957,The Seal of Vengeance,ribald classic,Jules D'Aurevilly,D'Aurevilly,Jules,M,,,,
142,8/1/1957,1957,Do Nice Artistic Girls?,fiction,Herbert Gold,Gold,Herbert,M,,yes,yes,
143,8/1/1957,1957,Incident off Land's End,fiction,Jacob Hay,Hay,Jacob,M,,,,
144,8/1/1957,1957,Lovers Aloft,ribald classic,Joseph Addison,Addison,Joseph,M,,,,
145,8/1/1957,1957,Balance Sheet,fiction,Morton Fineman,Fineman,Morton,M,,,,
146,9/1/1957,1957,The Prince and the Gladiator,fiction,Al Morgan,Morgan,Al,M,,yes,,
147,9/1/1957,1957,A Matter of Life and Death,fiction,Arthur Rodney Coneybeare,Coneybeare,Arthur Rodney,M,,,,
148,9/1/1957,1957,A Duck to Water,ribald classic,Giovanni da Prato,da Prato,Giovanni,M,,,,
149,10/1/1957,1957,The Secret Formula,fiction,Henry Slesar,Slesar,Henry,M,,,,
150,10/1/1957,1957,Party Girl,fiction,John Wallace,Wallace,John,M,,,,
151,10/1/1957,1957,The Cure,fiction,Robert Bloch,Bloch,Robert,M,,,,
152,10/1/1957,1957,The Rabbit and the Turtle Dove,ribald classic,,,,N/A,,,,
153,11/1/1957,1957,The Deadly Will to Win,fiction,Charles Beaumont,Beaumont,Charles,M,,,,
154,11/1/1957,1957,City Fables,fiction,Hoke Norris,Norris,Hoke,M,,,,
155,11/1/1957,1957,Nothing but the Truth,ribald classic,Juan Timoneda,Timoneda,Juan,M,,,,
156,11/1/1957,1957,The Buttondown Boys in the Frozen North,fiction,Stewart	P. Brown,Brown,Stewart	P.,M,,,,
157,12/1/1957,1957,The Barraducas,fiction,Budd Schulberg,Schulberg,Budd,M,,yes,,
158,12/1/1957,1957,Something on His Mind,fiction,Gerald Kersh,Kersh,Gerald,M,,yes,,
159,12/1/1957,1957,The Loveliest Ladder,ribald classic,Jules Janin,Janin,Jules,M,,,,
160,1/1/1958,1958,The Best Job in Television,fiction,Frederick Wieting,Wieting,Frederick,N/A,,,,
161,1/1/1958,1958,The Room of Dark,fiction,Gilbert Wright,Wright,Gilbert,M,,,,
162,1/1/1958,1958,"The Rumbling, Rambling Blues",fiction,Jack Kerouac,Kerouac,Jack,M,,yes,,
163,1/1/1958,1958,Just Like The Girl,fiction,James Jones,Jones,James,M,,yes,yes,
164,1/1/1958,1958,The Plaster Saint,ribald classic,,,,N/A,,,,
165,2/1/1958,1958,Let There be Light,fiction,Arthur C. Clarke,Clarke,Arthur C.,M,,yes,,
166,2/1/1958,1958,"Thank You, Anna",fiction,Bill Safire,Safire,Bill,M,,,,
167,2/1/1958,1958,Examination Day,fiction,Henry Slesar,Slesar,Henry,M,,,,
168,2/1/1958,1958,An Initial Investment,ribald classic,,,,N/A,,,,
169,3/1/1958,1958,Wheel of Furtune,fiction,John Ogham,Ogham,John,M,,,,
170,3/1/1958,1958,The Distributor,fiction,Richard Matheson,Matheson,Richard,M,,,,
171,3/1/1958,1958,The Poisonous Knight,ribald classic,,,,N/A,,,,
172,4/1/1958,1958,Weird Show,fiction,Herbert Gold,Gold,Herbert,M,,yes,yes,
173,4/1/1958,1958,A Stretch in Siberia,fiction,John Wallace,Wallace,John,M,,,,
174,4/1/1958,1958,The Smile on the Face of the Sphinx,fiction,Pierre Marechal,Marechal,Pierre,M,,,,
175,5/1/1958,1958,Hard Bargain,fiction,Alan E. Nourse,Nourse,Alan E.,M,,,,
176,5/1/1958,1958,The Man in the Wel,fiction,Berkely Mather,Mather,Berkely,M,,,,
177,5/1/1958,1958,The One Is On The House,fiction,Pat Frank,Frank,Pat,M,,yes,,
178,6/1/1958,1958,The Sign of Scorpio,fiction,Charles Mergendahl,Mergendahl,Charles,M,,yes,,
179,6/1/1958,1958,Sex on Sawdust,fiction,Daniel P. Mannix,Mannix,Daniel P.,M,,,yes,
180,7/1/1958,1958,The Sweet Sadness,fiction,Philip Lee Smith,Smith,Philip Lee,M,,,,
181,7/1/1958,1958,The Devil to Pay,fiction,Stephen Barr,Barr,Stephen,M,,,,
182,7/1/1958,1958,The Skindiver and the Lady,fiction,T.K. Brown III,Brown,T.K.,M,,,,
183,7/1/1958,1958,A Two-Lover Woman,ribald classic,,,,N/A,,,,
184,8/1/1958,1958,Drop Dead,fiction,Fred McMorrow,McMorrow,Fred,M,,,,
185,8/1/1958,1958,A Very Rare Disease,fiction,Henry Slesar,Slesar,Henry,M,,,,
186,8/1/1958,1958,A Dish for the Gods,ribald classic,Jean de la Fontaine,Fontaine,Jean,M,,,,
187,8/1/1958,1958,Word of Honor,fiction,Robert Bloch,Bloch,Robert,M,,,,
188,9/1/1958,1958,The House of Hate,fiction,Browning Norton,Norton,Browning,M,,,,
189,9/1/1958,1958,"Sleepers, Awake!",fiction,Herbert Gold,Gold,Herbert,M,,yes,yes,
190,9/1/1958,1958,The Peeping Tom Patrol,fiction,Michael Shaara,Shaara,Michael,M,,,yes,
191,9/1/1958,1958,The Princess and the Monster,ribald classic,,,,N/A,,,,
192,10/1/1958,1958,Perchance to Drem,fiction,Charles Beaumont,Beaumont,Charles,M,,,,
193,10/1/1958,1958,The 51 Tones of Green,fiction,Ken Purdy,Purdy,Ken,M,,,,
194,10/1/1958,1958,Montage,fiction,Ray Russell,Russell,Ray,M,,,,
195,10/1/1958,1958,My Lady Nicotine,ribald classic,,,,N/A,,,,
196,11/1/1958,1958,The Jam,fiction,Henry Slesar,Slesar,Henry,M,,,,
197,11/1/1958,1958,Stubborn As a Mule,ribald classic,Jacques Redelsperger,Redelsperger,Jacques,M,,,,
198,11/1/1958,1958,The Marvelous Lover,fiction,Joyce Engelson,Engelson,Joyce,F,,,,
199,11/1/1958,1958,A Sock in the Jaw,fiction,Ken Purdy,Purdy,Ken,M,,,,
200,12/1/1958,1958,We're Running a Little Late,fiction,Garson Kanin,Kanin,Garson,M,,yes,,
201,12/1/1958,1958,The Mayor's Magnificent Feast,ribald classic,Jean de la Fontaine,Fontaine,Jean,M,,,,
202,12/1/1958,1958,A Knight Lay Dying,fiction,Jerome Weidman,Weidman,Jerome,M,,yes,,
203,12/1/1958,1958,Everybody Hates David Starbuck,fiction,Steve Allen,Allen,Steve,M,,,,
204,1/1/1959,1959,Cock of the Walk,ribald classic,Bonaventure Desperriers,Desperriers,Bonaventure,M,,,,
205,1/1/1959,1959,The Music of The Yellow Brass,fiction,Charles Beaumont,Beaumont,Charles,M,,,,
206,1/1/1959,1959,A Dish of Desire,fiction,J.P. Donleavy,Donleavy,J.P.,M,,yes,yes,
207,1/1/1959,1959,The Right Approach,fiction,P.G. Wodehouse,Wodehouse,P.G.,M,,,,
208,2/1/1959,1959,The Sensible Man,fiction,Avram Davidson,Davidson,Avram,M,,,,
209,2/1/1959,1959,A Flirtation with Disaster,ribald classic,Emile Blain,Blain,Emile,N/A,,,,
211,2/1/1959,1959,The Buttondown Boys at Creepsville High,fiction,Stewart	P. Brown,Brown,Stewart	P.,M,,,,
210,2/1/1959,1959,A Fist Full of Money,fiction,Henry Slesar; Jay Folb,,,N/A,,,,
212,3/1/1959,1959,The Wedding Night Problem,ribald classic,Jacques Redelsperger,Redelsperger,Jacques,M,,,,
213,3/1/1959,1959,"I Love You, Miss Irvine",fiction,John Wallace,Wallace,John,M,,,,
214,3/1/1959,1959,The Noise,fiction,Ken Purdy,Purdy,Ken,M,,,,
215,4/1/1959,1959,With All Due Respect,fiction,Fred McMorrow,McMorrow,Fred,M,,,,
216,4/1/1959,1959,Nasty,fiction,Frederic Brown,Brown,Frederic,M,,,,
217,4/1/1959,1959,What's Become of Your Creature?,novelette,Herbert Gold,Gold,Herbert,M,,yes,yes,
218,4/1/1959,1959,The Crafty Tapestry Maker,ribald classic,Marguerite de Navarre,Navarre,Marguerite,F,,,,
219,5/1/1959,1959,The Girl Had Been Around,fiction,E.S. Jensen,Jensen,E.S.,N/A,,,,
220,5/1/1959,1959,The Wine Dealer's Wife,ribald classic,Jacques Redelsperger,Redelsperger,Jacques,M,,,,
221,5/1/1959,1959,Triplication,fiction,Robert Sheckley,Sheckley,Robert,M,,,,
222,5/1/1959,1959,Dealers Wild,fiction,T.K. Brown III,Brown,T.K.,M,,,,
223,6/1/1959,1959,The Voyage of the peanut,fiction,Harvey Jacobs,Jacobs,Harvey,M,yes,,,
224,6/1/1959,1959,"Waste Not, Want Not",fiction,John Atherton,Atherton,John,M,,,,
225,6/1/1959,1959,The Wise Guy,fiction,Ken Purdy,Purdy,Ken,M,,,,
226,6/1/1959,1959,The Undoing of Aristotle,ribald classic,,,,N/A,,,,
227,7/1/1959,1959,No Fire Burns,fiction,Avram Davidson,Davidson,Avram,M,,,,
228,7/1/1959,1959,Sorcerer's Moon,fiction,Charles Beaumont,Beaumont,Charles,M,,,,
229,7/1/1959,1959,The Incredible Adventures of Dino,fiction,Herbert Gold,Gold,Herbert,M,,yes,yes,
230,7/1/1959,1959,No,ribald classic,Theophilo Braga,Braga,Theophilo,M,,,,
231,8/1/1959,1959,A Pair of Concubines,ribald classic,Andreopulus,,Andreopulus,N/A,,,,
232,8/1/1959,1959,"Ok, So I""m a Cookooboo",fiction,Charles Hamblett,Hamblett,Charles,M,,,,
233,8/1/1959,1959,Incognito,fiction,Henry Slesar,Slesar,Henry,M,,,,
234,8/1/1959,1959,The Sender of Letters,novelette,Herbert Gold,Gold,Herbert,M,,yes,yes,
235,8/1/1959,1959,The Rancher's Daughter,fiction,John Novotny,Novotny,John,M,,,,
236,9/1/1959,1959,A Song in his Pocket,fiction,Barry B. Spacks,Spacks,Barry B.,M,,,,
237,9/1/1959,1959,The Taste of Fear,fiction,Hugh G. Foster,Foster,Hugh G.,M,,,,
238,9/1/1959,1959,The World of Heart's Desire,fiction,Robert Sheckley,Sheckley,Robert,M,,,,
239,9/1/1959,1959,Strangers in Paradise,ribald classic,Shaikhzadi,,,M,,,,
240,10/1/1959,1959,Loving Couple,fiction,Edward Wellen,Wellen,Edward,M,,,,
241,10/1/1959,1959,A Very Good Sidewalk Story,fiction,Herbert Gold,Gold,Herbert,M,,yes,yes,
242,10/1/1959,1959,The Disguised Husband,ribald classic,J.F. Demachy,Demachy,J.F.,M,,,,
243,10/1/1959,1959,No Such Thing As a Vampire,fiction,Richard Matheson,Matheson,Richard,M,,,,
244,10/1/1959,1959,"Snakes in the Grass, Alas",fiction,T.K. Brown III,Brown,T.K.,M,,,,
245,11/1/1959,1959,A Cry From the Penthouse,fiction,Henry Slesar,Slesar,Henry,M,,,,
248,11/1/1959,1959,A Piece of Fine Linen,ribald classic,Jules Feiffer,Feiffer,Jules,M,,,,
246,11/1/1959,1959,A Long Time to Swing Alone,fiction,Noel Clad,Clad,Noel,M,,yes,,
247,11/1/1959,1959,The Joan Club,fiction,William Link; Richard Levinson,,,M,,,,
249,12/1/1959,1959,Crime at the Tennis Club,fiction,Alberto Moravia,Moravia,Alberto,M,,,,
250,12/1/1959,1959,False Pretenses,ribald classic,Chevalier de Nerciat,Nerciat,Chevalier,M,,,,
251,12/1/1959,1959,Before the Road,novelette,Jack Kerouac,Kerouac,Jack,M,,yes,,
252,12/1/1959,1959,Foul Ball,fiction,Max Shulman,Shulman,Max,M,,yes,,
253,12/1/1959,1959,A Fine Son,fiction,Roald Dahl,Dahl,Roald,M,,yes,,
254,12/1/1959,1959,December 28th,fiction,Theodore L. Thomas,Thomas,Theodore L.,M,,,,
255,1/1/1960,1960,The Love Philtre,fiction,Jerome Weidman,Weidman,Jerome,M,,yes,,
256,1/1/1960,1960,The Burgher's Beautiful Wife,ribald classic,Johannes Von Freiberg,Freigberg,Johannes,M,,,,
257,1/1/1960,1960,Softly Walks the Beetle,fiction,John Collier,Collier,John,M,,,,
258,1/1/1960,1960,The Case of the Difficult Husband,fiction,Robert Graves,Graves,Robert,M,,yes,,
259,2/1/1960,1960,Glenn's Girl,fiction,Jim Dilles,Dilles,Jim,M,,,,
260,2/1/1960,1960,"How Right You Are, Jeeves!",fiction,P.G. Wodehouse,Wodehouse,P.G.,M,,,,
261,2/1/1960,1960,The Feathered Spy,ribald classic,,,,N/A,,,,
262,3/1/1960,1960,The Actor,fiction,Brian Rencelaw,Rencelaw,Brian,M,,,,
263,3/1/1960,1960,The Hildebrand Rarity,novelette,Ian Fleming,Fleming,Ian,M,,yes,,
264,3/1/1960,1960,The Weeping Dog,ribald classic,Petrus Alfonsus,Alfonsus,Petrus,M,,,,
265,3/1/1960,1960,A Great Voice Stilted,fiction,Shirley Jackson,Jackson,Shirley,F,,yes,,
266,4/1/1960,1960,The Bargain,novelette,Edward Loomis,Loomis,Edward,M,,,,
267,4/1/1960,1960,Epitaph for Obie,fiction,Ken Purdy,Purdy,Ken,M,,,,
268,4/1/1960,1960,The Girl with the Bear Rug Eyes,fiction,Rex Lardner,Lardner,Rex,M,,,,
269,5/1/1960,1960,I Remember Babylon,fiction,Arthur C. Clarke,Clarke,Arthur C.,M,,yes,,
270,5/1/1960,1960,Trouble in Makeoutsville,fiction,Herbert Gold,Gold,Herbert,M,,yes,yes,
271,5/1/1960,1960,Mother's Day,fiction,Leland Webb,Webb,Leland,M,,,,
272,5/1/1960,1960,A Sense of Proportion,ribald classic,Shaikhzadi,,,M,,,,
273,6/1/1960,1960,After,fiction,Henry Slesar,Slesar,Henry,M,,,,
274,6/1/1960,1960,The Runaways,fiction,Leland Webb,Webb,Leland,M,,,,
275,6/1/1960,1960,Ding Dong Ghoul,fiction,Robert Sabaroff,Sabaroff,Robert,M,,,,
276,6/1/1960,1960,The Blue Sceptre,ribald classic,,,,N/A,,,,
