id	author1	author1_normalized	author2	author3	author4	author_authorized_heading	author_lccn	author_viaf	author_wikidata_qid	date	htid	hathi_rights	title	imprint	isbn	isbn_most_common_edition	lccn	oclc	oclc_owi	oclc_eholdings	oclc_holdings	person_id	place	publisher_marc
6737	Veeder, William R.	Veeder, William R.				Veeder, William R.	n82018506	108435215	Q8019701	1968	mdp.39015038907534	ic	W. B. Yeats: the rhetoric of repetition, by William R. Veeder.	University of California Press, 1968.	[]		['70625357 //r913']	['6985']	235748853	2	389	197	cau	University of California Press
6738	Johnson, Denis 1949-	Johnson, Denis				Johnson, Denis, 1949-2017	n81147004	51707360	Q340016	1997	mdp.39015041314496	ic	Already dead : a California gothic / Denis Johnson.	HarperCollins, c1997.	['0060187379']	0060187379	['97001528 //r97']	['36241673']	587280	44	729	786	nyu	HarperCollins
6739	Huneven, Michelle 1953-	Huneven, Michelle				Huneven, Michelle, 1953-	n97015243	1748496	Q6837086	1997	mdp.39015041294201	ic	Round Rock : a novel / by Michelle Huneven.	A.A. Knopf : Distributed by Random House, 1997.	['0679454373 (alk. paper)']	0679454373	['97005831 //r97']	['36407749']	570374	35	509	1014	nyu	A.A. Knopf :
6740	Lux, Thomas 1946-	Lux, Thomas				Lux, Thomas, 1946-2017	n79063797	4959112	Q7791985	1997	mdp.39015041292544	ic	New and selected poems, 1975-1995 / Thomas Lux.	Houghton Mifflin Co., 1997.	['0395858321']	0395858321	['97000430']	['36214996']	288085706	47	434	4359	mau	Houghton Mifflin Co.
6741	Lacy, Robert.	Lacy, Robert				Lacy, Robert	nr97029964	68836790	Q7346678	1997	mdp.39015041102438	ic	The natural father : stories / by Robert Lacy.	New Rivers Press, 1997.	['0898231760']	0898231760	['97065063']	['37135453']	651838	11	67	252	mnu	New Rivers Press
6742	Kittredge, William.	Kittredge, William				Kittredge, William	n77016661	93349615	Q3568766	1997	mdp.39015041102974	ic	The Portable western reader / edited and with an introduction by William Kittredge.	Penguin Books, 1997.	['0140230262 (pbk.)']	0140230262	['96047243']	['35750507']	34529026	12	491	459	nyu	Penguin Books
6743	Hall, Oakley M.	Hall, Oakley M.				Hall, Oakley M.	n79134992	42004776	Q7074155	1997	mdp.39015041100358	ic	Separations / Oakley Hall.	University of Nevada Press, c1997.	['0874172926 (pbk. : alk. paper)']	0874172926	['96037263']	['35822506']	40838867	11	241	17	nvu	University of Nevada Press
6744	Siegel, Robert Anthony.	Siegel, Robert Anthony				Siegel, Robert Anthony	n96087147	53420781	Q7341547	1997	mdp.39015041027700	ic	All the money in the world / Robert Anthony Siegel.	Random House, c1997.	['0679448322']	0679448322	['96043549']	['35548980']	570237	2	141	3591	nyu	Random House
6745	Olsen, Lance 1956-	Olsen, Lance				Olsen, Lance, 1956-	n86108063	110430530	Q6483502	1996	mdp.39015041028112	ic	Burnt / Lance Olsen.	Wordcraft of Oregon, 1996.	['1877655201']	1877655201	['96198373 //r97']	['35362783']	39913460	2	55	1241	oru	Wordcraft of Oregon
6746	Offutt, Chris 1958-	Offutt, Chris				Offutt, Chris, 1958-	n92008720	79145036	Q5107639	1997	mdp.39015041027346	ic	The good brother / Chris Offutt.	Simon & Schuster, c1997.	['0684809834']	0684809834	['96053348']	['36103819']	17933668	50	613	2023	nyu	Simon & Schuster
6747	Madhubuti, Haki R. 1942-	Madhubuti, Haki R.	Madgett, Naomi Cornelia Long former owner.			Madhubuti, Haki R., 1942-	n50046357	61540144	Q5640451	1996	mdp.39015041025050	ic	GroundWork : new and selected poems of Don L. Lee/Haki R. Madhubuti, from 1966-1996 / Haki R. Madhubuti ; with a foreword by Gwendolyn Brooks and preface by Bakari Kitwana.	Third World Press, 1996.	['0883781735 (paperback),0883781727 (hardcover)']	0883781735	['96030118']	['35212757']	2517206695	162	218	1539	ilu	Third World Press
6748	Lux, Thomas 1946-	Lux, Thomas				Lux, Thomas, 1946-2017	n79063797	4959112	Q7791985	1996	mdp.39015040993209	ic	The blind swimmer : selected early poems, 1970-1975 / Thomas Lux.	Adastra Press, 1996.	['0938566733 (pbk.)']	0938566733	[]	['36059746']	476648247	3	78	4359	mau	Adastra Press
6749	Galvin, James.	Galvin, James				Galvin, James	n80083528	91815764	Q6134459	1997	mdp.39015040699624	ic	Resurrection update : collected poems, 1975-1997 / James Galvin.	Copper Canyon Press, c1997.	['1556591217,1556591225']	1556591225	['96051285']	['36112094']	383413679	12	333	1000	wau	Copper Canyon Press
6750	Glancy, Diane.	Glancy, Diane	Blaeser, Kimberly M.			Glancy, Diane	n85814699	93980865	Q5271470	1997	mdp.39015039054898	ic	War cries / by Diane Glancy ; introduction by Kimberly Blaeser.	Holy Cow! Press, c1997.	['0930100549']	0930100549	[]	['36411784']	40581554	11	186	1837	mnu	Holy Cow! Press
6751	Busch, Frederick 1941-2006	Busch, Frederick				Busch, Frederick, 1941-2006	n79102784	110494254	Q1452813	1997	mdp.39015036083908	ic	Girls : a novel / Frederick Busch.	Harmony Books, c1997.	['0517704552 :']	0517704552	[]	['36465893']	196090570	129	1086	3643	nyu	Harmony Books
6752	Girardi, Robert.	Girardi, Robert				Girardi, Robert	n94112045	24744344	Q7344794	1997	mdp.39015038599174	ic	The pirate's daughter : a novel of adventure / Robert Girardi.	Delacorte Press, c1997.	['038531485X']	038531485X	['96017048 //r97']	['34546224']	535350	80	627	1669	nyu	Delacorte Press
6753	Kinsella, W. P.	Kinsella, W. P.				Kinsella, W. P.	n77004617	957296	Q7945871	1996	mdp.39015040651252	ic	Brother Frank's gospel hour : stories / by W.P. Kinsella.	Southern Methodist University Press, 1996, c1994.	['0870743996 (paper : acid-free paper),0870743988 (cloth : acid-free paper)']	0870743988	['96034545']	['35178632']	5218504494	2	161	1089	txu	Southern Methodist University Press
6754	Grumbach, Doris.	Grumbach, Doris				Grumbach, Doris	n81003532	59245122	Q5297938	1996	mdp.39015038520345	ic	Life in a day / Doris Grumbach.	Beacon Press, c1996.	['0807070882 (cloth)']	0807070203	['96013837']	['34410194']	600728	632	539	3640	mau	Beacon Press
6755	Greger, Debora 1949-	Greger, Debora				Greger, Debora, 1949-	n79137484	76337833	Q5248141	1996	mdp.39015038540269	ic	Desert fathers, uranium daughters / Debora Greger.	Penguin Books, c1996.	['0140587748 (pbk.)']	0140587748	['96006278']	['34285201']	39823288	19	223	775	nyu	Penguin Books
6756	Harrison, Colin 1960-	Harrison, Colin				Harrison, Colin, 1960-	n88177727	39476338	Q1108495	1996	mdp.39015038181163	ic	Manhattan nocturne : a novel / Colin Harrison.	Crown Publishers, c1996.	['0517584921']	0517584921	['96209713']	['34799099']	544611	90	1005	1675	nyu	Crown Publishers
6757	Hollo, Anselm.	Hollo, Anselm	VoznesenskiÄ­, AndreÄ­ 1933-2010	Kirsanov, Semen 1906-1972	Yevtushenko, Yevgeny Aleksandrovich 1933-	Hollo, Anselm	n79059776	2485795	Q252476	1962	uc1.32106008328277	und	Red cats : English versions / by Anselm Hollo.	City Lights Books, c1962.	[]		['62006338']	['220627']	5377912845	12	246	3119	cau	City Lights Books
6758	Hughes, David 1930-2005	Hughes, David				Hughes, David, 1930-2005	n50033182	12460020	Q1174793	1996	mdp.39015038123736	ic	The little book / David Hughes.	Hutchinson, 1996.	['0091791944 :']	0091791944	['gb 96009092']	['34357669']	374021802	2	128	3201	enk	Hutchinson
6759	Wideman, John Edgar.	Wideman, John Edgar				Wideman, John Edgar	n82231445	110405033	Q688739	1996	mdp.39015038022524	ic	The cattle killing / John Edgar Wideman.	Houghton Mifflin, 1996.	['0395785901']	0395785901	['96019305']	['34564951']	20968608	11	915	4368	mau	Houghton Mifflin
6760	Glancy, Diane.	Glancy, Diane				Glancy, Diane	n85814699	93980865	Q5271470	1996	mdp.39015038016047	ic	Pushing the bear : a novel of the Trail of Tears / Diane Glancy.	Harcourt Brace, c1996.	['0151002258']	0151002258	['95051020']	['33863009']	595959	11	1123	1837	nyu	Harcourt Brace
6761	Vogelsang, Arthur.	Vogelsang, Arthur				Vogelsang, Arthur	n82069160	276437401	Q23901559	1996	mdp.39015037797324	ic	Cities and towns : poems / by Arthur Vogelsang.	University of Massachusetts Press, c1996.	['1558490213 (pbk. : alk. paper)']	1558490213	['95025859']	['33335693']	34076900	12	177	552	mau	University of Massachusetts Press
6762	McCracken, Elizabeth.	McCracken, Elizabeth				McCracken, Elizabeth	n92111648	17365134	Q5363184	1996	mdp.39015037754697	ic	The giant's house : a romance / Elizabeth McCracken.	Dial Press, 1996.	['0385314337 (HC)']	0385314337	['95052433']	['33948431']	20321252	142	1890	2016	nyu	Dial Press
6763	Crow, Mary.	Crow, Mary				Crow, Mary	n82018712	241320723	Q13563243	1996	mdp.39015037761916	ic	I have tasted the apple : poems / by Mary Crow.	BOA Editions, 1996.	['1880238322,1880238330 (pbk.)']	1880238330	['95083235']	['34749488']	41127134	13	124	4350	nyu	BOA Editions
6764	Conoley, Gillian 1955-	Conoley, Gillian				Conoley, Gillian, 1955-	n84029526	38308869	Q5562218	1996	mdp.39015037758524	ic	Beckon : poems / by Gillian Conoley.	Carnegie Mellon University Press, 1996.	['088748218X']	088748218X	['95067965']	['34670789']	222175428	2	111	3207	pau	Carnegie Mellon University Press
6765	Schwartz, Lynne Sharon.	Schwartz, Lynne Sharon				Schwartz, Lynne Sharon	n80017432	49379687	Q1878899	1996	mdp.39015035739153	ic	Ruined by reading : a life in books / Lynne Sharon Schwartz.	Beacon Press, c1996.	['0807070823']	0807070823	['95043482']	['33360130']	1004847	493	770	3674	mau	Beacon Press
6766	Wright, Charles 1935-	Wright, Charles				Wright, Charles, 1935-	n78095427	110426741	Q2960465	1995	mdp.39015037758698	ic	Quarter notes : improvisations and interviews / Charles Wright.	Unversity of Michigan Press, c1995.	['0472066048 (paperback : alk. paper),0472096044 (hardcover : alk. paper)']	0472096044	['95019281']	['32509283']	473772331	2	287	175	miu	Unversity of Michigan Press
6767	Engle, Paul 1908-	Engle, Paul				Engle, Paul, 1908-1991	n79084424	111240117	Q7150503	1996	mdp.39015037456525	ic	A lucky American childhood / by Paul Engle ; foreword by Albert E. Stone.	University of Iowa Press, c1996.	['0877455406 (alk. paper)']	1587290596	['95025871']	['33361422']	9415862722	1804	305	3083	iau	University of Iowa Press
6768	Santos, Bienvenido N.	Santos, Bienvenido N.				Santos, Bienvenido N.	n79021625	8656216	Q4904598	9999	uc1.b4412325	ic	Letters / Bienvenido N. Santos.	Anvil, c1995-	['9789712704574 (v. 1)', '9712704572 (v. 1)']	9712704572	['96946091']	['36649286']	372819279	3	22	3622	ph	Anvil
6769	Unsworth, Barry 1930-2012	Unsworth, Barry				Unsworth, Barry, 1930-2012	n82157881	54168450	Q715796	1995	mdp.39015037453761	ic	Morality play / Barry Unsworth.	H.Hamilton ; Penguin, c1995.	['0241133416 :']	0385479530	['gb 96008137']	['33352176']	900396	120	1654	3620	enk	H.Hamilton ;
6770	Drexler, Rosalyn.	Drexler, Rosalyn				Drexler, Rosalyn	n78095567	33183965	Q7367281	1996	mdp.39015037431577	ic	Art does (not!) exist / by Rosalyn Drexler.	FC2, c1996.	['0932511988']	0932511988	[]	['34535724']	40156122	2	115	3688	ilu	FC2
6771	Dobyns, Stephen 1941-	Dobyns, Stephen				Dobyns, Stephen, 1941-	n50027452	85546337	Q7609076	1996	mdp.39015037431510	ic	Common carnage / Stephen Dobyns.	Penguin Poets, 1996.	['0140587489 (pbk.)']	0140587489	['95030214']	['32737722']	37092262	13	299	287	nyu	Penguin Poets
6772	Daitch, Susan.	Daitch, Susan				Daitch, Susan	n86010564	86128246	Q7647730	1996	mdp.39015037412783	ic	Storytown : stories / by Susan Daitch.	Dalkey Archive Press, 1996.	['1564780945 (alk. paper)']	1564780945	['95026578 //r96']	['33863609']	474992815	12	245	3696	ilu	Dalkey Archive Press
6773	Notley, Alice 1945-	Notley, Alice				Notley, Alice, 1945-	n81121670	34733545	Q4726035	1996	mdp.39015037350892	ic	The descent of Alette / Alice Notley.	Penguin Poets, 1996.	['0140587640 (pbk.)']	0140587640	['95032698']	['32890710']	38151715	35	264	538	nyu	Penguin Poets
6774	Dubus, Andre 1936-1999	Dubus, Andre				Dubus, Andre, 1936-1999	n79134894	110787061	Q493118	1996	mdp.39015037330134	ic	Dancing after hours : stories / by Andre Dubus.	A.A. Knopf, 1996.	['0679431071 (alk. paper)']	0679431071	['95032032']	['32924469']	197228679	78	1214	3855	nyu	A.A. Knopf
6775	Hansen, Ron 1947-	Hansen, Ron				Hansen, Ron, 1947-	n78045940	75895	Q3441396	1996	mdp.39015037313114	ic	Atticus : a novel / Ron Hansen.	HarperCollins Publishers, 1996.	['0060182172']	0060182172	['95038450']	['33047080']	375739341	24	1447	776	nyu	HarperCollins Publishers
6776	Irving, John 1942-	Irving, John				Irving, John, 1942-	n79135330	108238891	Q310379	1996	mdp.39015033964993	ic	Trying to save Piggy Sneed / John Irving.	Arcade Pub., c1996.	['1559703237']	1559703237	['95017756']	['32466612']	335867	179	1858	86	nyu	Arcade Pub.
6777	Kittredge, William.	Kittredge, William				Kittredge, William	n77016661	93349615	Q3568766	1996	mdp.39015037261651	ic	Who owns the West? / by William Kittredge.	Mercury House, c1996.	['1562790781 (acid-free paper)']	1562790781	['95011058']	['32469475']	34449922	23	380	459	cau	Mercury House
6778	Merrill, Christopher.	Merrill, Christopher				Merrill, Christopher	n88054761	6476525	Q5112866	1995	mdp.39015038439561	ic	The old bridge : the third Balkan War and the age of the refugee / Christopher Merrill.	Milkweed Editions, 1995.	['1571312080 (alk. paper)']	1571312080	['95020061']	['32589126']	474504189	2	176	3630	mnu	Milkweed Editions
6779	Tiempo, Edilberto K.	Tiempo, Edilberto K.				Tiempo, Edilberto K.	n84226138	87607162	Q3550871	1995	mdp.39015034533771	ic	The paraplegics and five short stories / Edilberto K. Tiempo.	Giraffe Books, 1995.	['9718967192']	9718967192	[]	['36455693']	40384703	2	16	44	ph	Giraffe Books
6780	Foster, Patricia.	Foster, Patricia				Foster, Patricia	n79080054	304978350		1995	mdp.39015034539380	ic	Sister to sister : women write about the unbreakable bond / edited by Patricia Foster.	Doubleday, 1995.	['0385471289']	0385471289	['95010486']	['32241587']	55922389	38	490	3102	nyu	Doubleday
6781	Young, Dean 1955-	Young, Dean	Simic, Charles 1938-			Young, Dean, 1955-	n87939108	16302062	Q5246572	1995	mdp.39015034532096	ic	Strike anywhere : poems / by Dean Young ; selected by Charles Simic.	Center for Literary Pub., University Press of Colorado, c1995.	['0870814230']	0585027811	[]	['33868711']	2850367	472	162	3637	cou	Center for Literary Pub., University Press of Colorado
6782	Twichell, Chase 1950-	Twichell, Chase				Twichell, Chase, 1950-	n81017543	595149198244374940003	Q5087206	1995	mdp.39015034892201	ic	The ghost of Eden / Chase Twichell.	Ontario Review Press, 1995.	['086538083X (hard cover)']	086538083X	['95007912']	['32130695']	34370704	11	212	975	nju	Ontario Review Press
6783	Lashner, William.	Lashner, William				Lashner, William	n95071105	39487222	Q606154	1995	mdp.39015034892078	ic	Hostile witness : a novel / William Lashner.	ReganBooks, c1995.	['0060391464']	0060391464	['95005595 //r952']	['32013692']	196096693	119	1161	2085	nyu	ReganBooks
6784	Girardi, Robert.	Girardi, Robert				Girardi, Robert	n94112045	24744344	Q7344794	1995	mdp.39015034448806	ic	Madeleine's ghost / by Robert Girardi.	Delacorte Press, 1995.	['0385314825']	0385314825	['94042088']	['31606778']	27828031	55	759	1669	nyu	Delacorte Press
6785	Hemley, Robin 1958-	Hemley, Robin				Hemley, Robin, 1958-	n87871157	53216269	Q7352460	1995	mdp.39015034417025	ic	The big ear : stories / by Robin Hemley.	J.F. Blair, c1995.	['0895871289 (alk. paper)']	0895871289	['95005461']	['31971550']	476687735	2	125	1365	ncu	J.F. Blair
6786	Glancy, Diane.	Glancy, Diane				Glancy, Diane	n85814699	93980865	Q5271470	1995	mdp.39015034395304	ic	Monkey secret / Diane Glancy.	TriQuarterly Books, 1995.	['0810150166 (alk. paper)']	0810150166	['95001716 //r95']	['32013094']	33881100	3	224	1837	ilu	TriQuarterly Books
6787	Schwartz, Lynne Sharon.	Schwartz, Lynne Sharon				Schwartz, Lynne Sharon	n80017432	49379687	Q1878899	1995	mdp.39015034303688	ic	The fatigue artist : a novel / Lynne Sharon Schwartz.	Scribner, c1995.	['0684802473']	0684802473	['94048009 //r95']	['31753784']	33589913	26	525	3674	nyu	Scribner
6788	Johnson, Denis 1949-	Johnson, Denis				Johnson, Denis, 1949-2017	n81147004	51707360	Q340016	1995	pst.000048590945	ic	The throne of the third heaven of the nation's millennium general assembly : poems, collected and new / Denis Johnson.	HarperCollins, 1995.	['0060171804']	0060171804	['95003170']	['31901310']	196451664	25	288	786	nyu	HarperCollins
6789	Spencer, Scott.	Spencer, Scott				Spencer, Scott	n79055602	88181441	Q7437294	1995	mdp.39015031710612	ic	Men in black : a novel / by Scott Spencer.	A.A. Knopf, 1995.	['0679434526']	0679434526	['95002669 //r95']	['31970179']	293977299	65	517	87	nyu	A.A. Knopf
6790	Harrison, Kathryn.	Harrison, Kathryn				Harrison, Kathryn	n90649391	90726799	Q2917259	1995	mdp.39015034207046	ic	Poison / Kathryn Harrison.	Random House, c1995.	['0679431403']	0679431403	['94027636']	['30733621']	899393	58	793	3546	nyu	Random House
6791	Stern, Richard G. 1928-	Stern, Richard G.				Stern, Richard, 1928-2013	n80030782	64055711	Q3702414	1995	mdp.39015033982466	ic	A sistermony / by Richard Stern.	Donald I. Fine, c1995.	['1556114273 :']	1556114273	['94068096']	['32068157']	33999609	22	211	3194	nyu	Donald I. Fine
6792	Galvin, James.	Galvin, James				Galvin, James	n80083528	91815764	Q6134459	1995	mdp.39015033979983	ic	Lethal frequencies / James Galvin.	Copper Canyon Press, c1995.	['1556590695 :']	1556590695	['94031305']	['31044867']	33427079	3	203	1000	wau	Copper Canyon Press
6793	Bly, Robert.	Bly, Robert				Bly, Robert	n79054927	79847862	Q472507	1993	mdp.39015033984991	ic	Gratitude to old teachers : poems / by Robert Bly ; frontispiece by Robert Marx.	BOA Editions, 1993.	['1880238012 (wrappers),1880238004 (4 special bound),0188023801 (2 wrappers)']	0188023801	['94105363']	['28487669']	476575653	12	264	5	nyu	BOA Editions
6794	Covington, Dennis.	Covington, Dennis				Covington, Dennis	n90696122	93557671	Q5258306	1995	mdp.39015033330161	ic	Salvation on Sand Mountain : snake handling and redemption in southern Appalachia / Dennis Covington.	Addison-Wesley, c1995.	['0201622920 :']	0201622920	['94040335']	['31375816']	33392878	63	1645	763	mau	Addison-Wesley
6795	Bly, Robert	Bly, Robert				Bly, Robert	n79054927	79847862	Q472507	1994	uc1.32106011972137	ic	Meditations on the insatiable soul : poems / by Robert Bly	HarperPerennial, c1994	['0060950633 (pbk.) :', '006055357X (cloth) :']	006055357X	['93041009']	['29357596']	31219264	10	411	5	nyu	HarperPerennial
6796	Wolitzer, Hilma.	Wolitzer, Hilma				Wolitzer, Hilma	n50013816	52928077	Q5764256	1994	mdp.39015032191960	ic	Tunnel of love / Hilma Wolitzer.	HarperCollins Publishers, c1994.	['0061180076 :']	0061180076	['93051064']	['29635340']	31953865	125	554	3649	nyu	HarperCollins Publishers
6797	Patchett, Ann.	Patchett, Ann				Patchett, Ann	n91108359	54362733	Q433485	1994	mdp.39015017434922	ic	Taft / Ann Patchett.	Houghton Mifflin Co., 1994.	['0395694612']	0395694612	['94009500']	['30027610']	6998665	182	1133	1785	mau	Houghton Mifflin Co.
6798	Cooper, Jane 1924-2007	Cooper, Jane				Cooper, Jane, 1924-2007	n82087761	235768947	Q6151271	1994	mdp.39015017433551	ic	Green notebook, winter road / by Jane Cooper.	Tilbury House, 1994.	['0884481425 (pbk.) :,0884481417 (hard) :']	0884481417	['94004867']	['29952304']	116489537	11	186	3372	meu	Tilbury House
6799	Levine, Philip 1928-	Levine, Philip				Levine, Philip, 1928-2015	n78093573	110361442	Q531273	1994	mdp.39015032145974	ic	The simple truth : poems / by Philip Levine.	Alfred A. Knopf : Distributed by Random House, 1994.	['0679435808 :']	0679435808	['94014508']	['30110326']	9425912	107	1256	87	nyu	Alfred A. Knopf :
6800	Lauterbach, Ann 1942-	Lauterbach, Ann				Lauterbach, Ann, 1942-	n78090917	22164048	Q4766499	1994	mdp.39015032144662	ic	And, for example : poems / Ann Lauterbach.	Penguin Books, 1994.	['0140587152']	0670858838	['94005814']	['29952481']	31735372	12	210	4356	nyu	Penguin Books
6801	Packer, Ann 1959-	Packer, Ann				Packer, Ann, 1959-	n93082272	39617308	Q4766601	1994	mdp.39015031816039	ic	Mendocino and other stories / Ann Packer.	Chronicle Books, c1994.	['0811806294']	0811806294	['93036315']	['28798334']	1041856	81	314	1865	cau	Chronicle Books
6802	Madhubuti, Haki R. 1942-	Madhubuti, Haki R.				Madhubuti, Haki R., 1942-	n50046357	61540144	Q5640451	1994	mdp.39015032098306	ic	Claiming earth : race, rage, rape, redemption : Blacks seeking a culture of enlightened empowerment / Haki R. Madhubuti.	Third World Press, c1994.	['088378095X :']	088378095X	[]	['30954035']	32626767	3	278	1539	ilu	Third World Press
6803	Phillips, Jayne Anne 1952-	Phillips, Jayne Anne				Phillips, Jayne Anne, 1952-	n79033346	44274409	Q4353602	1994	mdp.39015032098058	ic	Shelter / Jayne Anne Phillips.	Houghton Mifflin/Seymour Lawrence, 1994.	['0395488907 :']	0395488907	['94008391 //r94']	['29952494']	31735660	50	1132	1109	mau	Houghton Mifflin/Seymour Lawrence
6804	Merrill, Christopher.	Merrill, Christopher	St. John, David 1949-			Merrill, Christopher	n88054761	6476525	Q5112866	1994	mdp.39015032104583	ic	Watch fire : poems / by Christopher Merrill ; with an introduction by David St. John.	White Pine Press, 1994.	['1877727431']	1877727431	[]	['31351492']	198242601	2	115	3630	nyu	White Pine Press
6805	Godwin, Gail.	Godwin, Gail				Godwin, Gail	n50033169	100267478	Q2908695	1994	mdp.39015032708094	ic	The good husband / Gail Godwin.	Ballantine Books, 1994.	['0345372433 :']	0345372433	['94005651 //r94']	['29877159']	6371680	29	1872	3459	nyu	Ballantine Books
6806	Irving, John 1942-	Irving, John				Irving, John, 1942-	n79135330	108238891	Q310379	1994	mdp.39015054056596	ic	A son of the circus / John Irving.	Random House, c1994.	['0679434968 :']	0679434968	['93044750']	['29566583']	614239	175	2896	86	nyu	Random House
6807	Delbanco, Nicholas.	Delbanco, Nicholas				Delbanco, Nicholas	n80040148	27082662	Q15451732	1968	uc1.b4422245	ic	Grasse, 3/23/66.	Lippincott, 1968 [c1967]	[]		['67020286']	['1282834']	2214936	11	155	3678	pau	Lippincott
6808	Lux, Thomas 1946-	Lux, Thomas				Lux, Thomas, 1946-2017	n79063797	4959112	Q7791985	1994	mdp.39015032572896	ic	Split horizon / Thomas Lux.	Houghton Mifflin, 1994.	['0395700973 (pbk.),0395700981 :']	0395700981	['93046333']	['29564781']	31375877	31	253	4359	mau	Houghton Mifflin
6809	Hampl, Patricia 1946-	Hampl, Patricia	Sorman, Steven			Hampl, Patricia, 1946-	n78008569	70180786	Q7145617	1987	mdp.39015032574769	ic	Spillville / text by Patricia Hampl ; engravings by Steven Sorman	Milkweed Editions, 1987	['9780915943180 (hard),0915943182 (hard),9780915943166 (lim. ed.),0915943166 (lim. ed.),9780915943173 (pbk.),0915943174 (pbk.)']	0915943174	['86060749']	['15901520']	10848648	12	379	518	mnu	Milkweed Editions
6810	Santos, Bienvenido N.	Santos, Bienvenido N.				Santos, Bienvenido N.	n79021625	8656216	Q4904598	1994	mdp.39015032411020	ic	Postcript to a saintly life / Bienvenido N. Santos.	Anvil Publishing Inc., 1994.	['9712703452']	9712703606	[]	['32274070']	34246482	2	23	3622	ph	Anvil Publishing Inc.
6811	Warren, Robert Penn 1905-1989	Warren, Robert Penn				Warren, Robert Penn, 1905-1989	n78091524	61553765	Q312720	1990	mdp.39015032496526	ic	All the king's men / Robert Penn Warren.	Harcourt Brace Jovanovich, [1990].	['0151047723 :']		['90036181 //r92']	['21600974']	27145785	260	10219	4365	cau	Harcourt Brace Jovanovich
6812	Cisneros, Sandra.	Cisneros, Sandra				Cisneros, Sandra	n84021632	112460612	Q434164	1994	mdp.39015032473418	ic	Loose woman : poems / by Sandra Cisneros.	Knopf : Distributed by Random House, 1994.	['0679416447 :']	0679416447	['93035937']	['28962852']	31065682	87	1361	1061	nyu	Knopf :
6813	Wittlinger, Ellen.	Wittlinger, Ellen				Wittlinger, Ellen, 1948-2022	n79051163	40276660	Q5365065	1993	mdp.39015032479142	ic	Lombardo's law / Ellen Wittlinger.	Houghton Mifflin, 1993.	['0395659698 :']	0395659698	['92028916 /AC']	['26504207']	28640719	2	500	3470	mau	Houghton Mifflin
6814	Carver, Raymond 1938-1988	Carver, Raymond				Carver, Raymond, 1938-1988	n80113040	88660538	Q219862	1993	mdp.39015051654468	ic	Short cuts : selected stories / by Raymond Carver.	Vintage Books, 1993.	['0679748644 :']	0679748644	['93019747']	['28067016']	5218418154	48	1134	3683	nyu	Vintage Books
6815	Miller, Leslie Adrienne.	Miller, Leslie Adrienne				Miller, Leslie Adrienne	no92018917	38943239	Q6530591	1994	uc1.b4451186	ic	Ungodliness : poems / by Leslie Adrienne Miller.	Carnegie Mellon University Press, 1994.	['0887481736 (pbk.)', '0887481728']	0887481728	['93073475']	['30431498']	55579045	2	139	1374	pau	Carnegie Mellon University Press
6816	Cheever, John.	Cheever, John	Hunt, George W. 1937-	Dennis, Franklin H.		Cheever, John	n78089819	2468135	Q336151	1994	uc1.32106011784912	ic	Thirteen uncollected stories by John Cheever / edited by Franklin H. Dennis ; introduction by George W. Hunt.	Academy Chicago Publishers, 1994.	['0897334051 :']	0897334051	['93049582']	['29598786']	138760790	12	745	3660	ilu	Academy Chicago Publishers
6817	Dobyns, Stephen 1941-	Dobyns, Stephen				Dobyns, Stephen, 1941-	n50027452	85546337	Q7609076	1994	mdp.39015031820791	ic	Velocities : new and selected poems, 1966-1992 / Stephen Dobyns.	Viking, 1994.	['0670830895 (hardcover),0140586512 (paperback) :']	0140586512	['93017969']	['28147185']	3901374179	12	441	287	nyu	Viking
6818	Kenney, Richard.	Kenney, Richard				Kenney, Richard	n83168086	77694612	Q7327047	1993	mdp.39015032936083	ic	The invention of the zero : poems / Richard Kenney.	A.A. Knopf, 1993.	['0679419918 :']	0679419918	['92054790']	['27073346']	346678	2	263	3099	nyu	A.A. Knopf
6819	Canin, Ethan.	Canin, Ethan				Canin, Ethan	n87840327	110589396	Q528593	1994	mdp.39015031775284	ic	The palace thief / Ethan Canin.	Random House, c1994.	['0679419624 :']	0679419624	['93026888']	['28506678']	1002734	55	1452	1508	nyu	Random House
6820	Bell, Marvin 1937-	Bell, Marvin				Bell, Marvin, 1937-	n50006519	12325040	Q6778291	1994	mdp.39015032897434	ic	A Marvin Bell reader : selected poetry and prose / Marvin Bell.	Middlebury College Press ; University Press of New England, c1994.	['0874516706 (pbk. : alk. paper),0874516692 (alk. paper)']	0874516692	['93043937']	['29388211']	1059132830	151	246	158	vtu	Middlebury College Press ;
6821	Grossman, Judith 1937-	Grossman, Judith				Grossman, Judith, 1937-	n86116150	48251747	Q6303435	1988	mdp.39015032898382	ic	Her own terms : a novel / Judith Grossman.	Soho Press, c1988.	['0939149117 :']	0939149117	['87012123 //r93']	['15793168']	365477155	20	391	3211	nyu	Soho Press
6822	Gardner, John 1933-1982	Gardner, John	O'Nan, Stewart 1961-			Gardner, John, 1933-1982	n79056152	2470610	Q1381985	1994	mdp.39015032879838	ic	On writers and writing / John Gardner ; introduction by Charles Johnson ; edited by Stewart O'Nan.	Addison-Wesley Pub. Co., c1994.	['0201626721 :']	0201626721	['93050798']	['29595662']	57576056	101	695	3286	mau	Addison-Wesley Pub. Co.
