The Index of Major Literary Prizes in the US – Post45 Data Collective,,,,,,,,,,,,,,,,
full_name,gender,mfa_degree,role,prize_year,prize_name,prize_amount,prize_institution,prize_type,prize_genre,author_wikidata,author_viaf,author_lccn,elite_institution,graduate_degree,stegner,title_of_winning_book
John Berryman,male,,winner,1965,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q522192,71421263,n79142591,Columbia University,,,77 Dream Songs
Louis Untermeyer,male,,judge,1965,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q1872015,39541598,n79054344,,,,77 Dream Songs
John Hersey,male,,winner,1945,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q535812,105148984,n79054652,Yale University,graduate,,A Bell For Adano
Maxwell Geismar,male,,judge,1945,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q6796102,32932096,n50018262,Columbia University,graduate,,A Bell For Adano
John Chamberlain,male,,judge,1945,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q6225652,3841537,n83021282,Yale University,,,A Bell For Adano
Orville Prescott,male,,judge,1945,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q7105248,237553275,n50028227,,,,A Bell For Adano
A. R. Gurney,male,Yale University,judge,2009,Rosenthal Family Foundation Award,"10,000.00  $",American Academy of Arts and Letters,book,prose,Q328627,84234746,n50020353,,graduate,,A Better Angel
Allan Gurganus,male,University of Iowa,judge,2009,Rosenthal Family Foundation Award,"10,000.00  $",American Academy of Arts and Letters,book,prose,Q1805285,49277673,n88141863,Stanford University,graduate,Stegner,A Better Angel
Philip Levine,male,University of Iowa,judge,2009,Rosenthal Family Foundation Award,"10,000.00  $",American Academy of Arts and Letters,book,prose,Q531273,110361442,n78093573,Stanford University,graduate,Stegner,A Better Angel
Chris Adrian,male,University of Iowa,winner,2009,Rosenthal Family Foundation Award,"10,000.00  $",American Academy of Arts and Letters,book,prose,Q1076930,23370866,n00032432,Harvard University,graduate,,A Better Angel
Kwame Anthony Appiah,male,,judge,2009,Rosenthal Family Foundation Award,"10,000.00  $",American Academy of Arts and Letters,book,prose,Q572741,24621538,n84222140,,graduate,,A Better Angel
Edmund White,male,,judge,2009,Rosenthal Family Foundation Award,"10,000.00  $",American Academy of Arts and Letters,book,prose,Q729117,102030733,n79082217,,,,A Better Angel
Joy Williams,female,University of Iowa,judge,2009,Rosenthal Family Foundation Award,"10,000.00  $",American Academy of Arts and Letters,book,prose,Q6297286,17855227,n81082937,,graduate,,A Better Angel
Rosanna Warren,female,Johns Hopkins University,judge,2009,Rosenthal Family Foundation Award,"10,000.00  $",American Academy of Arts and Letters,book,prose,Q7367344,64050468,n84089568,Yale University,graduate,,A Better Angel
Mary Gordon,female,,judge,2009,Rosenthal Family Foundation Award,"10,000.00  $",American Academy of Arts and Letters,book,prose,Q433994,110431409,n77012543,Barnard College,graduate,,A Better Angel
Joseph Skibell,male,"University of Texas, Austin",winner,1998,Rosenthal Family Foundation Award,"10,000.00  $",American Academy of Arts and Letters,book,prose,Q6287025,92881582,n97041368,,graduate,,A Blessing On The Moon
John Kennedy Toole,male,,winner,1981,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q313739,71398405,n79102341,Columbia University,graduate,,A Confederacy Of Dunces
Peter Prescott,male,,judge,1981,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q15544954,22448479,n50028228,Harvard University,,,A Confederacy Of Dunces
Jonathan Yardley,male,,judge,1981,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q15462185,69022113,n82269792,,,,A Confederacy Of Dunces
Joy Boyum,female,,judge,1981,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,,,,Barnard College,graduate,,A Confederacy Of Dunces
Isaac Bashevis Singer,male,,winner,1974,National Book Award,"10,000.00  $",National Book Foundation,book,prose,Q75612,95207392,n79066617,,,,A Crown Of Feathers And Other Stories
James Agee,male,,winner,1958,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q352963,46756190,n79039544,Harvard University,,,A Death In The Family
Robert Gorham Davis,male,,judge,1958,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q47681708,55390915,n50035626,Harvard University,,,A Death In The Family
John Hutch,male,,judge,1958,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,,,,,,,A Death In The Family
William Melvin Kelley,male,,winner,1963,Rosenthal Family Foundation Award,"10,000.00  $",American Academy of Arts and Letters,book,prose,Q8015558,49244542,n50048130,Harvard University,,,A Different Drummer
John Barkham,male,,judge,1963,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q39079032,238475212,n95065813,,,,A Fable
William Faulkner,male,,winner,1963,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q38392,39376770,n79003304,,,,A Fable
Irita Van Doren,female,,judge,1963,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q16004119,48495151,n96066126,Columbia University,graduate,,A Fable
Paul Engle,male,,judge,1955,National Book Award,"10,000.00  $",National Book Foundation,book,prose,Q7150503,111240117,n79084424,Columbia University,graduate,,A Fable
Robert Penn Warren,male,,judge,1955,National Book Award,"10,000.00  $",National Book Foundation,book,prose,Q312720,61553765,n78091524,,graduate,,A Fable
Wallace Stegner,male,,judge,1955,National Book Award,"10,000.00  $",National Book Foundation,book,prose,Q203460,110195864,n79021163,,graduate,,A Fable
Malcolm Cowley,male,,judge,1955,National Book Award,"10,000.00  $",National Book Foundation,book,prose,Q1458319,91308069,n79081720,Harvard University,,,A Fable
William Faulkner,male,,winner,1955,National Book Award,"10,000.00  $",National Book Foundation,book,prose,Q38392,39376770,n79003304,,,,A Fable
Elizabeth Janeway,female,,judge,1955,National Book Award,"10,000.00  $",National Book Foundation,book,prose,Q5363029,30005917,n80017805,Barnard College,,,A Fable
Frederick Exley,male,,winner,1969,Rosenthal Family Foundation Award,"10,000.00  $",American Academy of Arts and Letters,book,prose,Q124633,91412810,n84191712,,,,A Fan's Notes
Raquelsalas Rivera,nonbinary/he,,judge,2020,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,,,,University of Pennsylvania,graduate,,A Fortune For Your Disaster
Tim Seibles,male,Vermont College of Fine Arts,judge,2020,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q7804255,14616617,nr89012503,,graduate,,A Fortune For Your Disaster
Hanif Abdurraqib,male,,winner,2020,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q25936064,2.71555E+19,no2016118263,,,,A Fortune For Your Disaster
John Casey,male,University of Iowa,judge,1994,National Book Award,"10,000.00  $",National Book Foundation,book,prose,Q6225438,32033282,n84161567,Harvard University,graduate,,A Frolic Of His Own
Timothy Foote,male,,judge,1994,National Book Award,"10,000.00  $",National Book Foundation,book,prose,Q7807199,120779224,n79099394,Harvard University,,,A Frolic Of His Own
William Gaddis,male,,winner,1994,National Book Award,"10,000.00  $",National Book Foundation,book,prose,Q456958,109910493,n81043116,Harvard University,,,A Frolic Of His Own
Randall Kenan,male,,judge,1994,National Book Award,"10,000.00  $",National Book Foundation,book,prose,Q3930018,49355658,n87852434,,,,A Frolic Of His Own
Susanna Kaysen,female,,judge,1994,National Book Award,"10,000.00  $",National Book Foundation,book,prose,Q257723,88222694,n86109794,,,,A Frolic Of His Own
Amy Hempel,female,,judge,1994,National Book Award,"10,000.00  $",National Book Foundation,book,prose,Q481871,79156172,n84183486,,,,A Frolic Of His Own
Wilbur L. Cross,male,,judge,1937,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,,,,Yale University,graduate,,A Further Range
Bliss Perry,male,,judge,1937,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q4926866,76448095,n50009730,,graduate,,A Further Range
Leonard Bacon,male,,judge,1937,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q6525095,39750079,no96044132,Yale University,,,A Further Range
Robert Frost,male,,winner,1937,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q168728,32010055,n79005644,Harvard University,,,A Further Range
Joyce Carol Oates,female,,winner,1968,Rosenthal Family Foundation Award,"10,000.00  $",American Academy of Arts and Letters,book,prose,Q217557,46791148,n87851370,,graduate,,A Garden Of Earthly Delights
Michael Dahlie,male,Washington University in St. Louis,winner,2009,Hemingway Award for Debut Novel,"10,000.00  $",PEN America,book,prose,Q6829680,63404567,n2004097865,,graduate,,A Gentleman's Guide To Graceful Living
Richard Russo,male,University of Arizona,judge,2009,Hemingway Award for Debut Novel,"10,000.00  $",PEN America,book,prose,Q558430,49329265,n86089055,,graduate,,A Gentleman's Guide To Graceful Living
Stewart O'Nan,male,Cornell University,judge,2009,Hemingway Award for Debut Novel,"10,000.00  $",PEN America,book,prose,Q1585875,34557524,n87839494,Cornell University,graduate,,A Gentleman's Guide To Graceful Living
Anita Shreve,female,,judge,2009,Hemingway Award for Debut Novel,"10,000.00  $",PEN America,book,prose,Q460425,32082253,n84219960,,,,A Gentleman's Guide To Graceful Living
Charles Johnson,male,,judge,1993,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q1065092,4.09815E+21,n86836122,,graduate,,A Good Scent From A Strange Mountain
Robert Olen Butler,male,,winner,1993,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q503497,114008653,n82027123,,graduate,,A Good Scent From A Strange Mountain
Robert Olen Butler,male,,winner,1993,Rosenthal Family Foundation Award,"10,000.00  $",American Academy of Arts and Letters,book,prose,Q503497,114008653,n82027123,,graduate,,A Good Scent From A Strange Mountain
Richard Eder,male,,judge,1993,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q7325431,4.12215E+21,n97867058,Harvard University,,,A Good Scent From A Strange Mountain
Anne Tyler,female,,judge,1993,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q235615,39384885,n79100453,,,,A Good Scent From A Strange Mountain
Colson Whitehead,male,,judge,2015,Kirkus Prize,"50,000.00  $",Kirkus Review,book,prose,Q509662,69151887,n98027019,Harvard University,,,A Little Life
Megan Labrise,female,,judge,2015,Kirkus Prize,"50,000.00  $",Kirkus Review,book,prose,,,,,graduate,,A Little Life
Hanya Yanagihara,female,,winner,2015,Kirkus Prize,"50,000.00  $",Kirkus Review,book,prose,Q20902324,3.71466E+19,nb2001075052,,,,A Little Life
Nicole Magistro,female,,judge,2015,Kirkus Prize,"50,000.00  $",Kirkus Review,book,prose,,,,,,,A Little Life
Michael Lowenthal,male,,judge,2010,Hemingway Award for Debut Novel,"10,000.00  $",PEN America,book,prose,Q6832333,21375455,n94098045,Dartmouth College,,,A Long Long Time Ago And Essentially True
Brigid Pasulka,female,,winner,2010,Hemingway Award for Debut Novel,"10,000.00  $",PEN America,book,prose,Q4967855,,,Dartmouth College,graduate,,A Long Long Time Ago And Essentially True
Gail Tsukiyama,female,,judge,2010,Hemingway Award for Debut Novel,"10,000.00  $",PEN America,book,prose,Q5517172,79363825,n91049428,,graduate,,A Long Long Time Ago And Essentially True
Julia Glass,female,,judge,2010,Hemingway Award for Debut Novel,"10,000.00  $",PEN America,book,prose,Q6306433,120654826,n2001052456,Yale University,,,A Long Long Time Ago And Essentially True
Janna Levin,female,,winner,2007,Robert W. Bingham Prize for Debut Short Story Collection,"25,000.00  $",PEN America,book,prose,Q6155075,74111260,nb2001028833,Barnard College,graduate,,A Madman Dreams Of Turing Machines
Sergio De La Pava,male,,winner,2013,Robert W. Bingham Prize for Debut Short Story Collection,"25,000.00  $",PEN America,book,prose,Q16210893,172980519,no2011116075,,graduate,,A Naked Singularity
Donald Ray Pollock,male,,judge,2013,Robert W. Bingham Prize for Debut Short Story Collection,"25,000.00  $",PEN America,book,prose,Q1240267,53606234,n2007069632,,,,A Naked Singularity
Tom Drury,male,,judge,2013,Robert W. Bingham Prize for Debut Short Story Collection,"25,000.00  $",PEN America,book,prose,Q7815662,92004401,n93107058,,,,A Naked Singularity
Danielle Evans,female,University of Iowa,judge,2013,Robert W. Bingham Prize for Debut Short Story Collection,"25,000.00  $",PEN America,book,prose,,,,Columbia University,graduate,,A Naked Singularity
Davidl Ulin,male,,judge,2020,Hemingway Award for Debut Novel,"10,000.00  $",PEN America,book,prose,,,,University of Pennsylvania,,,A Prayer For Travelers
Terese Marie Mailhot,female,Institute of American Indian Arts,judge,2020,Hemingway Award for Debut Novel,"10,000.00  $",PEN America,book,prose,Q50379458,7.151E+18,n2017066267,,graduate,,A Prayer For Travelers
Ruchika Tomar,female,Columbia University,winner,2020,Hemingway Award for Debut Novel,"10,000.00  $",PEN America,book,prose,Q98510714,1.15414E+18,n2018062037,Columbia University,graduate,,A Prayer For Travelers
Ro Kwon,female,Brooklyn College,judge,2020,Hemingway Award for Debut Novel,"10,000.00  $",PEN America,book,prose,Q56641357,5.15336E+18,no2018100529,Yale University,graduate,,A Prayer For Travelers
Charlotte Bacon,female,Columbia University,winner,1998,Hemingway Award for Debut Novel,"10,000.00  $",PEN America,book,prose,Q27640974,63291549,n97044954,"Harvard University, Columbia University",graduate,,A Private State
Timothy Donnelly,male,Columbia University,judge,2020,Kingsley Tufts Poetry Award,"100,000.00  $",Claremont Graduate University,book,poetry,Q7807159,6752424,n2002041614,Columbia University,graduate,,A Sand Book
Luis Rodriguez,male,,judge,2020,Kingsley Tufts Poetry Award,"100,000.00  $",Claremont Graduate University,book,poetry,,,,,,,A Sand Book
Meghan O'Rourke,female,Warren Wilson College,judge,2020,Kingsley Tufts Poetry Award,"100,000.00  $",Claremont Graduate University,book,poetry,Q1175457,73188946,n99055666,Yale University,graduate,,A Sand Book
Sandy Solomon,female,Warren Wilson College,judge,2020,Kingsley Tufts Poetry Award,"100,000.00  $",Claremont Graduate University,book,poetry,Q15441970,53416557,n96054482,University of Chicago,graduate,,A Sand Book
Ariana Reines,female,,winner,2020,Kingsley Tufts Poetry Award,"100,000.00  $",Claremont Graduate University,book,prose,Q17516991,3.01449E+19,no2007027773,"Barnard College, Columbia University",graduate,,A Sand Book
Khadija Queen,female,,judge,2020,Kingsley Tufts Poetry Award,"100,000.00  $",Claremont Graduate University,book,poetry,,,,,graduate,,A Sand Book
Daniel Aaron,male,,judge,1995,Diamonstein-Spielvogel Award for the Art of the Essay,"15,000.00  $",PEN America,book,prose,,,,Harvard University,graduate,,"A Sense Of Place, A Sense Of Time"
John Brinckerhoff Jackson,male,,winner,1995,Diamonstein-Spielvogel Award for the Art of the Essay,"15,000.00  $",PEN America,book,prose,Q6104703,100295076,n83185732,Harvard University,,,"A Sense Of Place, A Sense Of Time"
Nora Sayre,female,,judge,1995,Diamonstein-Spielvogel Award For The Art Of The Essay,"15,000.00  $",PEN America,book,prose,Q7050151,21008770,n81094942,Radcliffe College,,,"A Sense Of Place, A Sense Of Time"
Ann Hulbert,female,,judge,1995,Diamonstein-Spielvogel Award for the Art of the Essay,"15,000.00  $",PEN America,book,prose,Q107426195,39445662,n91055276,,,,"A Sense Of Place, A Sense Of Time"
John Knowles,male,,winner,1961,Rosenthal Family Foundation Award,"10,000.00  $",American Academy of Arts and Letters,book,prose,Q983113,109382098,n50042387,Yale University,,,A Separate Peace
Frank McConnel,male,,judge,1987,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,,,,Yale University,graduate,,A Summons To Memphis
Peter Prescott,male,,judge,1987,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q15544954,22448479,n50028228,Harvard University,,,A Summons To Memphis
Peter Taylor,male,,winner,1987,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q979076,108819469,n50008415,,,,A Summons To Memphis
Alison Lurie,female,,judge,1987,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q272638,29537282,n79103776,Radcliffe College,,,A Summons To Memphis
James Alan McPherson,male,University of Iowa,judge,1992,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q355793,112082623,n86107938,Harvard University,graduate,,A Thousand Acres
Frank McConnel,male,,judge,1992,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,,,,Yale University,graduate,,A Thousand Acres
Gail Caldwell,female,"University of Texas, Austin",judge,1992,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q5517051,78184914,n2005029467,,graduate,,A Thousand Acres
Jane Smiley,female,University of Iowa,winner,1992,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q441067,19714915,n79143875,,graduate,,A Thousand Acres
Bernard Cooper,male,California Institute of the Arts,judge,2006,Hemingway Award for Debut Novel,"10,000.00  $",PEN America,book,prose,Q4893022,111282783,n88286719,,graduate,,A Thousand Years Of Good Prayers
Yiyun Li,female,University of Iowa,winner,2006,Hemingway Award for Debut Novel,"10,000.00  $",PEN America,book,prose,Q460088,66761360,n2004151571,,graduate,,A Thousand Years Of Good Prayers
Charlotte Bacon,female,Columbia University,judge,2006,Hemingway Award for Debut Novel,"10,000.00  $",PEN America,book,prose,Q27640974,63291549,n97044954,"Harvard University, Columbia University",graduate,,A Thousand Years Of Good Prayers
Rosellen Brown,female,,judge,2006,Hemingway Award for Debut Novel,"10,000.00  $",PEN America,book,prose,Q7368253,85487374,n50039607,Barnard College,,,A Thousand Years Of Good Prayers
David Kennedy,male,,judge,2011,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q1975383,104825600,,"Stanford University, Yale University",graduate,,A Visit From The Goon Squad
Nicholas Delblanco,male,,judge,2011,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,,,,"Harvard University, Columbia University",graduate,,A Visit From The Goon Squad
Alan Cheuse,male,,judge,2011,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q4706366,17273573,n83800485,,graduate,,A Visit From The Goon Squad
Elizabeth Taylor,female,,judge,2011,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q34851,24624716,n50009560,Yale University,graduate,,A Visit From The Goon Squad
Jennifer Egan,female,,winner,2011,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q264283,56717951,n94011864,University of Pennsylvania,graduate,,A Visit From The Goon Squad
John Ashbery,male,,winner,1985,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q29418,100001869,n79059269,"Harvard University, Columbia University",graduate,,A Wave
John Hollander,male,,judge,1985,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q3809343,109426764,n79069790,Columbia University,graduate,,A Wave
Dave Smith,male,,judge,1985,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q3017251,921291,n95095576,,graduate,,A Wave
Rika Lesser,female,,judge,1985,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q13582561,93666630,n78093090,"Yale University, Columbia University",graduate,,A Wave
Darcy O'Brien,male,,winner,1978,Hemingway Award for Debut Novel,"10,000.00  $",PEN America,book,prose,Q1165731,56656629,n50035338,Princeton University,graduate,,"A Way Of Life, Like Any Other"
Wilbur L. Cross,male,,judge,1943,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,,,,Yale University,graduate,,A Witness Tree
Bliss Perry,male,,judge,1943,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q4926866,76448095,n50009730,,graduate,,A Witness Tree
Robert Frost,male,,winner,1943,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q168728,32010055,n79005644,Harvard University,,,A Witness Tree
Louis Untermeyer,male,,judge,1943,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q1872015,39541598,n79054344,,,,A Witness Tree
Thomas Sherman,male,,judge,1960,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,,,,,,,Advise And Consent
Allen Drury,male,,winner,1960,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q733850,32794604,n79109295,Stanford University,,,Advise And Consent
John Hutch,male,,judge,1960,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,,,,,,,Advise And Consent
Garrard Conley,male,Brooklyn College,judge,2019,Diamonstein-Spielvogel Award For The Art Of The Essay,"15,000.00  $",PEN America,book,prose,Q57204353,316549535,n2015040269,,graduate,,"Against Memoir: Complaints, Confessions & Criticisms"
Paul Reyes,male,,judge,2019,Diamonstein-Spielvogel Award For The Art Of The Essay,"15,000.00  $",PEN America,book,prose,,,,,,,"Against Memoir: Complaints, Confessions & Criticisms"
Aisha Sabatini Sloan,female,University of Arizona,judge,2019,Diamonstein-Spielvogel Award For The Art Of The Essay,"15,000.00  $",PEN America,book,prose,Q45410109,,,,graduate,,"Against Memoir: Complaints, Confessions & Criticisms"
Michelle Tea,female,,winner,2019,Diamonstein-Spielvogel Award For The Art Of The Essay,"15,000.00  $",PEN America,book,prose,Q6837263,20913846,n00023660,,,,"Against Memoir: Complaints, Confessions & Criticisms"
Jefferson Fletcher,male,,judge,1922,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,,,,Harvard University,graduate,,Alice Adams
Booth Tarkington,male,,winner,1922,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q893138,54154708,n79078124,Princeton University,,,Alice Adams
Samuel Crothers,male,,judge,1922,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q7412138,66604792,n50057777,,,,Alice Adams
Stuart Sherman,male,,judge,1922,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q7627085,67408433,n50023078,,,,Alice Adams
Alan Williamson,male,,judge,1997,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q104493595,,,Harvard University,graduate,,Alive Together: New And Selected Poems
Rita Dove,female,University of Iowa,judge,1997,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q445740,39400140,n80111701,,graduate,,Alive Together: New And Selected Poems
Mary Karr,female,Goddard College,judge,1997,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q1598388,94096111,n85249942,,graduate,,Alive Together: New And Selected Poems
Lisel Mueller,female,,winner,1997,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q6558751,79075892,n79103777,,graduate,,Alive Together: New And Selected Poems
J. D. McClatchy,male,,judge,2009,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q915445,98044618,n77011314,Yale University,graduate,,All Of It Singing: New And Selected Poems
James Richardson,male,,judge,2009,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q6142078,109846678,n84014323,Princeton University,graduate,,All Of It Singing: New And Selected Poems
Linda Gregg,female,,winner,2009,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q6551614,94452115,n81079277,,graduate,,All Of It Singing: New And Selected Poems
Dorianne Laux,female,,judge,2009,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q5297809,164569864,n85274151,,,,All Of It Singing: New And Selected Poems
Maxwell Geismar,male,,judge,1947,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q6796102,32932096,n50018262,Columbia University,graduate,,All The King's Men
Robert Penn Warren,male,,winner,1947,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q312720,61553765,n78091524,,graduate,,All The King's Men
John Chamberlain,male,,judge,1947,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q6225652,3841537,n83021282,Yale University,,,All The King's Men
Orville Prescott,male,,judge,1947,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q7105248,237553275,n50028227,,,,All The King's Men
Anthony Doerr,male,Bowling Green State University,winner,2015,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q2754186,79550093,n2001038314,,graduate,,All The Light We Cannot See
Alan Cheuse,male,,judge,2015,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q4706366,17273573,n83800485,,graduate,,All The Light We Cannot See
David Haynes,male,,judge,2015,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q66686137,79463327,n94045167,,graduate,,All The Light We Cannot See
Elizabeth Taylor,female,,judge,2015,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q34851,24624716,n50009560,Yale University,graduate,,All The Light We Cannot See
Leonard Michaels,male,,judge,1992,National Book Award,"10,000.00  $",National Book Foundation,book,prose,Q3229679,98055813,n79148872,,graduate,,All The Pretty Horses
John Leonard,male,,judge,1992,National Book Award,"10,000.00  $",National Book Foundation,book,prose,Q6244591,117441217,n79026994,Harvard University,,,All The Pretty Horses
