,nea_person_id,full_name_lastfirst,full_name_firstlast,given_name_middle,family_name,nea_grant_year,other_nea_grant,country,us_state,hometown,birth_year,gender,race_ethnicity,ba,ba2,ma,ma2,phd,mfa,mfa2,post45_hathi_entry
26,1829,"McElroy, David",David McElroy,David,McElroy,1966,1976,USA,MT,Missoula,,male,uniden,University of Montana,,,,,,,
27,1884,"Merkley, Anne Hamilton",Anne Hamilton Merkley,Anne Hamilton,Merkley,1966,,USA,ID,Pocatello,,female,uniden,Idaho State University,,Idaho State University,Idaho State University,,Idaho State University,,
28,1900,"Miles, Josephine",Josephine Miles,Josephine,Miles,1966,1980,USA,CA,Berkeley,1911,female,uniden,University of California Los Angeles,,,,University of California Berkeley,,,
29,1972,"Moynahan, Julian",Julian Moynahan,Julian,Moynahan,1966,,USA,NJ,New Brunswick,1925,male,uniden,Princeton University,,,,,,,Yes
30,2035,"Nims, John Frederick",John Frederick Nims,John Frederick,Nims,1966,,USA,IL,Chicago,1913,male,uniden,DePaul University,,University of Notre Dame,,University of Chicago,,,
31,2091,"Omwake, John",John Omwake,John,Omwake,1966,,USA,PA,Chambersburg,,male,uniden,,,,,,,,
32,2211,"Popham, Melinda",Melinda Popham,Melinda,Popham,1966,,USA,KS,Shawnee Mission,1944,female,uniden,University of Chicago,,,Yale University,,Stanford University,,
33,2227,"Price, Reynolds",Reynolds Price,Reynolds,Price,1966,,USA,NC,Durham,1933,male,uniden,Duke University,,,,,,,Yes
34,2305,"Rice, Stanley",Stanley Rice,Stanley,Rice,1966,1972,USA,CA,San Francisco,1942,male,uniden,San Francisco State University,Texas State University,San Francisco State University,,,,,
35,2391,"Rukeyser, Muriel",Muriel Rukeyser,Muriel,Rukeyser,1966,,USA,NY,New York,1913,female,uniden / jewish,Vassar College,Columbia University,,,,,,Yes
36,2441,"Sawyer, Julia Randall",Julia Randall Sawyer,Julia Randall,Sawyer,1966,,USA,VA,Hollins College,1923,female,uniden,Bennington College,,Johns Hopkins University,,,,,
37,2501,"Shafer, Anders",Anders Shafer,Anders,Shafer,1966,,USA,MN,St. Paul,1943,male,uniden,University of Iowa,,,,,University of Cincinnati,,
38,2564,"Simckes, Lazarre Seymour",Lazarre Seymour Simckes,Lazarre Seymour,Simckes,1966,1980,USA,CT,New Haven,1937,male,uniden / jewish,Harvard University,,,,Harvard University,Stanford University,,
39,2571,"Simpson, Louis",Louis Simpson,Louis,Simpson,1966,,USA,CA,Berkeley,1923,male,mixedrace,Columbia University,,Columbia University,,Columbia University,,,Yes
40,2622,"Snodgrass, W.D.",W.D. Snodgrass,W.D.,Snodgrass,1966,,USA,MI,Detroit,1926,male,uniden,University of Iowa,,University of Iowa,,,,,
41,2697,"Stern, Richard",Richard Stern,Richard,Stern,1966,,USA,IL,Chicago,1928,male,uniden,University of North Carolina Chapel Hill,,Harvard University,,University of Iowa,University of Iowa,,
42,2737,"Swados, Harvey",Harvey Swados,Harvey,Swados,1966,,USA,NY,New York,1920,male,white / jewish,University of Michigan Ann Arbor,,,,,,,Yes
43,2764,"Taylor, Michael",Michael Taylor,Michael,Taylor,1966,,USA,NH,Hanover,,male,uniden,,,,,,,,
44,2781,"Teter, George",George Teter,George,Teter,1966,,USA,WI,Milwaukee,,male,uniden,Harvard University,,Yale University,,,,,
45,2955,"Weiss, Theodore",Theodore Weiss,Theodore,Weiss,1966,,USA,NY,Annandale-on-Hudson,1916,male,uniden,Muhlenberg College,,Columbia University,,,,,
46,3046,"Worman, Martin",Martin Worman,Martin,Worman,1966,,USA,NJ,Paterson,1945,male,uniden,Rutgers University,,Long Island University,,New York University,,,
47,267,"Bolton, Isabel",Isabel Bolton,Isabel,Bolton,1967,,USA,NY,No city listed,1883,female,uniden,,,,,,,,Yes
48,284,"Bowers, Faubion",Faubion Bowers,Faubion,Bowers,1967,,USA,NY,No city listed,1917,male,uniden,Columbia University,,,,,Juilliard School,,
49,437,"Carruth, Hayden",Hayden Carruth,Hayden,Carruth,1967,"1969, 1975, 1988",USA,NY,Munnsville,1921,male,uniden,University of North Carolina Chapel Hill,,University of Chicago,,,,,Yes
50,768,"Duncan, Robert",Robert Duncan,Robert,Duncan,1967,1980,USA,CA,San Francisco,1919,male,uniden,University of California Berkeley,,,,,,,
51,939,"Gaddis, William",William Gaddis,William,Gaddis,1967,1974,USA,NY,Piermont,1922,male,uniden,Harvard University,,,,,,,Yes
52,1027,"Gold, Ivan",Ivan Gold,Ivan,Gold,1967,,USA,NY,No city listed,1932,male,uniden,Columbia University,,,,,,,Yes
53,1043,"Gordon, Caroline",Caroline Gordon,Caroline,Gordon,1967,,USA,NJ,No city listed,1895,female,uniden,Bethany College,,,,,,,Yes
54,1551,"Kumin, Maxine",Maxine Kumin,Maxine,Kumin,1967,,USA,MA,No city listed,1925,female,uniden / jewish,Radcliffe College,,Radcliffe College,,,,,Yes
55,1581,"Larner, Jeremy",Jeremy Larner,Jeremy,Larner,1967,,USA,NY,No city listed,1937,male,white,Brandeis University,,,,,,,Yes
56,1738,"Markfield, Wallace",Wallace Markfield,Wallace,Markfield,1967,,USA,NY,No city listed,1926,male,uniden / jewish,Brooklyn College,,New York University,,,,,Yes
57,2085,"Olsen, Tillie",Tillie Olsen,Tillie,Olsen,1967,,USA,CA,No city listed,1913,female,uniden / russianam / jewish,,,,,,Stanford University,,Yes
58,2121,"Paley, Grace",Grace Paley,Grace,Paley,1967,1987,USA,NY,New York,1922,female,uniden / russianam / jewish,,,,,,,,Yes
59,2139,"Patchen, Kenneth",Kenneth Patchen,Kenneth,Patchen,1967,,USA,CA,No city listed,1911,male,uniden,University of Wisconsin Madison,,,,,,,Yes
60,2147,"Pearson, Harry",Harry Pearson,Harry,Pearson,1967,,USA,NC,No city listed,,male,uniden,,,,,,,,
61,2169,"Peterson, Robert",Robert Peterson,Robert,Peterson,1967,,USA,CA,No city listed,1924,male,uniden,University of California Berkeley,,San Francisco State University,,,,,Yes
62,2242,"Quinn, Sister M. Bernadetta",Sister M. Bernadetta Quinn,Sister M. Bernadetta,Quinn,1967,,USA,MN,No city listed,,female,uniden,,,,,,,,
63,2411,"Salomon, I.L.",I.L. Salomon,I.L.,Salomon,1967,,USA,NY,No city listed,1899,male,uniden / italianam,City University of New York City College of New York,,City University of New York City College of New York,,,,,
64,2434,"Sarton, May",May Sarton,May,Sarton,1967,,USA,NH,No city listed,1912,female,uniden,,,,,,,,Yes
65,2477,"Seager, Allan",Allan Seager,Allan,Seager,1967,,USA,MI,No city listed,1906,male,uniden,University of Michigan Ann Arbor,,University of Oxford,,,,,Yes
66,2489,"Seide, Michael",Michael Seide,Michael,Seide,1967,,USA,NY,No city listed,,male,uniden,,,,,,,,Yes
67,2574,"Singer, Isaac Bashevis",Isaac Bashevis Singer,Isaac Bashevis,Singer,1967,,USA,NY,New York,1902,male,uniden / polisham / jewish,,,,,,,,Yes
68,2849,"Van Duyn, Mona",Mona Van Duyn,Mona,Van Duyn,1967,1985,USA,MO,St. Louis,1921,female,uniden,Iowa State Teachers College,,University of Iowa,,University of Iowa,,,
69,3066,"Yates, Richard",Richard Yates,Richard,Yates,1967,"1983, 1984",USA,MA,Boston,1926,male,uniden,,,,,,,,Yes
70,4,"Abbott, Louise",Louise Abbott,Louise,Abbott,1968,,USA,GA,Louisville,,female,uniden,,,,,,,,
71,17,"Adams, Dock",Dock Adams,Dock,Adams,1968,,USA,MO,Charleston,,male,uniden,,,,,,,,
72,97,"Athas, Daphne",Daphne Athas,Daphne,Athas,1968,"1974, 1979",USA,NC,Chapel Hill,1923,female,uniden,University of North Carolina Chapel Hill,,Harvard University,,,,,Yes
73,158,"Baumbach, Jonathan",Jonathan Baumbach,Jonathan,Baumbach,1968,,USA,NY,Brooklyn,1933,male,uniden / jewish,Brooklyn College,,,,Stanford University,Columbia University,,Yes
74,221,"Berryman, John",John Berryman,John,Berryman,1968,,USA,MN,Minneapolis,1914,male,uniden,Columbia University,,University of Cambridge,,,,,Yes
75,240,"Bissell, Trim",Trim Bissell,Trim,Bissell,1968,,USA,MI,Detroit,1942,male,uniden,University of Michigan Ann Arbor,,,,,Syracuse University,,
76,260,"Bogan, Louise",Louise Bogan,Louise,Bogan,1968,,USA,NY,New York,1897,female,uniden,Boston University,Radcliffe College,,,,,,
77,290,"Boys, Barry",Barry Boys,Barry,Boys,1968,,USA,NY,New York,,male,uniden,,,,,,,,
78,311,"Brenner, Jack",Jack Brenner,Jack,Brenner,1968,,USA,WA,Seattle,1932,male,uniden,University of Colorado Boulder,,,,University of New Mexico,,,
79,410,"Calisher, Hortense",Hortense Calisher,Hortense,Calisher,1968,1989,USA,NY,New York,1911,female,uniden / jewish,Barnard College,,,,,,,Yes
80,457,"Cattonar, Joann",Joann Cattonar,Joann,Cattonar,1968,,USA,MI,Kalamazoo,,female,uniden / italianam,Vassar College,,,,,,,
81,556,"Conroy, Frank",Frank Conroy,Frank,Conroy,1968,1969,USA,NY,Brooklyn,1936,male,uniden,Haverford College,,,,,,,Yes
82,576,"Cornish, Sam",Sam Cornish,Sam,Cornish,1968,,USA,MA,Cambridge,1935,male,afam,Northwestern University,,,,,,,
83,592,"Cowley, Malcolm",Malcolm Cowley,Malcolm,Cowley,1968,,USA,CT,Milford,1898,male,uniden,Harvard University,,,,,,,
84,623,"Cutler, Janet",Janet Cutler,Janet,Cutler,1968,,USA,AL,Roanoke,,female,uniden,,,,,,,,
85,678,"Deemer, Bill",Bill Deemer,Bill,Deemer,1968,,USA,OR,Eugene,1945,male,uniden,,,,,,,,
86,750,"Dressler, Joel",Joel Dressler,Joel,Dressler,1968,,USA,MI,Detroit,,male,uniden,,,,,,,,
87,787,"Edyvean, William",William Edyvean,William,Edyvean,1968,,USA,CO,Fort Collins,1943,male,uniden,Colorado State University,,Colorado State University,,,,,
88,866,"Fields, Julia",Julia Fields,Julia,Fields,1968,,USA,NC,Scotland Neck,1938,female,afam,Knoxville College,,,,,,,
89,942,"Gaines, Ernest J.",Ernest J. Gaines,Ernest J.,Gaines,1968,,USA,CA,San Francisco,1933,male,afam,San Francisco State University,,,,,Stanford University,,
90,961,"Gardner, Leonard",Leonard Gardner,Leonard,Gardner,1968,,USA,CA,San Francisco,1933,male,uniden,San Francisco State University,,,,,,,Yes
91,1064,"Gray, Gayle",Gayle Gray,Gayle,Gray,1968,,USA,CA,Los Angeles,,female,uniden,,,,,,,,
92,1118,"Haines, John",John Haines,John,Haines,1968,,USA,AK,Fairbanks,1924,male,uniden,American University,,,,,,,
93,1166,"Harrison, James",James Harrison,James,Harrison,1968,,USA,NY,Stony Brook,1937,male,uniden,Michigan State University,,Michigan State University,,,,,
94,1307,"Hunt, William",William Hunt,William,Hunt,1968,,USA,IL,Chicago,,male,uniden,,,,,,,,
95,1513,"Knight, Hillery",Hillery Knight,Hillery,Knight,1968,,USA,IL,Chicago,,male,afam,Tougaloo College,,,,,,,
96,1590,"Lawder, Douglas",Douglas Lawder,Douglas,Lawder,1968,,USA,IN,Richmond,1934,male,uniden,Kenyon College,,,,,University of Oregon,,
97,1652,"Lipsitz, Lewis",Lewis Lipsitz,Lewis,Lipsitz,1968,,USA,NC,Chapel Hill,1938,male,uniden / jewish,University of Chicago,,Yale University,,Yale University,,,
98,1714,"Malko, George",George Malko,George,Malko,1968,,USA,NY,New York,1935,male,uniden / russianam,Haverford College,,,,,,,
99,1715,"Malone, Henry",Henry Malone,Henry,Malone,1968,,USA,MI,Detroit,,male,uniden,,,,,,,,
100,1731,"Marcus, Adrianne",Adrianne Marcus,Adrianne,Marcus,1968,,USA,CA,San Rafael,1935,female,uniden / lithuanianam / jewish,San Francisco State University,,,,,San Francisco State University,,Yes
101,1748,"Marshall, Paule",Paule Marshall,Paule,Marshall,1968,1978,USA,NY,New York,1929,female,afam / caribam,Brooklyn College,,,,,,,Yes
102,1895,"Meyers, Lucas",Lucas Meyers,Lucas,Meyers,1968,,USA,TN,Sewanee,1930,male,uniden,University of Cambridge,,University of Cambridge,,,,,
103,1899,"Midwood, Barton",Barton Midwood,Barton,Midwood,1968,,USA,FL,Coral Gables,1938,male,uniden / jewish,University of Miami,,,,,,,Yes
104,1905,"Miller, Heather Ross",Heather Ross Miller,Heather Ross,Miller,1968,1973,USA,NC,Elizabethtown,1939,female,uniden,University of North Carolina Greensboro,,,,,University of North Carolina Greensboro,,Yes
105,1911,"Millward, Pamela",Pamela Millward,Pamela,Millward,1968,,USA,CA,San Francisco,,female,uniden,,,,,,,,Yes
106,1953,"Morgan, Robert",Robert Morgan,Robert,Morgan,1968,"1975, 1982, 1987",USA,NY,Freeville,1944,male,uniden,University of North Carolina Chapel Hill,,,,,University of North Carolina Greensboro,,Yes
107,2114,"Ozick, Cynthia",Cynthia Ozick,Cynthia,Ozick,1968,,USA,NY,New Rochelle,1928,female,uniden / jewish,New York University,,Ohio State University,,,,,Yes
108,2143,"Patterson, Lindsay",Lindsay Patterson,Lindsay,Patterson,1968,,USA,NY,New York,1934,male,afam,Virginia State University,,,,,,,
109,2205,"Polite, Carlene Hatcher",Carlene Hatcher Polite,Carlene Hatcher,Polite,1968,,USA,MI,Detroit,1932,female,afam,,,,,,,,Yes
110,2261,"Ransom, John Crowe",John Crowe Ransom,John Crowe,Ransom,1968,,USA,OH,Gambier,1888,male,uniden,Vanderbilt University,,University of Oxford,,,,,
111,2292,"Rella, Ettore",Ettore Rella,Ettore,Rella,1968,,USA,NY,New York,1907,male,uniden / italianam,Sapienza University of Rome,,,,,,,
112,2370,"Rosenberg, Jessie",Jessie Rosenberg,Jessie,Rosenberg,1968,,USA,LA,New Orleans,1941,female,uniden,University of North Carolina Greensboro,,,,,,,
113,2487,"Segal, Lore",Lore Segal,Lore,Segal,1968,"1982, 1987",USA,NY,New York,1928,female,uniden / jewish,Bedford College,,,,,,,
114,2570,"Simon, Mina Lewiton",Mina Lewiton Simon,Mina Lewiton,Simon,1968,,USA,NY,Stanfordville,1904,female,uniden,The New School,,,,,,,
115,2641,"Southern, David",David Southern,David,Southern,1968,,USA,NC,Chapel Hill,1946,male,uniden,University of North Carolina Chapel Hill,,,,,,,
116,2663,"Stacton, David",David Stacton,David,Stacton,1968,,USA,CA,Walnut Creek,1923,male,uniden,University of California Berkeley,,,,,,,Yes
117,2707,"Stone, Robert",Robert Stone,Robert,Stone,1968,1983,USA,CT,Westport,1937,male,uniden,New York University,,,,,Stanford University,,Yes
118,2708,"Strand, Mark",Mark Strand,Mark,Strand,1968,"1978, 1986",USA,UT,Salt Lake City,1934,male,uniden,Antioch University,Yale University,,,,University of Iowa,,Yes
119,2786,"Theroux, Alexander",Alexander Theroux,Alexander,Theroux,1968,1973,USA,VA,Farmville,1939,male,uniden,St Francis College,,University of Virginia,,University of Virginia,,,Yes
120,2829,"Triem, Eve",Eve Triem,Eve,Triem,1968,,USA,WA,Seattle,1902,female,uniden,University of California Berkeley,,,,,,,
121,2841,"Ulewicz, Laura",Laura Ulewicz,Laura,Ulewicz,1968,,USA,CA,San Francisco,1930,female,white / polisham,,,,,,,,
122,3023,"Winslow, Peter",Peter Winslow,Peter,Winslow,1968,,USA,CA,San Francisco,1938,male,uniden,University of Washington,University of Washington,,,,,,
123,3024,"Winters, Yvor",Yvor Winters,Yvor,Winters,1968,,USA,CA,Palo Alto,1900,male,uniden,University of Colorado Boulder,,University of Colorado Boulder,,Stanford University,,,
124,3056,"Wright, Jay",Jay Wright,Jay,Wright,1968,,USA,NY,New York,1934,male,afam,University of California Berkeley,,Rutgers University,,,,,
125,32,"Aldan, Daisy",Daisy Aldan,Daisy,Aldan,1969,,USA,NY,New York,1918,female,uniden,City University of New York Hunter College,,Brooklyn College,,,,,Yes
126,61,"Anderson, Jack",Jack Anderson,Jack,Anderson,1969,1973,USA,NY,New York,1935,male,white,Northwestern University,,,,,Indiana University,,Yes
127,94,"Ashbery, John",John Ashbery,John,Ashbery,1969,,USA,NY,New York,1927,male,uniden,Harvard University,,Columbia University,,,,,Yes
128,222,"Bersani, Leo",Leo Bersani,Leo,Bersani,1969,,USA,NJ,New Brunswick,1931,male,uniden / italianam,Harvard University,,,,Harvard University,,,
129,304,"Brautigan, Richard",Richard Brautigan,Richard,Brautigan,1969,,USA,CA,San Francisco,1935,male,white,,,,,,,,Yes
130,337,"Brower, Brock",Brock Brower,Brock,Brower,1969,,USA,NJ,Princeton,1931,male,uniden,Dartmouth College,,University of Oxford,,,,,Yes
131,380,"Burke, Kenneth",Kenneth Burke,Kenneth,Burke,1969,,USA,NJ,Andover,1897,male,uniden,Ohio State University,,,,,,,Yes
132,437,"Carruth, Hayden",Hayden Carruth,Hayden,Carruth,1969,"1967, 1975, 1988",USA,NY,Munnsville,1921,male,uniden,University of North Carolina Chapel Hill,,University of Chicago,,,,,Yes
133,510,"Clark, Tom",Tom Clark,Tom,Clark,1969,1985,USA,CA,Berkeley,1941,male,uniden,University of Michigan Ann Arbor,,University of Cambridge,,,,,Yes
134,556,"Conroy, Frank",Frank Conroy,Frank,Conroy,1969,1968,USA,NY,Brooklyn,1936,male,uniden,Haverford College,,,,,,,Yes
135,602,"Crews, Frederick",Frederick Crews,Frederick,Crews,1969,,USA,CA,Berkeley,1933,male,uniden,Yale University,,,,Princeton University,,,
136,736,"Dorn, Edward",Edward Dorn,Edward,Dorn,1969,,USA,MA,West Newbury,1929,male,uniden,Black Mountain College,,,,,,,Yes
137,854,"Felstiner, John",John Felstiner,John,Felstiner,1969,,USA,CA,Woodside,1936,male,uniden / jewish,Harvard University,,,,Harvard University,,,
138,914,"Frank, Joseph",Joseph Frank,Joseph,Frank,1969,,USA,NJ,Princeton,1918,male,uniden,New York University,,,,University of Chicago,,,
139,1164,"Harris, Phyllis Masek",Phyllis Masek Harris,Phyllis Masek,Harris,1969,,USA,CA,Berkeley,,female,uniden,Loretto Heights College,,,,,,,
140,1168,"Harrison, Jim",Jim Harrison,Jim,Harrison,1969,,USA,NY,Stony Brook,1937,male,uniden,Michigan State University,,Michigan State University,,,,,Yes
141,1192,"Hazel, Robert",Robert Hazel,Robert,Hazel,1969,,USA,NC,Laurel Spring,1921,male,white,George Washington University,,,,,Johns Hopkins University,,Yes
142,1227,"Hickman, Leland",Leland Hickman,Leland,Hickman,1969,,USA,NY,New York,1934,male,uniden,Santa Barbara City College,,,,,,,
143,1400,"Junkins, Donald",Donald Junkins,Donald,Junkins,1969,"1974, 1979",USA,MA,Deerfield,1931,male,uniden,University of Massachusetts Amherst,,Boston University,Boston University,Boston University,,,
144,1516,"Knott, William",William Knott,William,Knott,1969,"1979, 1985",USA,IA,Iowa City,1940,male,uniden,,,,,,Norwich University,,
145,1560,"Kyger, Joanne",Joanne Kyger,Joanne,Kyger,1969,,USA,CA,San Francisco,1934,female,uniden,,,,,,,,
146,1587,"Lautner, Lois",Lois Lautner,Lois,Lautner,1969,,USA,NY,New York,,female,uniden,,,,,,,,
147,1618,"Levertov, Denise",Denise Levertov,Denise,Levertov,1969,1990,USA,WA,Seattle,1923,female,uniden / jewish,,,,,,,,
148,1654,"Litwak, Leo",Leo Litwak,Leo,Litwak,1969,1980,USA,CA,San Francisco,1924,male,uniden / jewish,Wayne State University,,,,,,,Yes
149,1708,"Maddow, Ben",Ben Maddow,Ben,Maddow,1969,,USA,CA,Los Angeles,1909,male,uniden / jewish,Columbia University,,,,,,,Yes
150,1789,"McAfee, Thomas",Thomas McAfee,Thomas,McAfee,1969,1976,USA,MO,Columbia,1928,male,uniden,University of Missouri,,University of Missouri,,,,,Yes
151,1810,"McConkey, James",James McConkey,James,McConkey,1969,,USA,NY,Trumansburg,1921,male,uniden,Case Western Reserve University,,Case Western Reserve University,,University of Iowa,University of Iowa,,Yes
152,1811,"McConnell, Frank D.",Frank D. McConnell,Frank D.,McConnell,1969,,USA,NY,Ithaca,1942,male,uniden,University of Notre Dame,,Yale University,,Yale University,,,
153,1866,"Mednick, Murray",Murray Mednick,Murray,Mednick,1969,,USA,NY,Brooklyn,1939,male,uniden / jewish,Brooklyn College,,,,,,,
154,1887,"Merwin, W. S.",W. S. Merwin,W. S.,Merwin,1969,1977,USA,NY,New York,1927,male,uniden,Princeton University,,,,,,,
155,1904,"Miller, Brown",Brown Miller,Brown,Miller,1969,,USA,CA,Daly City,,female,uniden,,,,,,,,
156,2066,"Oates, Joyce Carol",Joyce Carol Oates,Joyce Carol,Oates,1969,,Canada,,Windsor,1938,female,white,Syracuse University,,University of Wisconsin Madison,,,,,Yes
157,2087,"Olson, Charles",Charles Olson,Charles,Olson,1969,,USA,MA,Gloucester,1910,male,uniden,Wesleyan University,,Wesleyan University,,,,,Yes
158,2115,"Pack, Robert",Robert Pack,Robert,Pack,1969,,USA,VT,Middlebury,1929,male,uniden,Dartmouth College,,Columbia University,,,,,
159,2413,"Saltman, Benjamin",Benjamin Saltman,Benjamin,Saltman,1969,1987,USA,CA,Northridge,1927,male,uniden / jewish,University of Pittsburgh,,,,Claremont Graduate University,San Francisco State University,,
160,2433,"Saroyan, Aram",Aram Saroyan,Aram,Saroyan,1969,,USA,NY,New York,1943,male,uniden / armenianam / jewish,,,,,,,,Yes
161,2490,"Seidel, Frederick",Frederick Seidel,Frederick,Seidel,1969,,USA,NY,New York,1936,male,uniden / jewish,Harvard University,,,,,,,
162,2670,"Stanley, George",George Stanley,George,Stanley,1969,,USA,CA,San Francisco,1934,male,uniden / irisham,San Francisco State University,,,,,,,
163,2694,"Stepanchov, Stephen",Stephen Stepanchov,Stephen,Stepanchov,1969,,USA,NY,Flushing,1915,male,uniden / serbianam,University of Chicago,,University of Chicago,,New York University,,,
164,2758,"Tate, James",James Tate,James,Tate,1969,1979,USA,MA,Amherst,1943,male,uniden,Pittsburg State University,,,,,University of Iowa,,Yes
165,2831,"Trudell, Dennis",Dennis Trudell,Dennis,Trudell,1969,1976,USA,WI,Oregon,,male,uniden,Denison University,,University of Iowa,,,University of Iowa,,
166,2894,"Wakefield, Dan",Dan Wakefield,Dan,Wakefield,1969,,USA,CA,Venice,1932,male,uniden,Columbia University,,,,,,,
167,2895,"Wakoski, Diane",Diane Wakoski,Diane,Wakoski,1969,1973,USA,NY,New York,1937,female,uniden,University of California Berkeley,,,,,,,
168,2928,"Warren, Robert Penn",Robert Penn Warren,Robert Penn,Warren,1969,,USA,CT,Fairfield,1905,male,uniden,Vanderbilt University,University of Oxford,University of California Berkeley,Yale University,,,,Yes
169,2946,"Weeks, Ramona",Ramona Weeks,Ramona,Weeks,1969,1974,USA,AZ,Phoenix,1934,female,white,Texas Christian University,,,,,,,
170,2979,"Whittemore, Reed",Reed Whittemore,Reed,Whittemore,1969,,USA,MD,College Park,1919,male,uniden,Yale University,,,,,,,
171,2985,"Wieners, John",John Wieners,John,Wieners,1969,1986,USA,MA,Boston,1934,male,uniden,Boston College,,,,,,,
172,3109,"Zukofsky, Louis",Louis Zukofsky,Louis,Zukofsky,1969,,USA,NY,New York,1904,male,uniden / jewish,Columbia University,,Columbia University,,,,,Yes
173,316,"Brigham, Besmir",Besmir Brigham,Besmir,Brigham,1970,,USA,AR,Horatio,1913,female,uniden,Mary Hardin Baylor College,,,,,The New School,,
174,396,"Butler, Bill",Bill Butler,Bill,Butler,1970,,USA,MT,Missoula,1934,male,uniden,San Francisco Conservatory of Music,,,,,,,
175,431,"Carlile, Henry",Henry Carlile,Henry,Carlile,1970,1976,USA,OR,Portland,1934,male,white,University of Washington,,University of Washington,,,,,
176,445,"Carver, Raymond",Raymond Carver,Raymond,Carver,1970,1980,USA,AZ,Tucson,1938,male,uniden,Humboldt State College,,,,,University of Iowa,Stanford University,Yes
177,519,"Clifton, Lucille",Lucille Clifton,Lucille,Clifton,1970,1973,USA,MD,Baltimore,1936,female,afam,State University of New York Fredonia,,,,,,,Yes
