date,country,rank,title,author,nationality,gender,entry_id,publisher,publication_country
2013-07-01,Germany,5,Summer Rental,Mary Kay Andrews,United States,w,2013-07Germany5,St. Martin's,United States
2013-07-01,Germany,6,The Sound Of Broken Glass,Deborah Crombie,United States,w,2013-07Germany6,William Morrow and Company,United States
2013-07-01,Germany,7,The Bright Days,Zsuzsa Bank,Germany,w,2013-07Germany7,S. Fischer Verlag,Germany
2013-07-01,Germany,8,The Girl Who Reached For The Stars,Luca Di Fulvio,Italy,m,2013-07Germany8,Bastei Lübbe,Germany
2013-07-01,Germany,9,The Man Who Was Not A Murderer,Michael Hjorth; Hans Rosenfeldt,Sweden; Sweden,m; m,2013-07Germany9,Gyldendal,Sweden
2013-07-01,Germany,10,The Prague Cemetery,Umberto Eco,Italy,m,2013-07Germany10,Bompiani,Italy
2013-07-01,Italy,1,A Nest Of Vipers,Andrea Camilleri,Italy,m,2013-07Italy1,Sellerio Editore,Italy
2013-07-01,Italy,2,The Tales Of Nene,Andrea Camilleri,Italy,m,2013-07Italy2,Sellerio Editore,Italy
2013-07-01,Italy,3,Ferragosto In Yellow,[Various],Italy; Italy; Italy; Italy; Italy; Spain,m; w,2013-07Italy3,Sellerio Editore,Italy
2013-07-01,Italy,4,Resistance is Futile,Walter Siti,Italy,m,2013-07Italy4,Rizzoli,Italy
2013-07-01,Italy,5,I Love Only You,Luca Bianchini,Italy,m,2013-07Italy5,Mondadori,Italy
2013-07-01,Italy,6,The Island Of Monks Without A Name,Marcello Simoni,Italy,m,2013-07Italy6,Rizzoli,Italy
2013-07-01,Italy,7,I See You,Irene Cao,Italy,w,2013-07Italy7,Rizzoli,Italy
2013-07-01,Italy,8,I Want You,Irene Cao,Italy,w,2013-07Italy8,Rizzoli,Italy
2013-07-01,Italy,9,The Crocodile,Maurizio De Giovanni,Italy,m,2013-07Italy9,Einaudi,Italy
2013-07-01,Italy,10,I Hear You,Irene Cao,Italy,w,2013-07Italy10,Rizzoli,Italy
2013-07-01,Spain,1,The Truth About the Harry Quebert Affair,Joël Dicker,Switzerland,m,2013-07Spain1,Fallois,France
2013-07-01,Spain,2,Inferno,Dan Brown,United States,m,2013-07Spain2,Doubleday,United States
2013-07-01,Spain,3,Ask Me Anything Or Leave,Megan Maxwell,Spain,w,2013-07Spain3,Esencia,Spain
2013-07-01,Spain,4,Compass Seeking Lost Smiles,Albert Espinosa,Spain,m,2013-07Spain4,Grijalbo,Spain
2013-07-01,Spain,5,The Master Of Prado,Javier Sierra,Spain,m,2013-07Spain5,Planeta,Spain
2013-07-01,Spain,6,A Dance with Dragons,George R. R. Martin,United States,m,2013-07Spain6,Bantam,United States
2013-07-01,Spain,7,The Awakening Of Miss Prim,Natalia Sanmartín Fenollera,Spain,w,2013-07Spain7,Planeta,Spain
2013-07-01,Spain,8,Entwined With You,Sylvia Day,United States,w,2013-07Spain8,Berkley,United States
2013-07-01,Spain,9,The Lost Boy,Camilla Läckberg,Sweden,w,2013-07Spain9,Bokförlaget Forum,Sweden
2013-07-01,Spain,10,The Juliette Society,Sasha Grey,United States,w,2013-07Spain10,Sphere,Netherlands
2013-07-01,United States,1,The Ocean at the End of the Lane,Neil Gaiman,United Kingdom,m,2013-07United States1,William Morrow and Company,United States
2013-07-01,United States,2,Inferno,Dan Brown,United States,m,2013-07United States2,Doubleday,United States
2013-07-01,United States,3,And the Mountains Echoed,Khaled Hosseini,"United States, Afghanistan",m,2013-07United States3,Riverhead,United States
2013-07-01,United States,4,Bad Monkey,Carl Hiaasen,United States,m,2013-07United States4,Alfred A. Knopf,United States
2013-07-01,United States,5,The Heist,Janet Evanovich; Lee Goldberg,United States; United States,w; m,2013-07United States5,Bantam,United States
2013-07-01,United States,6,The Silver Star,Jeannette Walls,United States,w,2013-07United States6,Scribner,United States
2013-07-01,United States,7,The 9th Girl,Tami Hoag,United States,w,2013-07United States7,Dutton,United Kingdom
2013-07-01,United States,8,The Last Original Wife,Dorothea Benton Frank,United States,w,2013-07United States8,William Morrow and Company,United States
2013-07-01,United States,9,Revenge Wears Prada,Lauren Weisberger,United States,w,2013-07United States9,Simon & Schuster,United States
2013-07-01,United States,10,The Eyes of Moloch,Glenn Beck; Jack Henderson,United States; United States,m; m,2013-07United States10,Simon & Schuster,United States
2013-08-01,France,1,Inferno,Dan Brown,United States,m,2013-08France1,Doubleday,United States
2013-08-01,France,2,The Truth About the Harry Quebert Affair,Joël Dicker,Switzerland,m,2013-08France2,Fallois,France
2013-08-01,France,3,Fifty Shades of Grey,E. L. James,United Kingdom,w,2013-08France3,The Writers' Coffee Shop,Australia
2013-08-01,France,4,The Lost Boy,Camilla Läckberg,Sweden,w,2013-08France4,Bokförlaget Forum,Sweden
2013-08-01,France,5,Fifty Shades Darker,E. L. James,United Kingdom,w,2013-08France5,The Writers' Coffee Shop,Australia
2013-08-01,France,6,Happy People Read and Drink Coffee,Agnès Martin-Lugand,France,w,2013-08France6,Michel Lafon,France
2013-08-01,France,7,Fifty Shades Freed,E. L. James,United Kingdom,w,2013-08France7,The Writers' Coffee Shop,Australia
2013-08-01,France,8,Double Negative,David Carkeet,United States,m,2013-08France8,Felony and Mayhem,United States
2013-08-01,France,9,Next,Guillaume Musso,France,m,2013-08France9,XO,France
2013-08-01,France,10,Just Before Happiness,Agnes Ledie,France,w,2013-08France10,Albin Michel,France
2013-08-01,Germany,1,The Unlikely Pilgrimage of Harold Fry,Rachel Joyce,United Kingdom,w,2013-08Germany1,Transworld,United Kingdom
2013-08-01,Germany,2,The Sisters From Hardscrabble Bay,Beverly Jensen,United States,w,2013-08Germany2,Viking Press,United States
2013-08-01,Germany,3,Blackout,Marc Elsberg,Austria,m,2013-08Germany3,Blanvalet,Germany
2013-08-01,Germany,4,The Lavender Garden,Lucinda Riley,United Kingdom,w,2013-08Germany4,Pan Macmillan,United Kingdom
2013-08-01,Germany,5,The Man Who Was Not A Murderer,Michael Hjorth; Hans Rosenfeldt,Sweden; Sweden,m; m,2013-08Germany5,Gyldendal,Sweden
2013-08-01,Germany,6,The Dark Throne,Rebecca Gablé,Germany,w,2013-08Germany6,Bastei Lübbe,Germany
2013-08-01,Germany,7,Gone Missing,Linda Castillo,United States,w,2013-08Germany7,Minotaur,United Kingdom
2013-08-01,Germany,8,"Little Sister, Come Die With Me",Karen Sander,Germany,w,2013-08Germany8,Rowohlt Verlag,Germany
2013-08-01,Germany,9,Undone,Karin Slaughter,United States,w,2013-08Germany9,Delacorte,United States
2013-08-01,Germany,10,Summer Rental,Mary Kay Andrews,United States,w,2013-08Germany10,St. Martin's,United States
2013-08-01,Italy,1,The Island Of Monks Without A Name,Marcello Simoni,Italy,m,2013-08Italy1,Rizzoli,Italy
2013-08-01,Italy,2,Ferragosto In Yellow,[Various],Italy; Italy; Italy; Italy; Italy; Spain,m; w,2013-08Italy2,Sellerio Editore,Italy
2013-08-01,Italy,3,A Nest Of Vipers,Andrea Camilleri,Italy,m,2013-08Italy3,Sellerio Editore,Italy
2013-08-01,Italy,4,I Watch You,Irene Cao,Italy,w,2013-08Italy4,Rizzoli,Italy
2013-08-01,Italy,5,My Heart Stopped Beating,Chamed,Italy,w,2013-08Italy5,Leone,Italy
2013-08-01,Italy,6,The Tales Of Nene,Andrea Camilleri,Italy,m,2013-08Italy6,Sellerio Editore,Italy
2013-08-01,Italy,7,I Want You,Irene Cao,Italy,w,2013-08Italy7,Rizzoli,Italy
2013-08-01,Italy,8,I Feel You,Irene Cao,Italy,w,2013-08Italy8,Rizzoli,Italy
2013-08-01,Italy,9,I Love Only You,Luca Bianchini,Italy,m,2013-08Italy9,Mondadori,Italy
2013-08-01,Italy,10,Resistance is Futile,Walter Siti,Italy,m,2013-08Italy10,Rizzoli,Italy
2013-08-01,Russia,1,Third Humanity,Bernard Werber,France,m,2013-08Russia1,Albin Michel,France
2013-08-01,Russia,2,A Street Cat Named Bob,James Bowen,United Kingdom,m,2013-08Russia2,Hodder and Stoughton,United Kingdom
2013-08-01,Russia,3,Youthful Folly,Maria Metlitskaya,Russia,w,2013-08Russia3,Eksmo,Russia
2013-08-01,Russia,4,"Childhood, 1945-53: Tomorrow Will Be Happy",Lyudmila Ulitskaya,Russia,w,2013-08Russia4,AST,Russia
2013-08-01,Russia,5,City of Bones,Cassandra Clare,United States,w,2013-08Russia5,Margaret K McElderry,United States
2013-08-01,Russia,6,The Dinner,Herman Koch,Netherlands,m,2013-08Russia6,Eenvoudig Communiceren,Netherlands
2013-08-01,Russia,7,Fahrenheit 451,Ray Bradbury,United States,m,2013-08Russia7,Ballantine,United States
2013-08-01,Russia,8,Jewish Jokes Forever,[Various],Russia,m; w,2013-08Russia8,AST,Russia
2013-08-01,Russia,9,Richard Longarms: Prince Regent,Guy Julius Orlovsky,Russia,m,2013-08Russia9,Eksmo,Russia
2013-08-01,Russia,10,As Bad As Things Are Right Now,Viktoriya Tokareva,Russia,w,2013-08Russia10,American Book Company,Russia
2013-08-01,Spain,1,The Truth About the Harry Quebert Affair,Joël Dicker,Switzerland,m,2013-08Spain1,Fallois,France
2013-08-01,Spain,2,Ask Me Anything Or Leave,Megan Maxwell,Spain,w,2013-08Spain2,Esencia,Spain
2013-08-01,Spain,3,Inferno,Dan Brown,United States,m,2013-08Spain3,Doubleday,United States
2013-08-01,Spain,4,Compass Seeking Lost Smiles,Albert Espinosa,Spain,m,2013-08Spain4,Grijalbo,Spain
2013-08-01,Spain,5,A Dance with Dragons,George R. R. Martin,United States,m,2013-08Spain5,Bantam,United States
2013-08-01,Spain,6,The Juliette Society,Sasha Grey,United States,w,2013-08Spain6,Sphere,Netherlands
2013-08-01,Spain,7,The Master Of Prado,Javier Sierra,Spain,m,2013-08Spain7,Planeta,Spain
2013-08-01,Spain,8,Hopscotch,Julio Cortázar,Argentina,m,2013-08Spain8,Sudamericana,Argentina
2013-08-01,Spain,9,Entwined With You,Sylvia Day,United States,w,2013-08Spain9,Berkley,United States
2013-08-01,Spain,10,The Lost Boy,Camilla Läckberg,Sweden,w,2013-08Spain10,Bokförlaget Forum,Sweden
2013-08-01,United States,1,The English Girl,Daniel Silva,United States,m,2013-08United States1,Harper,United States
2013-08-01,United States,2,Inferno,Dan Brown,United States,m,2013-08United States2,Doubleday,United States
2013-08-01,United States,3,The Cuckoo's Calling,Robert Galbraith,United Kingdom,w,2013-08United States3,Sphere,United Kingdom
2013-08-01,United States,4,First Sight,Danielle Steel,United States,w,2013-08United States4,Delacorte,United States
2013-08-01,United States,5,And the Mountains Echoed,Khaled Hosseini,"United States, Afghanistan",m,2013-08United States5,Riverhead,United States
2013-08-01,United States,6,Hidden Order,Brad Thor,United States,m,2013-08United States6,Simon & Schuster,United States
2013-08-01,United States,7,The Ocean at the End of the Lane,Neil Gaiman,United Kingdom,m,2013-08United States7,William Morrow and Company,United States
2013-08-01,United States,8,Gone Girl,Gillian Flynn,United States,w,2013-08United States8,Crown,United States
2013-08-01,United States,9,Second Honeymoon,James Patterson; Howard Roughan,United States; United States,m; m,2013-08United States9,"Little, Brown and Company",United States
2013-08-01,United States,10,Bombshell,Catherine Coulter,United States,w,2013-08United States10,Putnam,United States
2013-09-01,France,1,Happy Nostalgia,Amélie Nothomb,Belgium,w,2013-09France1,Albin Michel,France
2013-09-01,France,2,Canada,Richard Ford,United States,m,2013-09France2,Ecco,United States
2013-09-01,France,3,One Day I Will Go Without Being Told Everything,Jean d'Ormesson,France,m,2013-09France3,Robert Lafont,France
2013-09-01,France,4,Naked,Jean-Philippe Toussaint,Belgium,m,2013-09France4,Minuit,France
2013-09-01,France,5,Mind Of Winter,Laura Kasischke,United States,w,2013-09France5,HarperCollins,United States
2013-09-01,France,6,Goodbye Up There,Pierre Lemaitre,France,m,2013-09France6,Albin Michel,France
2013-09-01,France,7,The Exchange of Princesses,Chantal Thomas,France,w,2013-09France7,Seuil,France
2013-09-01,France,8,"The Extraordinary Journey of the Fakir Who Got Trapped in an Ikea Wardrobe,",Romain Puértolas,France,m,2013-09France8,Le Dilettante,France
2013-09-01,France,9,Fifty Shades of Grey,E. L. James,United Kingdom,w,2013-09France9,The Writers' Coffee Shop,Australia
2013-09-01,France,10,Nearly Got Shot,Céline Minard,France,w,2013-09France10,Rivages,France
2013-09-01,Germany,1,Tschick,Wolfgang Herrndorf,Germany,m,2013-09Germany1,Rowohlt Verlag,Germany
2013-09-01,Germany,2,The Unlikely Pilgrimage of Harold Fry,Rachel Joyce,United Kingdom,w,2013-09Germany2,Transworld,United Kingdom
2013-09-01,Germany,3,Vicious Gang,Andreas Franz; Daniel Holbe,Germany; Germany,m; m,2013-09Germany3,Droemer Knaur,Germany
2013-09-01,Germany,4,The Sisters From Hardscrabble Bay,Beverly Jensen,United States,w,2013-09Germany4,Viking Press,United States
2013-09-01,Germany,5,Undone,Karin Slaughter,United States,w,2013-09Germany5,Delacorte,United States
2013-09-01,Germany,6,City of Bones,Cassandra Clare,United States,w,2013-09Germany6,Margaret K McElderry,United States
2013-09-01,Germany,7,Blackout,Marc Elsberg,Austria,m,2013-09Germany7,Blanvalet,Germany
2013-09-01,Germany,8,The Best Of Me,Nicholas Sparks,United States,m,2013-09Germany8,Grand Central,United States
2013-09-01,Germany,9,Sand,Wolfgang Herrndorf,Germany,m,2013-09Germany9,Rowohlt Verlag,Germany
2013-09-01,Germany,10,The Lavender Garden,Lucinda Riley,United Kingdom,w,2013-09Germany10,Pan Macmillan,United Kingdom
2013-09-01,Italy,1,Palace Sogliano,Sveva Casati Modignani,Italy,m; w,2013-09Italy1,Sperling and Kupfer,Italy
2013-09-01,Italy,2,My Name Is Nobody: The Return,Valerio Massimo Manfredi,Italy,m,2013-09Italy2,Mondadori,Italy
2013-09-01,Italy,3,Beautiful Marina,Silvia Avallone,Italy,w,2013-09Italy3,Rizzoli,Italy
2013-09-01,Italy,4,My Heart Stopped Beating,Chamed,Italy,w,2013-09Italy4,Leone,Italy
2013-09-01,Italy,5,How To Stumble Upon Prince Charming,Anna Premoli,Italy,w,2013-09Italy5,Narcissus Self Publishing,Italy
2013-09-01,Italy,6,Love Scratches The World,Ugo Riccarelli,Italy,m,2013-09Italy6,Mondadori,Italy
2013-09-01,Italy,7,A Nest Of Vipers,Andrea Camilleri,Italy,m,2013-09Italy7,Sellerio Editore,Italy
2013-09-01,Italy,8,Quicksilver,Marco Malvaldi,Italy,m,2013-09Italy8,Sellerio Editore,Italy
2013-09-01,Italy,9,Kissing The Bread,Carmine Abate,Italy,m,2013-09Italy9,Mondadori,Italy
2013-09-01,Italy,10,The Tales Of Nene,Andrea Camilleri,Italy,m,2013-09Italy10,Sellerio Editore,Italy
2013-09-01,Spain,1,"Shoot Me, I'm Already Dead",Julia Navarro,Spain,w,2013-09Spain1,Plaza & Janés,Spain
2013-09-01,Spain,2,The Truth About the Harry Quebert Affair,Joël Dicker,Switzerland,m,2013-09Spain2,Fallois,France
2013-09-01,Spain,3,Circus Maximus,Santiago Posteguillo,Spain,m,2013-09Spain3,Planeta,Spain
2013-09-01,Spain,4,And the Mountains Echoed,Khaled Hosseini,"United States, Afghanistan",m,2013-09Spain4,Riverhead,United States
2013-09-01,Spain,5,Inferno,Dan Brown,United States,m,2013-09Spain5,Doubleday,United States
2013-09-01,Spain,6,What Hid Their Eyes,Nieves Herrero,Spain,w,2013-09Spain6,La Esfera De Los Libros,Spain
2013-09-01,Spain,7,Ask Me Anything Or Leave,Megan Maxwell,Spain,w,2013-09Spain7,Esencia,Spain
2013-09-01,Spain,8,Canada,Richard Ford,United States,m,2013-09Spain8,Ecco,United States
2013-09-01,Spain,9,The Discreet Hero,Mario Vargas Llosa,Peru,m,2013-09Spain9,Alfaguara,Spain
2013-09-01,Spain,10,Heretics,Leonardo Padura Fuentes,Cuba,m,2013-09Spain10,Tusquets,Spain
2013-09-01,United States,1,The Cuckoo's Calling,Robert Galbraith,United Kingdom,w,2013-09United States1,Sphere,United Kingdom
2013-09-01,United States,2,Mistress,James Patterson; David Ellis,United States; United States,m; m,2013-09United States2,"Little, Brown and Company",United States
2013-09-01,United States,3,Rose Harbor In Bloom,Debbie Macomber,United States,w,2013-09United States3,Ballantine,United States
2013-09-01,United States,4,Inferno,Dan Brown,United States,m,2013-09United States4,Doubleday,United States
2013-09-01,United States,5,And the Mountains Echoed,Khaled Hosseini,"United States, Afghanistan",m,2013-09United States5,Riverhead,United States
2013-09-01,United States,6,Gone Girl,Gillian Flynn,United States,w,2013-09United States6,Crown,United States
2013-09-01,United States,7,The English Girl,Daniel Silva,United States,m,2013-09United States7,Harper,United States
2013-09-01,United States,8,The Ocean at the End of the Lane,Neil Gaiman,United Kingdom,m,2013-09United States8,William Morrow and Company,United States
2013-09-01,United States,9,The Husband's Secret,Liane Moriarty,Australia,w,2013-09United States9,Pan Macmillan Australia,Australia
2013-09-01,United States,10,A Dance with Dragons,George R. R. Martin,United States,m,2013-09United States10,Bantam,United States
2013-10-01,France,1,Billie,Anna Gavalda,France,w,2013-10France1,Le Dilettante,France
2013-10-01,France,2,Five Days,Douglas Kennedy,United States,m,2013-10France2,Atria,United States
2013-10-01,France,3,"The Extraordinary Journey of the Fakir Who Got Trapped in an Ikea Wardrobe,",Romain Puértolas,France,m,2013-10France3,Le Dilettante,France
2013-10-01,France,4,One Day I Will Go Without Being Told Everything,Jean d'Ormesson,France,m,2013-10France4,Robert Lafont,France
2013-10-01,France,5,Canada,Richard Ford,United States,m,2013-10France5,Ecco,United States
2013-10-01,France,6,I confess,Jaume Cabre,Spain,m,2013-10France6,Destino,Spain
2013-10-01,France,7,Goodbye Up There,Pierre Lemaitre,France,m,2013-10France7,Albin Michel,France
2013-10-01,France,8,Puzzle,Franck Thilliez,France,m,2013-10France8,Fleuve Noir,France
2013-10-01,France,9,Bad Signs,R. J. Ellory,United Kingdom,m,2013-10France9,Orion,United Kingdom
2013-10-01,France,10,Happy Nostalgia,Amélie Nothomb,Belgium,w,2013-10France10,Albin Michel,France
2013-10-01,Italy,1,Quicksilver,Marco Malvaldi,Italy,m,2013-10Italy1,Sellerio Editore,Italy
2013-10-01,Italy,2,The Sacco Gang,Andrea Camilleri,Italy,m,2013-10Italy2,Sellerio Editore,Italy
2013-10-01,Italy,3,The Road Home,Fabio Volo,Italy,m,2013-10Italy3,Mondadori,Italy
2013-10-01,Italy,4,For There Is Only One,Andrea Vitali,Italy,m,2013-10Italy4,Garzanti,Italy
2013-10-01,Italy,5,The Edge Of Things,Gianrico Carofiglio,Italy,m,2013-10Italy5,Rizzoli,Italy
2013-10-01,Italy,6,Palace Sogliano,Sveva Casati Modignani,Italy,m; w,2013-10Italy6,Sperling and Kupfer,Italy
2013-10-01,Italy,7,You Are How You Are,Melania Mazzucco,Italy,w,2013-10Italy7,Einaudi,Italy
2013-10-01,Italy,8,My Name Is Nobody: The Return,Valerio Massimo Manfredi,Italy,m,2013-10Italy8,Mondadori,Italy
2013-10-01,Italy,9,The Star Stone,Marco Buticchi,Italy,m,2013-10Italy9,Longanesi,Italy
2013-10-01,Italy,10,Beautiful Marina,Silvia Avallone,Italy,w,2013-10Italy10,Rizzoli,Italy
2013-10-01,Spain,1,"Shoot Me, I'm Already Dead",Julia Navarro,Spain,w,2013-10Spain1,Plaza & Janés,Spain
